"","Date","Akibare","AIndex"
"1",2018-08-27,0,0
"2",2018-08-28,0,0
"3",2018-08-29,0,0
"4",2018-08-30,0,0
"5",2018-08-31,0,0
"6",2018-09-03,0,0
"7",2018-09-04,0,0
"8",2018-09-05,0,0
"9",2018-09-06,0,0
"10",2018-09-07,0,0.000136105875086758
"11",2018-09-10,0,0
"12",2018-09-11,0,0
"13",2018-09-12,0,0
"14",2018-09-13,0,0
"15",2018-09-14,0,0
"16",2018-09-17,0,0
"17",2018-09-18,0,0
"18",2018-09-19,0,0
"19",2018-09-20,0,-0.000136087352798517
"20",2018-09-21,0,0
"21",2018-09-24,0,0
"22",2018-09-25,0,-1.94436964409516e-05
"23",2018-09-26,0,0
"24",2018-09-27,0,0
"25",2018-09-28,0,0
"26",2018-10-01,0,0
"27",2018-10-02,0,0
"28",2018-10-03,0,0.000474990962923642
"29",2018-10-04,0,0
"30",2018-10-05,0,0
"31",2018-10-08,0,0
"32",2018-10-09,0,0
"33",2018-10-10,0,0
"34",2018-10-11,0,0
"35",2018-10-12,0,0.0014659424532941
"36",2018-10-15,0,0
"37",2018-10-16,0,0
"38",2018-10-17,0,0
"39",2018-10-18,0,-0.000720808937578576
"40",2018-10-19,0,0
"41",2018-10-22,0,0
"42",2018-10-23,0,0
"43",2018-10-24,0,0
"44",2018-10-25,0,0
"45",2018-10-26,0,0
"46",2018-10-29,0,0
"47",2018-10-30,0,0
"48",2018-10-31,0,0
"49",2018-11-01,0,1.94203928660174e-05
"50",2018-11-02,0,0
"51",2018-11-05,0,0
"52",2018-11-06,0,-0.00220951800570491
"53",2018-11-07,0,0
"54",2018-11-08,0,0
"55",2018-11-09,0,0
"56",2018-11-12,0,-0.000430132733468653
"57",2018-11-13,0,-0.000191849764766236
"58",2018-11-14,0,0
"59",2018-11-15,0,-3.33859419526669e-05
"60",2018-11-16,0,0
"61",2018-11-19,0,0
"62",2018-11-20,-0.0158337456704601,-0.000353346349133083
"63",2018-11-21,0,0
"64",2018-11-22,0,0
"65",2018-11-23,0,0
"66",2018-11-26,0,0
"67",2018-11-27,0,-0.00354909253292764
"68",2018-11-28,0,-0.00138806272243679
"69",2018-11-29,0,-6.42424802935471e-05
"70",2018-11-30,0,0
"71",2018-12-03,0,0
"72",2018-12-04,0,0
"73",2018-12-05,0,0
"74",2018-12-06,-0.00251382604323781,-0.000579026107923561
"75",2018-12-07,0,-0.00302380300804529
"76",2018-12-10,0,-0.00185563634378998
"77",2018-12-11,0,-0.00347829667334658
"78",2018-12-12,0,0
"79",2018-12-13,0,0.000194746455638026
"80",2018-12-14,-0.00336021505376354,-0.000833740623122802
"81",2018-12-17,0,-0.00893288904670416
"82",2018-12-18,0,-6.49569923519224e-05
"83",2018-12-19,0,-0.000252197945465399
"84",2018-12-20,-6.74308833445105e-05,0.000302562375584881
"85",2018-12-21,0,0
"86",2018-12-24,0,0
"87",2018-12-25,0,0
"88",2018-12-26,0,0
"89",2018-12-27,0,3.9896326545731e-05
"90",2018-12-28,0,0
"91",2018-12-31,0,0
"92",2019-01-01,0,0
"93",2019-01-02,-0.00518856136425845,0
"94",2019-01-03,2.99060948621057e-05,0.000123625567632594
"95",2019-01-04,0,0
"96",2019-01-07,0,-0.00071817475574075
"97",2019-01-08,0.00711743772241996,0
"98",2019-01-09,0,0.00173217654988873
"99",2019-01-10,0,0
"100",2019-01-11,0.00018172640080768,0
"101",2019-01-14,0,0
"102",2019-01-15,0,0
"103",2019-01-16,0.00371829083421124,0
"104",2019-01-17,0,0
"105",2019-01-18,0,0.000668901409230752
"106",2019-01-21,0,0
"107",2019-01-22,0,0
"108",2019-01-23,0,0
"109",2019-01-24,0,0
"110",2019-01-25,0,0
