"","Date","Pheonix","PIndex"
"1",2018-11-08,0,3.85860958617925e-05
"2",2018-11-09,0,4.96839130776217e-07
"3",2018-11-12,0,0
"4",2018-11-13,0,-2.13370992789959e-05
"5",2018-11-14,0,0.00266713740987464
"6",2018-11-15,0,0
"7",2018-11-16,0,0
"8",2018-11-19,0,0
"9",2018-11-20,0,-9.1936765912212e-05
"10",2018-11-21,0,-0.000239408938644494
"11",2018-11-22,0,0
"12",2018-11-23,0,0
"13",2018-11-26,0,-1.95138608346291e-05
"14",2018-11-27,0,-0.000153006408816979
"15",2018-11-28,0,-0.000135003071659815
"16",2018-11-29,0,-0.000793139907974084
"17",2018-11-30,0,0
"18",2018-12-03,0,0
"19",2018-12-04,0,0
"20",2018-12-05,0,0
"21",2018-12-06,0,-0.00286295111609751
"22",2018-12-07,0,0
"23",2018-12-10,0,-0.000923349978085227
"24",2018-12-11,0,-0.000947486753524665
"25",2018-12-12,0,-2.74750352592323e-05
"26",2018-12-13,0,0
"27",2018-12-14,0,-0.000334764173576075
"28",2018-12-17,0,-9.10406817657334e-05
"29",2018-12-18,0,-0.000423670668058727
"30",2018-12-19,0,-0.000460615413501003
"31",2018-12-20,0,-6.70730247907758e-05
"32",2018-12-21,0,0
"33",2018-12-24,0,0
"34",2018-12-25,0,0
"35",2018-12-26,0,0
"36",2018-12-27,0,0
"37",2018-12-28,0,0
"38",2018-12-31,0,0
"39",2019-01-01,0,0
"40",2019-01-02,0,0
"41",2019-01-03,0,-0.000673490277101396
"42",2019-01-04,0,0
"43",2019-01-07,0,0
"44",2019-01-08,0,0
"45",2019-01-09,0,-2.56446742636414e-05
"46",2019-01-10,0,0
"47",2019-01-11,0,0
"48",2019-01-14,0,0.000132500881637437
"49",2019-01-15,0,-4.27422198830419e-06
"50",2019-01-16,0,0
"51",2019-01-17,0,9.23113581702697e-05
"52",2019-01-18,0,0.000112824993319218
"53",2019-01-21,0,0
"54",2019-01-22,0,0
"55",2019-01-23,0,-2.80105612792688e-05
"56",2019-01-24,0,0
"57",2019-01-25,0,5.12750060410352e-05
"58",2019-01-28,0,0
"59",2019-01-29,0,5.12723770495922e-05
"60",2019-01-30,0,0
"61",2019-01-31,0,0
"62",2019-02-01,0,0
"63",2019-02-04,0,6.4087185409655e-05
"64",2019-02-05,0,0
"65",2019-02-06,0,-0.00257044348227702
"66",2019-02-07,0,0
"67",2019-02-08,0,0
"68",2019-02-11,0,0.000210353447570064
"69",2019-02-12,0,0
"70",2019-02-13,0,0
"71",2019-02-14,0,0
"72",2019-02-15,0,9.78299724623676e-05
"73",2019-02-18,0,0
"74",2019-02-19,0,0
"75",2019-02-20,0,5.51888727364369e-05
"76",2019-02-21,0,6.63189170816524e-07
"77",2019-02-22,0,-4.37680697632937e-05
"78",2019-02-25,0,0.000203443541139777
"79",2019-02-26,0,0
"80",2019-02-27,0,0
"81",2019-02-28,0,-0.000216391636471419
"82",2019-03-01,0,0
"83",2019-03-04,0,-2.7629780168722e-05
"84",2019-03-05,0,-0.000179974421073942
"85",2019-03-06,0,-0.00932375999755744
"86",2019-03-07,0,-1.09449033943813e-05
"87",2019-03-08,0,-0.00248074067168495
"88",2019-03-11,0,0.000153712031230907
"89",2019-03-12,0,0.000101124386645681
"90",2019-03-13,0,0
"91",2019-03-14,0,0.00183325433040621
"92",2019-03-15,0,0
"93",2019-03-18,0,0
"94",2019-03-19,0,0
"95",2019-03-20,0,0.00170111470394439
"96",2019-03-21,0,9.84147715728266e-05
"97",2019-03-22,0,0
"98",2019-03-25,0,0
"99",2019-03-26,0,-0.000164529445163256
"100",2019-03-27,0,-2.01464626730501e-05
"101",2019-03-28,0,-0.000190303457990062
"102",2019-03-29,0,0
"103",2019-04-01,0,-0.000523808505154197
"104",2019-04-02,0,-3.76402525765661e-05
"105",2019-04-03,0,-0.00209677745887622
"106",2019-04-04,0,-6.9743328743368e-05
"107",2019-04-05,0,-0.0448748927267418
"108",2019-04-08,0,-0.00107451548553595
"109",2019-04-09,0,-0.0168087024726754
"110",2019-04-10,0,0
"111",2019-04-11,0,0
"112",2019-04-12,0,-0.108981988098332
"113",2019-04-15,0,-6.85540033255678e-05
"114",2019-04-16,0,0
"115",2019-04-17,0,-9.49485791372538e-05
"116",2019-04-18,0,0
"117",2019-04-19,0,0
"118",2019-04-22,0,0
"119",2019-04-23,0,0
"120",2019-04-24,0,-0.000666372518464695
"121",2019-04-25,0,0
"122",2019-04-26,0,0
"123",2019-04-29,0,0
"124",2019-04-30,0,-5.31956575157189e-05
"125",2019-05-01,0,-0.000693868532735607
"126",2019-05-02,0,-0.0685256189871875
"127",2019-05-03,0,-0.000102375822687458
"128",2019-05-06,0,-0.000183454626151325
"129",2019-05-07,0,0
"130",2019-05-08,0,-4.79760683856609e-06
"131",2019-05-09,0,-0.000447909905122823
"132",2019-05-10,0,0
"133",2019-05-13,0,0
"134",2019-05-14,0,0.0032608503574032
"135",2019-05-15,0,-0.0332228753801002
"136",2019-05-16,0,-0.000153691758159398
"137",2019-05-17,0,-0.00215857931685887
"138",2019-05-20,0,0.000765118418692501
"139",2019-05-21,0,0.000192491629813686
"140",2019-05-22,0,0
"141",2019-05-23,0,-0.0151827453567222
"142",2019-05-24,0,4.40551515842857e-05
"143",2019-05-27,0,0
"144",2019-05-28,0,-0.0516539481217865
"145",2019-05-29,0,0.0265069869966673
"146",2019-05-30,-0.9899949469429,-0.00402314270724722
"147",2019-05-31,0,0
"148",2019-06-03,0,0.000179548273829679
"149",2019-06-04,0,9.65924257944479e-05
"150",2019-06-05,0,0
"151",2019-06-06,0,-5.22591172078086e-05
"152",2019-06-07,0,-2.7833660251983e-05
