Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/8/2020;13:08:58;6/10/2020;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;88577CAA9
6/8/2020;13:04:44;6/10/2020;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;88577CAA9
6/2/2020;10:10:11;6/4/2020;Trade;500000;98.900;;M;;_;_;-;-;S;D;C;88577CAA9
6/2/2020;10:09:24;6/4/2020;Trade;500000;98.800;;M;;_;_;-;-;B;D;C;88577CAA9
5/27/2020;10:11:33;5/29/2020;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;88577CAA9
5/27/2020;10:10:46;5/29/2020;Trade;1000000;98.900;;M;;_;_;-;-;S;D;C;88577CAA9
5/27/2020;10:09:19;5/29/2020;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;88577CAA9
5/22/2020;09:58:59;5/27/2020;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;88577CAA9
5/22/2020;09:58:16;5/27/2020;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;88577CAA9
5/14/2020;11:27:33;5/18/2020;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;88577CAA9
5/14/2020;11:26:48;5/18/2020;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;88577CAA9
4/28/2020;10:00:35;4/30/2020;Trade;1000000;98.600;;M;;_;_;-;-;S;D;C;88577CAA9
4/28/2020;09:59:48;4/30/2020;Trade;1000000;98.500;;M;;_;_;-;-;B;D;C;88577CAA9
3/24/2020;08:24:33;3/26/2020;Trade;1MM+;96.000;;M;;_;_;-;-;S;D;C;88577CAA9
3/24/2020;08:23:26;3/26/2020;Trade;1MM+;95.900;;M;;_;_;-;-;B;D;C;88577CAA9
3/17/2020;13:19:15;3/19/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;88577CAA9
3/17/2020;13:17:02;3/19/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;88577CAA9
3/16/2020;11:15:32;3/19/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;88577CAA9
3/16/2020;11:12:50;3/19/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;88577CAA9
3/12/2020;10:16:41;3/16/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;88577CAA9
3/12/2020;10:12:55;3/16/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;88577CAA9
3/9/2020;11:31:29;3/11/2020;Trade;1MM+;101.350;;M;;_;_;-;-;S;D;C;88577CAA9
3/9/2020;11:29:54;3/11/2020;Trade;1MM+;101.250;;M;;_;_;-;-;B;D;C;88577CAA9
3/6/2020;09:57:45;3/10/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;88577CAA9
3/6/2020;09:55:07;3/10/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;;;88577CAA9
2/27/2020;10:16:29;3/2/2020;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;88577CAA9
2/27/2020;10:15:48;3/2/2020;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;88577CAA9
1/17/2020;13:15:00;1/24/2020;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;88577CAA9
1/17/2020;13:14:14;1/24/2020;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;88577CAA9
