Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/1/2020;12:32:18;7/6/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;00485YAB5
7/1/2020;12:31:41;7/6/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;00485YAB5
6/29/2020;10:14:41;7/1/2020;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;00485YAB5
6/29/2020;10:13:59;7/1/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;00485YAB5
6/29/2020;10:13:27;7/1/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;00485YAB5
6/24/2020;08:52:52;6/26/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;00485YAB5
6/24/2020;08:52:22;6/26/2020;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;00485YAB5
6/23/2020;09:48:44;6/25/2020;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;00485YAB5
6/23/2020;09:47:54;6/25/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;00485YAB5
6/9/2020;11:58:30;6/11/2020;Trade;250000;98.050;;M;;_;_;-;-;S;D;C;00485YAB5
6/9/2020;11:58:30;6/11/2020;Trade;250000;98.150;;M;;_;_;-;-;B;D;C;00485YAB5
5/19/2020;08:56:39;5/21/2020;Trade;1MM+;98.250;;M;;_;_;-;-;S;D;C;00485YAB5
5/19/2020;08:54:59;5/21/2020;Trade;1MM+;98.150;;M;;_;_;-;-;B;D;C;00485YAB5
3/27/2020;10:03:01;3/31/2020;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;00485YAB5
3/27/2020;10:03:01;3/31/2020;Trade;1000000;97.800;;M;;_;_;-;-;B;D;C;00485YAB5
3/27/2020;10:03:01;3/31/2020;Trade;1000000;97.800;;M;;_;_;-;-;B;D;C;00485YAB5
3/26/2020;10:07:47;3/30/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;00485YAB5
3/26/2020;10:07:47;3/30/2020;Correction;1MM+;97.900;;M;;_;_;-;-;B;D;C;00485YAB5
3/26/2020;10:07:47;3/30/2020;Cancel;1MM+;97.900;;M;;_;_;-;-;S;D;C;00485YAB5
3/24/2020;10:05:42;3/26/2020;Trade;1000000;98.000;;M;;_;_;-;-;S;D;C;00485YAB5
3/24/2020;10:05:42;3/26/2020;Trade;1000000;97.900;;M;;_;_;-;-;B;D;C;00485YAB5
1/29/2020;10:23:49;1/31/2020;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;00485YAB5
1/29/2020;10:19:37;1/31/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;00485YAB5
1/29/2020;10:19:34;1/31/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;00485YAB5
1/16/2020;11:13:47;1/21/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;00485YAB5
1/16/2020;11:13:02;1/21/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;00485YAB5
1/16/2020;11:11:35;1/21/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;00485YAB5
1/16/2020;11:09:42;1/21/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;00485YAB5
1/16/2020;10:57:42;1/21/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;00485YAB5
1/16/2020;10:57:01;1/21/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;00485YAB5
1/8/2020;13:26:36;1/10/2020;Trade;600000;99.000;;M;;_;_;-;-;S;D;C;00485YAB5
1/8/2020;13:26:33;1/10/2020;Trade;600000;98.900;;M;;_;_;-;-;B;D;C;00485YAB5
12/20/2019;11:31:24;12/24/2019;Trade;1000000;98.850;;M;;Z;_;-;A;S;D;C;00485YAB5
12/20/2019;11:29:35;12/24/2019;Trade;1000000;98.850;;M;;Z;_;-;A;S;D;C;00485YAB5
12/20/2019;11:28:04;12/24/2019;Trade;1MM+;98.750;;M;;Z;_;-;A;B;D;C;00485YAB5
12/19/2019;12:05:15;12/23/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;00485YAB5
12/19/2019;12:04:30;12/23/2019;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;00485YAB5
12/19/2019;10:31:40;12/23/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;00485YAB5
12/19/2019;10:29:16;12/23/2019;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;00485YAB5
12/18/2019;10:57:03;12/20/2019;Trade;1000000;98.850;;M;;_;_;-;-;S;D;C;00485YAB5
12/18/2019;10:55:14;12/20/2019;Trade;1000000;98.750;;M;;_;_;-;-;B;D;C;00485YAB5
12/6/2019;10:43:14;12/10/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;00485YAB5
12/6/2019;10:42:41;12/10/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;00485YAB5
12/6/2019;10:42:05;12/10/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;00485YAB5
12/3/2019;09:59:08;12/5/2019;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;00485YAB5
12/3/2019;09:58:28;12/5/2019;Trade;500000;98.900;;M;;_;_;-;-;B;;;00485YAB5
11/8/2019;15:42:00;11/13/2019;Trade;250000;99.250;;M;;Z;_;-;A;S;D;C;00485YAB5
11/8/2019;15:42:00;11/13/2019;Trade;250000;99.250;;N;;Z;_;-;A;B;D;C;00485YAB5
11/8/2019;15:41:00;11/13/2019;Trade;250000;99.250;;M;;Z;_;-;A;S;D;C;00485YAB5
11/8/2019;15:41:00;11/13/2019;Trade;250000;99.250;;N;;Z;_;-;A;B;D;C;00485YAB5
11/8/2019;15:40:00;11/13/2019;Trade;750000;99.150;;M;;Z;_;-;-;B;D;C;00485YAB5
11/8/2019;15:40:00;11/13/2019;Trade;750000;99.150;;N;;Z;_;-;-;S;D;C;00485YAB5
11/8/2019;15:40:00;11/13/2019;Trade;250000;99.250;;M;;Z;_;-;A;S;D;C;00485YAB5
11/8/2019;15:40:00;11/13/2019;Trade;250000;99.250;;N;;Z;_;-;A;B;D;C;00485YAB5
10/1/2019;13:19:17;10/3/2019;Trade;1000000;99.500;;M;;_;_;-;-;S;D;C;00485YAB5
10/1/2019;13:18:08;10/3/2019;Trade;1000000;99.400;;M;;_;_;-;-;B;D;C;00485YAB5
9/25/2019;10:07:38;9/27/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;;;00485YAB5
9/25/2019;10:06:29;9/27/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;00485YAB5
7/24/2019;09:28:33;7/26/2019;Trade;850000;99.000;;M;;_;_;-;-;B;D;C;00485YAB5
7/24/2019;09:18:21;7/26/2019;Trade;350000;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/24/2019;09:17:41;7/26/2019;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/24/2019;09:17:15;7/26/2019;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/18/2019;09:03:54;7/22/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/18/2019;09:03:20;7/22/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;00485YAB5
7/16/2019;11:33:20;7/18/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/16/2019;11:32:23;7/18/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/16/2019;11:31:31;7/18/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;00485YAB5
7/12/2019;10:06:57;7/16/2019;Trade;500000;98.800;;M;;_;_;-;-;S;D;C;00485YAB5
7/12/2019;10:06:19;7/16/2019;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;00485YAB5
7/12/2019;10:03:57;7/16/2019;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;00485YAB5
7/9/2019;12:16:28;7/11/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/9/2019;12:14:28;7/11/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;00485YAB5
7/9/2019;12:11:58;7/11/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;00485YAB5
6/13/2019;13:00:15;6/17/2019;Trade;250000;98.850;;M;;_;_;-;-;S;D;C;00485YAB5
6/13/2019;11:38:15;6/17/2019;Cancel;250000;98.850;;M;;_;_;-;-;S;D;C;00485YAB5
6/13/2019;11:38:15;6/17/2019;Cancel;250000;98.850;;M;;_;_;-;-;S;D;C;00485YAB5
