Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/5/2020;12:38:05;3/9/2020;Trade;420000;0.100;;M;;_;_;-;-;S;D;C;00973XAA8
3/5/2020;12:36:22;3/9/2020;Trade;420000;0.097;;M;;_;_;-;-;B;D;C;00973XAA8
12/18/2019;13:47:00;12/20/2019;Trade;1MM+;0.133;;M;;_;_;-;-;B;D;C;00973XAA8
12/18/2019;13:47:00;12/20/2019;Trade;1MM+;0.150;;M;;_;_;-;-;S;D;C;00973XAA8
7/30/2019;08:47:40;8/1/2019;Trade;1MM+;2.000;;M;;_;_;-;-;S;D;C;00973XAA8
7/30/2019;08:45:44;8/1/2019;Trade;1MM+;1.950;;M;;_;_;-;-;B;D;C;00973XAA8
7/12/2019;14:23:11;7/16/2019;Trade;1MM+;2.600;;M;;_;_;-;-;S;D;C;00973XAA8
7/12/2019;14:20:48;7/16/2019;Trade;1MM+;2.375;;M;;_;_;-;-;B;D;C;00973XAA8
2/14/2019;13:57:27;2/19/2019;Cancel;1MM+;72.000;;M;;_;_;-;-;B;D;C;00973XAA8
2/14/2019;13:57:27;2/19/2019;Cancel;1MM+;72.000;;M;;_;_;-;-;B;D;C;00973XAA8
2/14/2019;13:56:01;2/19/2019;Cancel;1MM+;72.000;;M;;_;_;-;-;B;D;C;00973XAA8
2/14/2019;13:56:01;2/19/2019;Cancel;1MM+;72.000;;M;;_;_;-;-;B;D;C;00973XAA8
2/14/2019;13:54:33;2/19/2019;Trade;1MM+;72.500;;M;;_;_;-;-;S;D;C;00973XAA8
2/14/2019;13:54:21;2/19/2019;Trade;250000;72.500;;M;;_;_;-;-;S;D;C;00973XAA8
2/14/2019;13:54:01;2/19/2019;Trade;250000;72.500;;M;;_;_;-;-;S;D;C;00973XAA8
2/14/2019;13:53:43;2/19/2019;Trade;700000;72.500;;M;;_;_;-;-;S;D;C;00973XAA8
