Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/18/2020;11:34:37;6/22/2020;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;00973XAB6
6/18/2020;11:34:37;6/22/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;00973XAB6
5/20/2020;13:17:27;5/22/2020;Trade;250000;97.000;;M;;_;_;-;-;B;D;C;00973XAB6
5/20/2020;13:17:27;5/22/2020;Trade;250000;96.900;;M;;_;_;-;-;S;D;C;00973XAB6
5/6/2020;14:13:12;5/8/2020;Trade;500000;97.100;;M;;_;_;-;-;B;D;C;00973XAB6
5/6/2020;14:13:12;5/8/2020;Cancel;250000;97.100;;M;;Z;_;-;A;B;D;C;00973XAB6
5/6/2020;14:13:12;5/8/2020;Cancel;250000;97.100;;M;;Z;_;-;A;B;D;C;00973XAB6
5/6/2020;14:12:10;5/8/2020;Trade;500000;97.200;;M;;Z;_;-;-;S;D;C;00973XAB6
4/8/2020;12:55:00;4/13/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;00973XAB6
4/8/2020;12:55:00;4/13/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;00973XAB6
3/27/2020;13:16:00;3/31/2020;Trade;1MM+;96.050;;M;;_;_;-;-;B;D;C;00973XAB6
3/27/2020;13:16:00;3/31/2020;Trade;1MM+;96.100;;M;;_;_;-;-;S;D;C;00973XAB6
3/27/2020;12:10:00;3/31/2020;Trade;1000000;96.000;;M;;_;_;-;-;B;D;C;00973XAB6
3/27/2020;12:10:00;3/31/2020;Trade;1000000;96.100;;M;;_;_;-;-;S;D;C;00973XAB6
3/12/2020;11:08:29;3/16/2020;Trade;1MM+;96.000;;M;;_;_;-;-;S;D;C;00973XAB6
3/12/2020;11:07:45;3/16/2020;Trade;1MM+;95.750;;M;;_;_;-;-;B;D;C;00973XAB6
2/10/2020;10:17:39;2/12/2020;Trade;1000000;95.750;;M;;_;_;-;-;B;D;C;00973XAB6
2/10/2020;10:11:40;2/12/2020;Trade;1000000;96.000;;M;;Z;_;-;-;S;D;C;00973XAB6
2/6/2020;11:39:57;2/10/2020;Trade;1MM+;95.850;;M;;_;_;-;-;S;D;C;00973XAB6
2/6/2020;11:38:05;2/10/2020;Trade;1MM+;95.600;;M;;_;_;-;-;B;D;C;00973XAB6
1/30/2020;14:24:55;2/3/2020;Cancel;1MM+;95.850;;M;;_;_;-;-;B;D;C;00973XAB6
1/30/2020;14:24:55;2/3/2020;Correction;1MM+;95.850;;M;;_;_;-;-;S;D;C;00973XAB6
1/30/2020;14:24:48;2/3/2020;Cancel;1MM+;95.850;;M;;_;_;-;-;S;D;C;00973XAB6
1/30/2020;14:24:48;2/3/2020;Correction;1MM+;95.600;;M;;_;_;-;-;B;D;C;00973XAB6
1/28/2020;09:57:27;1/30/2020;Trade;1MM+;95.750;;M;;_;_;-;-;S;D;C;00973XAB6
1/28/2020;09:56:39;1/30/2020;Trade;1MM+;95.500;;M;;_;_;-;-;B;D;C;00973XAB6
1/27/2020;15:37:17;1/29/2020;Trade;1MM+;95.750;;M;;_;_;-;-;S;D;C;00973XAB6
1/27/2020;15:35:08;1/29/2020;Trade;1MM+;95.500;;M;;_;_;-;-;B;D;C;00973XAB6
1/27/2020;11:06:19;1/29/2020;Trade;1MM+;95.750;;M;;_;_;-;-;S;D;C;00973XAB6
1/27/2020;11:05:29;1/29/2020;Trade;1MM+;95.500;;M;;_;_;-;-;B;D;C;00973XAB6
1/13/2020;12:00:43;1/15/2020;Trade;500000;91.500;;M;;_;_;-;-;B;D;C;00973XAB6
1/13/2020;12:00:03;1/15/2020;Trade;500000;91.750;;M;;_;_;-;-;S;D;C;00973XAB6
1/7/2020;09:55:57;1/9/2020;Trade;500000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
1/7/2020;09:54:47;1/9/2020;Trade;500000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/19/2019;09:04:28;12/23/2019;Trade;1000000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/19/2019;09:02:26;12/23/2019;Trade;1MM+;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/19/2019;09:01:25;12/23/2019;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/18/2019;11:09:09;12/20/2019;Trade;1000000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/18/2019;11:08:11;12/20/2019;Trade;1000000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/18/2019;09:21:29;12/20/2019;Trade;1000000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/18/2019;09:20:57;12/20/2019;Trade;1000000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/12/2019;10:56:08;12/16/2019;Trade;1MM+;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/12/2019;10:55:18;12/16/2019;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/11/2019;10:18:02;12/13/2019;Trade;1MM+;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/11/2019;10:13:22;12/13/2019;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;11:38:26;12/12/2019;Trade;1000000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/10/2019;11:36:02;12/12/2019;Cancel;1MM+;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;11:36:02;12/12/2019;Correction;900000;88.750;;M;;Z;_;-;-;B;D;C;00973XAB6
12/10/2019;11:36:02;12/12/2019;Trade;600000;88.750;;M;;Z;_;-;-;B;D;C;00973XAB6
12/10/2019;10:52:43;12/12/2019;Cancel;500000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;10:52:43;12/12/2019;Cancel;500000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;10:15:15;12/12/2019;Cancel;500000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;10:15:15;12/12/2019;Cancel;500000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;10:10:17;12/12/2019;Trade;500000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/10/2019;09:11:19;12/12/2019;Trade;500000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/10/2019;09:07:26;12/12/2019;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2019;09:06:14;12/12/2019;Trade;1MM+;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/9/2019;09:55:21;12/11/2019;Trade;750000;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/9/2019;09:54:41;12/11/2019;Trade;750000;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
12/5/2019;09:09:32;12/9/2019;Trade;1MM+;89.000;;M;;_;_;-;-;S;D;C;00973XAB6
12/5/2019;09:08:13;12/9/2019;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;00973XAB6
11/22/2019;08:15:31;11/26/2019;Trade;500000;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/22/2019;08:15:02;11/26/2019;Trade;500000;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/21/2019;10:35:09;11/25/2019;Trade;500000;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/21/2019;10:34:37;11/25/2019;Trade;1MM+;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/21/2019;10:30:08;11/25/2019;Trade;1MM+;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/19/2019;15:01:00;11/21/2019;Trade;250000;85.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/19/2019;15:01:00;11/21/2019;Trade;250000;85.100;;M;;_;_;-;-;S;D;C;00973XAB6
11/18/2019;09:40:55;11/20/2019;Trade;1MM+;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/18/2019;09:40:19;11/20/2019;Trade;1MM+;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/15/2019;15:15:36;11/19/2019;Trade;1MM+;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/15/2019;15:14:28;11/19/2019;Trade;1MM+;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/15/2019;12:18:49;11/19/2019;Trade;500000;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/15/2019;12:18:12;11/19/2019;Trade;500000;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/15/2019;12:16:41;11/19/2019;Trade;500000;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/15/2019;12:16:19;11/19/2019;Trade;1MM+;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
11/15/2019;12:15:59;11/19/2019;Trade;1MM+;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/15/2019;11:20:21;11/19/2019;Trade;1MM+;84.250;;M;;_;_;-;-;S;D;C;00973XAB6
11/15/2019;11:19:21;11/19/2019;Trade;1MM+;84.000;;M;;_;_;-;-;B;D;C;00973XAB6
10/22/2019;10:07:43;10/24/2019;Trade;750000;89.750;;M;;_;_;-;-;S;D;C;00973XAB6
10/22/2019;10:06:48;10/24/2019;Trade;750000;89.500;;M;;_;_;-;-;B;D;C;00973XAB6
8/1/2019;11:58:42;8/6/2019;Trade;500000;92.500;;M;;_;_;-;-;S;D;C;00973XAB6
8/1/2019;11:54:48;8/5/2019;Trade;500000;92.250;;M;;_;_;-;-;B;D;C;00973XAB6
7/31/2019;13:36:32;8/2/2019;Trade;250000;92.250;;M;;_;_;-;-;B;D;C;00973XAB6
7/31/2019;13:36:32;8/2/2019;Trade;250000;92.250;;M;;_;_;-;-;B;D;C;00973XAB6
7/31/2019;13:29:43;8/2/2019;Trade;500000;92.500;;M;;_;_;-;-;S;D;C;00973XAB6
7/12/2019;10:15:26;7/16/2019;Trade;250000;93.250;;M;;_;_;-;-;S;D;C;00973XAB6
7/12/2019;10:14:45;7/16/2019;Trade;250000;93.000;;M;;_;_;-;-;B;D;C;00973XAB6
5/17/2019;12:43:24;5/21/2019;Trade;500000;92.850;;M;;_;_;-;-;B;D;C;00973XAB6
5/17/2019;12:41:54;5/21/2019;Trade;500000;93.100;;M;;_;_;-;-;S;D;C;00973XAB6
4/30/2019;12:27:37;5/2/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;00973XAB6
4/30/2019;12:26:44;5/2/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;00973XAB6
3/5/2019;12:20:15;3/7/2019;Trade;500000;98.200;;M;;_;_;-;-;S;D;C;00973XAB6
3/5/2019;12:19:38;3/7/2019;Trade;500000;98.100;;M;;_;_;-;-;B;D;C;00973XAB6
3/5/2019;10:26:00;3/7/2019;Trade;1MM+;98.100;;;;_;_;-;-;S;D;D;00973XAB6
3/5/2019;10:15:52;3/7/2019;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;00973XAB6
3/5/2019;10:12:30;3/7/2019;Trade;500000;98.100;;M;;_;_;-;-;B;D;C;00973XAB6
3/5/2019;10:10:36;3/7/2019;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;00973XAB6
2/11/2019;18:40:04;2/13/2019;Trade;250000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;18:29:48;2/13/2019;Trade;250000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;18:29:33;2/13/2019;Trade;250000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;18:29:19;2/13/2019;Trade;250000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;18:29:05;2/13/2019;Trade;250000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;18:28:50;2/13/2019;Trade;400000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;18:28:29;2/13/2019;Trade;350000;99.000;;M;;Z;_;-;A;S;D;C;00973XAB6
2/11/2019;12:40:04;2/13/2019;Cancel;1MM+;99.000;;M;;_;_;-;-;S;D;C;00973XAB6
2/11/2019;12:40:04;2/13/2019;Cancel;1MM+;99.000;;M;;_;_;-;-;S;D;C;00973XAB6
2/11/2019;11:41:41;2/13/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2018;11:04:38;12/12/2018;Trade;500000;98.000;;M;;_;_;-;-;B;D;C;00973XAB6
12/10/2018;11:04:36;12/12/2018;Trade;500000;98.100;;M;;_;_;-;-;S;D;C;00973XAB6
10/18/2018;12:58:26;10/22/2018;Trade;1000000;99.850;;M;;_;_;-;-;S;D;C;00973XAB6
10/18/2018;12:57:50;10/22/2018;Trade;1000000;99.750;;M;;_;_;-;-;B;D;C;00973XAB6
7/2/2018;13:27:00;7/5/2018;Trade;250000;100.750;;M;;_;_;-;-;B;D;C;00973XAB6
7/2/2018;13:27:00;7/5/2018;Trade;250000;100.850;;M;;_;_;-;-;S;D;C;00973XAB6
6/26/2018;09:56:08;6/28/2018;Trade;250000;100.855;;M;;_;_;-;-;S;D;C;00973XAB6
6/26/2018;09:52:51;6/28/2018;Trade;250000;100.805;;M;;_;_;-;-;B;D;C;00973XAB6
5/23/2018;09:41:31;5/25/2018;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;00973XAB6
5/23/2018;09:40:43;5/25/2018;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;00973XAB6
5/9/2018;10:41:21;5/11/2018;Trade;1MM+;101.050;;M;;_;_;-;-;S;D;C;00973XAB6
5/9/2018;10:40:47;5/11/2018;Trade;1MM+;100.950;;M;;_;_;-;-;B;D;C;00973XAB6
5/3/2018;09:31:31;5/7/2018;Trade;350000;100.600;;M;;_;_;-;-;S;D;C;00973XAB6
5/3/2018;09:30:54;5/7/2018;Trade;350000;100.500;;M;;_;_;-;-;B;D;C;00973XAB6
4/11/2018;13:26:32;4/13/2018;Cancel;1000000;100.600;;M;;_;_;-;-;B;D;C;00973XAB6
4/11/2018;13:26:32;4/13/2018;Cancel;1000000;100.600;;M;;_;_;-;-;B;D;C;00973XAB6
4/11/2018;12:13:37;4/13/2018;Cancel;1000000;100.700;;M;;_;_;-;-;S;D;C;00973XAB6
4/11/2018;12:13:37;4/13/2018;Cancel;1000000;100.700;;M;;_;_;-;-;S;D;C;00973XAB6
4/11/2018;11:30:00;4/13/2018;Trade;1000000;100.600;;M;;_;_;-;-;B;D;C;00973XAB6
4/11/2018;10:45:13;4/13/2018;Trade;250000;100.700;;M;;_;_;-;-;S;D;C;00973XAB6
4/11/2018;10:44:51;4/13/2018;Trade;750000;100.700;;M;;_;_;-;-;S;D;C;00973XAB6
