Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/13/2020;15:30:21;5/15/2020;Trade;1MM+;97.050;;M;;Z;_;-;-;S;D;C;00973XAC4
5/13/2020;13:04:31;5/15/2020;Trade;1MM+;96.950;;M;;_;_;-;-;B;D;C;00973XAC4
3/9/2020;11:38:13;3/11/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;00973XAC4
3/9/2020;11:32:37;3/11/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;00973XAC4
3/9/2020;10:30:14;3/11/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;00973XAC4
3/9/2020;10:22:20;3/11/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;00973XAC4
3/6/2020;11:35:26;3/10/2020;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;00973XAC4
3/6/2020;11:35:26;3/10/2020;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;00973XAC4
3/6/2020;11:35:23;3/10/2020;Trade;1MM+;97.300;;M;;_;_;-;-;B;D;C;00973XAC4
1/13/2020;11:49:34;1/15/2020;Trade;1MM+;91.750;;M;;_;_;-;-;S;D;C;00973XAC4
1/13/2020;11:48:36;1/15/2020;Trade;1MM+;91.500;;M;;_;_;-;-;B;D;C;00973XAC4
12/9/2019;09:56:17;12/11/2019;Trade;750000;88.750;;M;;_;_;-;-;B;D;C;00973XAC4
12/9/2019;09:55:47;12/11/2019;Trade;750000;89.000;;M;;_;_;-;-;S;D;C;00973XAC4
11/27/2019;09:30:50;12/2/2019;Trade;1MM+;85.250;;M;;_;_;-;-;S;D;C;00973XAC4
11/27/2019;09:24:55;12/2/2019;Trade;1MM+;85.000;;M;;_;_;-;-;B;D;C;00973XAC4
11/22/2019;12:07:48;11/26/2019;Trade;1MM+;84.250;;M;;_;_;-;-;S;D;C;00973XAC4
11/22/2019;12:06:39;11/26/2019;Trade;1MM+;84.000;;M;;_;_;-;-;B;D;C;00973XAC4
11/22/2019;10:36:00;11/26/2019;Trade;1MM+;80.750;;M;;_;_;-;-;B;D;C;00973XAC4
11/22/2019;10:36:00;11/26/2019;Trade;1MM+;81.000;;M;;_;_;-;-;S;D;C;00973XAC4
9/18/2019;10:39:59;9/20/2019;Trade;500000;86.500;;M;;_;_;-;-;S;D;C;00973XAC4
9/18/2019;10:39:59;9/20/2019;Trade;500000;86.250;;M;;_;_;-;-;B;D;C;00973XAC4
9/18/2019;10:39:59;9/23/2019;Trade;250000;85.750;;C;;Z;_;-;A;B;D;C;00973XAC4
9/6/2019;08:38:11;9/10/2019;Trade;1MM+;87.000;;M;;_;_;-;-;S;D;C;00973XAC4
9/6/2019;08:33:56;9/10/2019;Trade;1MM+;86.750;;M;;_;_;-;-;B;D;C;00973XAC4
9/4/2019;09:24:18;9/6/2019;Trade;1MM+;87.250;;M;;_;_;-;-;S;D;C;00973XAC4
9/4/2019;09:23:28;9/6/2019;Trade;1MM+;87.000;;M;;_;_;-;-;B;D;C;00973XAC4
8/1/2019;11:58:45;8/6/2019;Trade;500000;92.500;;M;;_;_;-;-;S;D;C;00973XAC4
8/1/2019;11:54:51;8/5/2019;Trade;500000;92.250;;M;;_;_;-;-;B;D;C;00973XAC4
7/31/2019;13:38:58;8/2/2019;Trade;250000;92.250;;M;;_;_;-;-;B;D;C;00973XAC4
7/31/2019;13:38:58;8/2/2019;Trade;250000;92.250;;M;;_;_;-;-;B;D;C;00973XAC4
7/31/2019;13:29:43;8/2/2019;Trade;500000;92.500;;M;;_;_;-;-;S;D;C;00973XAC4
5/17/2019;12:14:54;5/21/2019;Trade;500000;93.100;;M;;_;_;-;-;S;D;C;00973XAC4
5/17/2019;12:14:12;5/21/2019;Trade;500000;92.850;;M;;_;_;-;-;B;D;C;00973XAC4
4/3/2019;12:27:00;4/5/2019;Trade;250000;98.100;;M;;Z;_;-;-;S;D;C;00973XAC4
4/3/2019;12:27:00;4/5/2019;Trade;250000;98.100;;N;;Z;_;-;-;B;D;C;00973XAC4
4/3/2019;12:27:00;4/5/2019;Trade;250000;98.000;;M;;Z;_;-;-;B;D;C;00973XAC4
4/3/2019;12:27:00;4/5/2019;Trade;250000;98.000;;N;;Z;_;-;-;S;D;C;00973XAC4
3/21/2019;10:54:16;3/25/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;00973XAC4
3/21/2019;10:50:56;3/25/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;00973XAC4
3/21/2019;10:16:58;3/25/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;00973XAC4
3/21/2019;10:16:02;3/25/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;00973XAC4
3/21/2019;10:15:34;3/25/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;00973XAC4
12/19/2018;11:42:23;12/21/2018;Trade;250000;97.800;;M;;_;_;-;-;S;D;C;00973XAC4
12/19/2018;11:42:17;12/21/2018;Trade;250000;97.700;;M;;_;_;-;-;B;D;C;00973XAC4
5/23/2018;09:47:29;5/25/2018;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;00973XAC4
5/23/2018;09:43:59;5/25/2018;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;00973XAC4
5/16/2018;12:39:15;5/18/2018;Trade;500000;100.650;;M;;Z;_;-;A;B;D;C;00973XAC4
5/9/2018;10:40:09;5/11/2018;Trade;1000000;101.050;;M;;_;_;-;-;S;D;C;00973XAC4
5/9/2018;10:39:26;5/11/2018;Trade;1000000;100.950;;M;;_;_;-;-;B;D;C;00973XAC4
5/9/2018;10:03:46;5/11/2018;Trade;1MM+;101.050;;M;;_;_;-;-;S;D;C;00973XAC4
5/9/2018;09:54:58;5/11/2018;Trade;1MM+;100.950;;M;;_;_;-;-;B;D;C;00973XAC4
4/11/2018;13:25:13;4/13/2018;Trade;1000000;100.700;;M;;_;_;-;-;S;D;C;00973XAC4
4/11/2018;12:14:00;4/13/2018;Trade;1000000;100.600;;M;;_;_;-;-;B;D;C;00973XAC4
