Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/23/2020;11:59:39;3/25/2020;Trade;1MM+;99.510;;M;;_;_;-;-;S;D;C;011395AD2
3/23/2020;11:54:25;3/25/2020;Trade;1MM+;99.510;;M;;_;_;-;-;S;D;C;011395AD2
3/23/2020;11:39:54;3/25/2020;Trade;1MM+;99.460;;M;;_;_;-;-;B;D;C;011395AD2
3/20/2020;10:18:17;3/24/2020;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;011395AD2
3/20/2020;10:10:44;3/24/2020;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;011395AD2
3/20/2020;10:09:57;3/24/2020;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;011395AD2
3/20/2020;10:09:15;3/24/2020;Trade;1MM+;99.450;;M;;_;_;-;-;B;D;C;011395AD2
3/18/2020;13:48:16;3/20/2020;Cancel;1MM+;100.625;;M;;_;_;-;-;B;D;C;011395AD2
3/18/2020;13:48:16;3/20/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;011395AD2
3/18/2020;13:48:16;3/20/2020;Correction;1MM+;99.625;;M;;_;_;-;-;B;D;C;011395AD2
3/18/2020;13:20:25;3/20/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;011395AD2
3/18/2020;13:20:23;3/20/2020;Cancel;1MM+;99.650;;M;;Z;_;-;-;B;D;C;011395AD2
3/18/2020;13:20:23;3/20/2020;Cancel;1MM+;99.650;;M;;Z;_;-;-;B;D;C;011395AD2
3/18/2020;13:20:23;3/20/2020;Cancel;1MM+;99.650;;M;;_;_;-;-;S;D;C;011395AD2
3/18/2020;11:09:34;3/20/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;011395AD2
3/18/2020;11:07:50;3/20/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;011395AD2
3/16/2020;10:04:09;3/18/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;011395AD2
3/16/2020;10:03:28;3/18/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;011395AD2
3/16/2020;09:12:59;3/18/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;011395AD2
3/16/2020;09:12:20;3/18/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;011395AD2
3/5/2020;09:51:31;3/9/2020;Trade;1MM+;100.420;;M;;_;_;-;-;S;D;C;011395AD2
3/5/2020;09:51:28;3/9/2020;Trade;1MM+;100.320;;M;;_;_;-;-;B;D;C;011395AD2
