Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/9/2020;09:44:59;7/13/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;011395AE0
7/9/2020;09:44:19;7/13/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;011395AE0
3/24/2020;10:11:21;3/26/2020;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;011395AE0
3/24/2020;10:11:19;3/26/2020;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;011395AE0
3/16/2020;12:32:58;3/18/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;011395AE0
3/16/2020;12:30:34;3/18/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;011395AE0
3/5/2020;09:37:23;3/9/2020;Trade;1000000;100.200;;M;;_;_;-;-;B;;;011395AE0
3/5/2020;09:32:18;3/9/2020;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;011395AE0
2/20/2020;11:06:50;2/24/2020;Trade;250000;100.250;;M;;_;_;-;-;S;D;C;011395AE0
2/20/2020;11:06:10;2/24/2020;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;011395AE0
2/11/2020;11:13:49;2/13/2020;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;011395AE0
2/11/2020;11:13:16;2/13/2020;Trade;500000;100.100;;M;;_;_;-;-;B;D;C;011395AE0
1/3/2020;10:06:05;1/7/2020;Trade;500000;100.000;;M;;_;_;-;-;S;D;C;011395AE0
1/3/2020;10:05:32;1/7/2020;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;011395AE0
12/12/2019;11:08:31;12/16/2019;Trade;625000;100.000;;M;;_;_;-;-;S;D;C;011395AE0
12/12/2019;11:07:59;12/16/2019;Trade;625000;99.900;;M;;_;_;-;-;B;D;C;011395AE0
11/20/2019;13:51:00;11/22/2019;Trade;1000000;99.900;;N;;Z;_;-;-;S;D;C;011395AE0
11/20/2019;13:51:00;11/22/2019;Trade;1000000;99.900;;M;;Z;_;-;-;B;D;C;011395AE0
11/20/2019;13:51:00;11/22/2019;Trade;1000000;100.000;;N;;Z;_;-;-;B;D;C;011395AE0
11/20/2019;13:51:00;11/22/2019;Trade;1000000;100.000;;M;;Z;_;-;-;S;D;C;011395AE0
11/11/2019;11:43:00;11/13/2019;Trade;500000;100.400;;M;;_;_;-;-;B;D;C;011395AE0
11/11/2019;11:43:00;11/13/2019;Trade;500000;100.400;;N;;_;_;-;-;S;D;C;011395AE0
11/11/2019;11:41:00;11/13/2019;Trade;500000;100.500;;M;;_;_;-;-;S;D;C;011395AE0
11/11/2019;11:41:00;11/13/2019;Trade;500000;100.500;;N;;_;_;-;-;B;D;C;011395AE0
8/27/2019;10:38:55;8/29/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;011395AE0
8/27/2019;10:36:46;8/29/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;011395AE0
7/11/2019;09:29:11;7/15/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;011395AE0
7/11/2019;09:28:23;7/15/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;;;011395AE0
6/17/2019;16:30:14;6/19/2019;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;011395AE0
6/17/2019;12:18:50;6/19/2019;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;011395AE0
6/17/2019;12:12:14;6/19/2019;Cancel;1MM+;97.600;;M;;_;_;-;-;S;D;C;011395AE0
6/17/2019;12:12:14;6/19/2019;Cancel;1MM+;97.600;;M;;_;_;-;-;S;D;C;011395AE0
3/29/2019;10:25:50;4/2/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;011395AE0
3/29/2019;10:25:19;4/2/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;011395AE0
3/27/2019;10:25:28;3/29/2019;Trade;500000;99.300;;M;;_;_;-;-;S;D;C;011395AE0
3/27/2019;10:24:32;3/29/2019;Cancel;500000;99.200;;M;;_;_;-;-;B;D;C;011395AE0
3/27/2019;10:24:32;3/29/2019;Cancel;500000;99.200;;M;;_;_;-;-;B;D;C;011395AE0
3/27/2019;10:24:00;3/29/2019;Trade;500000;99.200;;;;_;_;-;-;S;D;D;011395AE0
3/26/2019;09:37:27;3/28/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;011395AE0
3/26/2019;09:36:48;3/28/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;011395AE0
3/25/2019;10:22:58;3/27/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;011395AE0
3/25/2019;10:22:10;3/27/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;011395AE0
3/21/2019;09:34:00;3/25/2019;Trade;1000000;99.200;;;;_;_;-;-;S;D;D;011395AE0
3/21/2019;09:30:58;3/25/2019;Trade;1000000;99.300;;M;;_;_;-;-;S;D;C;011395AE0
3/19/2019;15:55:00;3/21/2019;Trade;1MM+;99.000;;;;_;_;-;-;S;D;D;011395AE0
3/19/2019;15:49:53;3/21/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;011395AE0
3/19/2019;11:28:42;3/21/2019;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;011395AE0
3/19/2019;11:28:08;3/21/2019;Trade;1000000;99.000;;M;;_;_;-;-;B;D;C;011395AE0
3/19/2019;11:14:00;3/21/2019;Trade;1MM+;99.000;;;;_;_;-;-;S;D;D;011395AE0
3/19/2019;11:11:36;3/21/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;011395AE0
3/19/2019;11:10:04;3/21/2019;Trade;250000;99.000;;M;;_;_;-;-;B;D;C;011395AE0
3/8/2019;11:14:23;3/12/2019;Trade;500000;98.750;;M;;_;_;-;-;B;D;C;011395AE0
3/8/2019;10:59:36;3/12/2019;Trade;500000;98.850;;M;;_;_;-;-;S;D;C;011395AE0
3/7/2019;14:05:42;3/11/2019;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;011395AE0
3/7/2019;14:04:54;3/11/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;011395AE0
3/6/2019;11:25:45;3/8/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;011395AE0
3/6/2019;11:25:00;3/8/2019;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;011395AE0
3/6/2019;11:25:00;3/8/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;011395AE0
3/6/2019;11:24:42;3/8/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;011395AE0
3/4/2019;16:32:13;3/6/2019;Cancel;500000;98.800;;M;;_;_;-;-;B;D;C;011395AE0
3/4/2019;16:32:13;3/6/2019;Cancel;500000;98.800;;M;;_;_;-;-;B;D;C;011395AE0
3/4/2019;16:25:35;3/6/2019;Trade;500000;98.800;;M;;_;_;-;-;B;D;C;011395AE0
3/4/2019;16:25:35;3/6/2019;Trade;500000;98.900;;M;;_;_;-;-;S;D;C;011395AE0
1/15/2019;12:44:48;1/17/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;011395AE0
1/15/2019;12:44:35;1/17/2019;Trade;525000;99.150;;M;;_;_;-;-;B;D;C;011395AE0
1/15/2019;12:44:20;1/17/2019;Trade;950000;99.150;;M;;_;_;-;-;B;D;C;011395AE0
1/15/2019;12:43:47;1/17/2019;Trade;775000;99.150;;M;;_;_;-;-;B;D;C;011395AE0
1/15/2019;12:42:58;1/17/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;011395AE0
1/15/2019;10:48:39;1/17/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;011395AE0
1/15/2019;10:46:58;1/17/2019;Cancel;1MM+;99.150;;M;;_;_;-;-;B;D;C;011395AE0
1/15/2019;10:46:58;1/17/2019;Cancel;1MM+;99.150;;M;;_;_;-;-;B;D;C;011395AE0
12/19/2018;09:30:03;12/21/2018;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;011395AE0
12/19/2018;09:29:27;12/21/2018;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;011395AE0
12/14/2018;10:21:10;12/18/2018;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;011395AE0
12/14/2018;10:20:44;12/18/2018;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;011395AE0
12/14/2018;09:19:53;12/18/2018;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;011395AE0
12/14/2018;09:19:19;12/18/2018;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;011395AE0
10/23/2018;10:42:00;10/25/2018;Trade;1MM+;99.825;;M;;_;_;-;-;B;D;C;011395AE0
10/23/2018;10:42:00;10/25/2018;Trade;1MM+;99.925;;M;;_;_;-;-;S;D;C;011395AE0
10/22/2018;13:30:00;10/24/2018;Trade;1MM+;99.925;;M;;_;_;-;-;S;D;C;011395AE0
10/22/2018;13:28:04;10/24/2018;Trade;1MM+;99.825;;M;;_;_;-;-;B;D;C;011395AE0
9/26/2018;13:25:00;9/28/2018;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;011395AE0
9/26/2018;13:25:00;9/28/2018;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;011395AE0
8/29/2018;12:04:08;8/31/2018;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;011395AE0
8/29/2018;12:03:13;8/31/2018;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;011395AE0
8/22/2018;10:32:09;8/24/2018;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;011395AE0
8/22/2018;10:30:33;8/24/2018;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;011395AE0
8/20/2018;10:40:51;8/22/2018;Trade;300000;99.600;;M;;_;_;-;-;S;D;C;011395AE0
8/20/2018;10:40:16;8/22/2018;Trade;300000;99.500;;M;;_;_;-;-;B;D;C;011395AE0
8/15/2018;10:19:59;8/17/2018;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;011395AE0
8/15/2018;10:19:32;8/17/2018;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;011395AE0
8/13/2018;11:29:48;8/15/2018;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;011395AE0
8/13/2018;11:29:04;8/15/2018;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;011395AE0
7/3/2018;14:16:00;7/6/2018;Trade;250000;99.850;;M;;T;_;-;-;B;D;C;011395AE0
7/3/2018;10:44:00;7/6/2018;Cancel;1MM+;99.950;;M;;_;_;-;-;S;D;C;011395AE0
7/3/2018;10:44:00;7/6/2018;Correction;1MM+;99.950;;M;;U;_;-;-;S;D;C;011395AE0
7/3/2018;10:43:23;7/6/2018;Correction;1MM+;99.950;;M;;U;_;-;-;S;D;C;011395AE0
7/3/2018;10:43:23;7/6/2018;Cancel;1MM+;99.950;;M;;_;_;-;-;S;D;C;011395AE0
7/3/2018;10:43:23;7/6/2018;Cancel;1MM+;99.950;;M;;_;_;-;-;S;D;C;011395AE0
7/3/2018;10:42:11;7/6/2018;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;011395AE0
6/12/2018;10:31:34;6/14/2018;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;011395AE0
6/12/2018;10:30:53;6/14/2018;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;011395AE0
6/1/2018;11:26:34;6/5/2018;Trade;1000000;100.150;;M;;_;_;-;-;S;D;C;011395AE0
6/1/2018;11:25:59;6/5/2018;Trade;1000000;100.050;;M;;_;_;-;-;B;D;C;011395AE0
6/1/2018;10:52:01;6/5/2018;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;011395AE0
6/1/2018;10:36:00;6/5/2018;Trade;1MM+;100.050;;M;;Z;_;-;-;B;D;C;011395AE0
