Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/17/2020;09:50:40;7/21/2020;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;011395AF7
7/17/2020;09:50:40;7/21/2020;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;011395AF7
7/17/2020;09:45:22;7/21/2020;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;011395AF7
6/23/2020;10:16:46;6/25/2020;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;011395AF7
6/23/2020;10:15:09;6/25/2020;Trade;1MM+;98.950;;M;;_;_;-;-;B;D;C;011395AF7
6/23/2020;10:06:32;6/25/2020;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;011395AF7
6/23/2020;09:15:04;6/25/2020;Trade;1MM+;98.670;;M;;_;_;-;-;B;D;C;011395AF7
5/19/2020;09:32:41;5/21/2020;Trade;1MM+;98.300;;M;;Z;_;-;-;S;D;C;011395AF7
5/19/2020;09:32:41;5/21/2020;Trade;1000000;98.300;;M;;Z;_;-;-;S;D;C;011395AF7
5/19/2020;09:32:41;5/21/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Trade;1MM+;98.200;;M;;_;_;-;-;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;575000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;250000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;325000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;250000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;750000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;750000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;575000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;325000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;250000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
5/19/2020;09:29:40;5/21/2020;Cancel;250000;98.200;;M;;Z;_;-;A;B;D;C;011395AF7
3/23/2020;15:44:12;3/25/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;011395AF7
3/23/2020;14:11:06;3/25/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;011395AF7
3/23/2020;14:11:06;3/25/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;011395AF7
3/23/2020;14:11:06;3/25/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;011395AF7
11/1/2019;10:19:42;11/5/2019;Trade;250000;101.100;;M;;_;_;-;-;S;D;C;011395AF7
11/1/2019;10:19:00;11/5/2019;Trade;250000;101.000;;M;;_;_;-;-;B;D;C;011395AF7
9/27/2019;10:45:09;9/30/2019;Trade;700000;100.725;;M;;_;_;-;-;S;D;C;011395AF7
9/27/2019;10:44:23;9/30/2019;Trade;700000;100.675;;M;;_;_;-;-;B;D;C;011395AF7
8/7/2019;12:40:49;8/9/2019;Trade;500000;99.750;;M;;_;_;-;-;B;D;C;011395AF7
8/7/2019;12:39:58;8/9/2019;Trade;500000;99.850;;M;;_;_;-;-;S;D;C;011395AF7
