Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/24/2020;13:00:04;3/26/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;037401AC0
3/24/2020;12:46:26;3/26/2020;Cancel;1MM+;99.350;;M;;_;_;-;-;S;D;C;037401AC0
3/24/2020;12:46:26;3/26/2020;Correction;1MM+;99.350;;M;;_;_;-;-;S;D;C;037401AC0
3/24/2020;12:08:56;3/26/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;037401AC0
3/24/2020;12:08:53;3/26/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;037401AC0
3/19/2020;08:59:28;3/23/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;037401AC0
3/19/2020;08:57:05;3/23/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;037401AC0
3/18/2020;13:41:15;3/20/2020;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;037401AC0
3/18/2020;13:41:15;3/20/2020;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;037401AC0
3/18/2020;13:34:48;3/20/2020;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;037401AC0
3/18/2020;13:34:48;3/20/2020;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;037401AC0
1/31/2020;11:33:44;2/4/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;037401AC0
1/31/2020;11:33:44;2/4/2020;Cancel;1MM+;98.500;;M;;Z;_;-;A;S;D;C;037401AC0
1/31/2020;11:33:44;2/4/2020;Cancel;1MM+;98.500;;M;;Z;_;-;A;S;D;C;037401AC0
1/31/2020;11:33:40;2/4/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;037401AC0
1/31/2020;11:11:12;2/4/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;037401AC0
1/24/2020;11:23:12;1/28/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;037401AC0
1/24/2020;10:32:08;1/28/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;037401AC0
1/23/2020;14:03:03;1/27/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;037401AC0
1/23/2020;14:00:25;1/27/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;037401AC0
7/25/2019;11:42:04;7/29/2019;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;037401AC0
7/25/2019;11:42:00;7/29/2019;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;037401AC0
7/1/2019;10:15:44;7/3/2019;Trade;500000;98.800;;M;;_;_;-;-;S;D;C;037401AC0
7/1/2019;10:15:39;7/3/2019;Trade;500000;98.700;;M;;_;_;-;-;B;D;C;037401AC0
6/4/2019;10:17:13;6/6/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;037401AC0
6/4/2019;10:16:34;6/6/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;037401AC0
5/28/2019;09:13:48;5/30/2019;Trade;1000000;98.750;;M;;_;_;-;-;S;D;C;037401AC0
5/28/2019;09:13:09;5/30/2019;Trade;1000000;98.650;;M;;_;_;-;-;B;D;C;037401AC0
5/24/2019;09:02:30;5/29/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;037401AC0
5/24/2019;09:01:44;5/29/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;037401AC0
5/24/2019;09:00:09;5/29/2019;Trade;1000000;98.600;;M;;_;_;-;-;B;D;C;037401AC0
