Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/26/2020;12:27:59;6/30/2020;Trade;1MM+;98.200;;M;;_;_;-;-;B;D;C;037401AD8
6/26/2020;12:27:59;6/30/2020;Trade;1MM+;98.200;;M;;_;_;-;-;B;D;C;037401AD8
6/26/2020;12:23:35;6/30/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;037401AD8
6/26/2020;12:22:31;6/30/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;037401AD8
6/26/2020;12:08:31;6/30/2020;Cancel;1MM+;98.300;;M;;_;_;-;-;B;D;C;037401AD8
6/26/2020;12:08:31;6/30/2020;Correction;1MM+;98.300;;M;;_;_;-;-;S;D;C;037401AD8
6/26/2020;12:08:31;6/30/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;037401AD8
6/26/2020;12:08:31;6/30/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;037401AD8
6/18/2020;12:56:14;6/22/2020;Trade;1MM+;98.150;;M;;_;_;-;-;S;D;C;037401AD8
6/18/2020;12:56:14;6/22/2020;Trade;1MM+;98.250;;M;;_;_;-;-;S;D;C;037401AD8
5/19/2020;16:14:27;5/21/2020;Trade;500000;98.300;;M;;_;_;-;-;B;D;C;037401AD8
5/19/2020;16:14:27;5/21/2020;Trade;500000;98.200;;M;;_;_;-;-;S;D;C;037401AD8
5/5/2020;11:38:53;5/7/2020;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;037401AD8
5/5/2020;11:36:35;5/7/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;037401AD8
4/30/2020;14:21:25;5/4/2020;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;037401AD8
4/30/2020;11:08:54;5/4/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;037401AD8
3/6/2020;11:37:00;3/10/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;037401AD8
3/6/2020;11:30:21;3/10/2020;Correction;1MM+;98.400;;M;;U;_;-;-;B;D;C;037401AD8
3/6/2020;11:30:21;3/10/2020;Cancel;500000;98.400;;M;;_;_;-;-;B;D;C;037401AD8
2/27/2020;10:00:59;3/2/2020;Trade;1000000;97.500;;M;;_;_;-;-;B;D;C;037401AD8
2/27/2020;10:00:57;3/2/2020;Trade;1000000;97.750;;M;;_;_;-;-;S;D;C;037401AD8
2/10/2020;10:17:35;2/12/2020;Trade;1000000;95.500;;M;;_;_;-;-;S;D;C;037401AD8
2/10/2020;10:13:55;2/12/2020;Trade;1000000;95.250;;M;;Z;_;-;-;B;D;C;037401AD8
1/31/2020;11:24:27;2/4/2020;Trade;1MM+;95.250;;M;;_;_;-;-;B;D;C;037401AD8
1/31/2020;11:24:25;2/4/2020;Trade;1MM+;95.500;;M;;_;_;-;-;S;D;C;037401AD8
1/31/2020;09:00:50;2/4/2020;Trade;1MM+;95.250;;M;;_;_;-;-;B;D;C;037401AD8
1/31/2020;09:00:46;2/4/2020;Trade;1MM+;95.500;;M;;_;_;-;-;S;D;C;037401AD8
1/22/2020;10:32:08;1/24/2020;Trade;1MM+;93.000;;M;;_;_;-;-;B;D;C;037401AD8
1/22/2020;10:31:49;1/24/2020;Trade;1000000;93.250;;M;;_;_;-;-;S;D;C;037401AD8
1/22/2020;10:31:07;1/24/2020;Trade;1MM+;93.250;;M;;_;_;-;-;S;D;C;037401AD8
1/22/2020;10:31:05;1/24/2020;Trade;1MM+;93.250;;M;;_;_;-;-;S;D;C;037401AD8
1/21/2020;15:35:33;1/23/2020;Trade;1MM+;93.000;;M;;_;_;-;-;B;D;C;037401AD8
1/21/2020;15:35:30;1/23/2020;Trade;1MM+;93.250;;M;;_;_;-;-;S;D;C;037401AD8
