Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/29/2020;09:30:41;5/1/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;04227FAA3
4/29/2020;09:30:01;5/1/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;04227FAA3
3/24/2020;12:14:57;3/26/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;04227FAA3
3/24/2020;12:14:57;3/26/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;04227FAA3
3/24/2020;12:14:57;3/26/2020;Trade;550000;99.250;;M;;_;_;-;-;B;D;C;04227FAA3
3/5/2020;12:31:25;3/9/2020;Trade;500000;100.400;;M;;_;_;-;-;S;D;C;04227FAA3
3/5/2020;12:29:51;3/9/2020;Trade;500000;100.300;;M;;_;_;-;-;B;D;C;04227FAA3
8/29/2019;16:03:44;9/3/2019;Trade;1MM+;85.500;;M;;_;_;-;-;S;D;C;04227FAA3
8/29/2019;16:02:21;9/3/2019;Trade;1MM+;85.000;;M;;_;_;-;-;B;D;C;04227FAA3
8/12/2019;13:06:10;8/14/2019;Trade;250000;98.450;;M;;_;_;-;-;S;D;C;04227FAA3
8/12/2019;13:04:56;8/14/2019;Trade;250000;98.350;;M;;_;_;-;-;B;D;C;04227FAA3
8/9/2019;08:11:48;8/13/2019;Trade;1000000;98.450;;M;;_;_;-;-;S;D;C;04227FAA3
8/9/2019;08:09:41;8/13/2019;Trade;1000000;98.350;;M;;_;_;-;-;B;D;C;04227FAA3
7/18/2019;11:02:24;7/22/2019;Trade;300000;98.250;;M;;Z;_;-;-;S;D;C;04227FAA3
7/18/2019;11:01:50;7/22/2019;Trade;300000;98.150;;M;;Z;_;-;-;B;D;C;04227FAA3
5/15/2019;11:46:37;5/17/2019;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/15/2019;11:46:01;5/17/2019;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;04227FAA3
5/14/2019;10:56:18;5/16/2019;Trade;500000;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/14/2019;10:54:56;5/16/2019;Trade;500000;97.750;;M;;_;_;-;-;B;D;C;04227FAA3
5/13/2019;08:46:29;5/15/2019;Trade;500000;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/13/2019;08:43:47;5/15/2019;Trade;500000;97.750;;M;;_;_;-;-;B;D;C;04227FAA3
5/10/2019;12:18:08;5/14/2019;Cancel;500000;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/10/2019;12:18:08;5/14/2019;Cancel;500000;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/10/2019;09:30:45;5/14/2019;Trade;350000;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/10/2019;09:30:06;5/14/2019;Trade;350000;97.750;;M;;_;_;-;-;B;D;C;04227FAA3
5/7/2019;11:34:42;5/9/2019;Trade;500000;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/7/2019;11:34:10;5/9/2019;Trade;500000;97.750;;M;;_;_;-;-;B;D;C;04227FAA3
5/1/2019;12:11:00;5/3/2019;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;04227FAA3
5/1/2019;12:10:13;5/3/2019;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;04227FAA3
4/26/2019;09:50:00;4/30/2019;Trade;250000;98.300;;M;;_;_;-;-;S;D;C;04227FAA3
4/26/2019;09:49:00;4/30/2019;Trade;250000;98.200;;M;;_;_;-;-;B;D;C;04227FAA3
4/25/2019;09:35:58;4/29/2019;Trade;500000;98.200;;M;;_;_;-;-;B;D;C;04227FAA3
4/25/2019;09:35:00;4/29/2019;Trade;500000;98.300;;M;;_;_;-;-;S;D;C;04227FAA3
2/26/2019;10:57:00;2/28/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;04227FAA3
2/26/2019;10:57:00;2/28/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/26/2019;10:51:14;2/28/2019;Trade;500000;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/25/2019;15:45:00;2/27/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/25/2019;15:10:29;2/27/2019;Cancel;1MM+;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/25/2019;15:10:29;2/27/2019;Cancel;1MM+;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/25/2019;14:54:09;2/27/2019;Trade;750000;99.150;;M;;_;_;-;-;B;D;C;04227FAA3
2/25/2019;14:11:29;2/27/2019;Cancel;500000;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/25/2019;14:11:29;2/27/2019;Cancel;500000;99.250;;M;;_;_;-;-;S;D;C;04227FAA3
2/25/2019;13:31:00;2/27/2019;Trade;500000;99.150;;M;;_;_;-;-;B;D;C;04227FAA3
1/22/2019;10:18:47;1/24/2019;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;04227FAA3
1/22/2019;10:18:19;1/24/2019;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;04227FAA3
1/18/2019;09:20:27;1/23/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;04227FAA3
