Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/9/2020;13:42:47;6/11/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;04227FAB1
6/9/2020;13:42:08;6/11/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;04227FAB1
6/8/2020;15:34:21;6/10/2020;Trade;1MM+;96.950;;M;;_;_;-;-;S;D;C;04227FAB1
6/8/2020;15:32:50;6/10/2020;Trade;1MM+;96.850;;M;;_;_;-;-;B;D;C;04227FAB1
6/8/2020;11:40:18;6/10/2020;Trade;1MM+;96.850;;M;;_;_;-;-;B;D;C;04227FAB1
6/8/2020;11:38:37;6/10/2020;Trade;1MM+;96.950;;M;;_;_;-;-;S;D;C;04227FAB1
6/8/2020;11:24:24;6/10/2020;Trade;500000;96.900;;M;;_;_;-;-;B;D;C;04227FAB1
6/8/2020;08:40:30;6/10/2020;Trade;500000;97.000;;M;;_;_;-;-;S;D;C;04227FAB1
6/4/2020;10:19:39;6/8/2020;Trade;500000;97.000;;M;;_;_;-;-;S;D;C;04227FAB1
6/4/2020;10:17:27;6/8/2020;Trade;500000;96.900;;M;;_;_;-;-;B;D;C;04227FAB1
5/11/2020;11:13:12;5/13/2020;Trade;250000;96.650;;M;;_;_;-;-;S;D;C;04227FAB1
5/11/2020;10:38:09;5/13/2020;Trade;250000;96.550;;M;;_;_;-;-;B;D;C;04227FAB1
4/15/2020;14:17:54;4/17/2020;Trade;1MM+;96.600;;M;;_;_;-;-;S;D;C;04227FAB1
4/15/2020;14:17:15;4/17/2020;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;04227FAB1
4/14/2020;08:31:44;4/16/2020;Trade;1MM+;96.800;;M;;_;_;-;-;S;D;C;04227FAB1
4/14/2020;08:31:00;4/16/2020;Trade;1MM+;96.700;;M;;_;_;-;-;B;D;C;04227FAB1
3/31/2020;14:50:00;4/2/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;04227FAB1
3/31/2020;14:50:00;4/2/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;04227FAB1
1/30/2020;10:26:04;2/3/2020;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;04227FAB1
1/30/2020;10:23:50;2/3/2020;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;04227FAB1
1/24/2020;10:50:06;1/28/2020;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;04227FAB1
1/24/2020;10:47:09;1/28/2020;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;04227FAB1
1/21/2020;11:40:29;1/23/2020;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;04227FAB1
1/21/2020;11:39:47;1/23/2020;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;04227FAB1
1/10/2020;11:39:20;1/14/2020;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;04227FAB1
1/10/2020;11:38:44;1/14/2020;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;04227FAB1
12/12/2019;10:54:56;12/16/2019;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;04227FAB1
12/12/2019;10:53:22;12/16/2019;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;04227FAB1
11/12/2019;11:49:47;11/14/2019;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;04227FAB1
11/12/2019;11:49:44;11/14/2019;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;04227FAB1
11/12/2019;10:33:50;11/14/2019;Cancel;750000;101.100;;M;;_;_;-;-;S;D;C;04227FAB1
11/12/2019;10:33:50;11/14/2019;Cancel;750000;101.100;;M;;_;_;-;-;S;D;C;04227FAB1
11/12/2019;10:32:30;11/14/2019;Trade;750000;101.000;;M;;_;_;-;-;B;D;C;04227FAB1
