Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/6/2020;12:58:44;7/8/2020;Trade;1MM+;97.300;;M;;_;_;-;-;B;D;C;04921AAA3
7/6/2020;12:58:10;7/8/2020;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;04921AAA3
6/29/2020;11:16:54;7/1/2020;Trade;750000;97.300;;M;;_;_;-;-;B;D;C;04921AAA3
6/29/2020;11:16:01;7/1/2020;Trade;750000;97.400;;M;;_;_;-;-;S;D;C;04921AAA3
6/29/2020;09:53:30;7/1/2020;Trade;1000000;97.400;;M;;_;_;-;-;S;D;C;04921AAA3
6/29/2020;09:52:51;7/1/2020;Trade;1000000;97.300;;M;;_;_;-;-;B;D;C;04921AAA3
6/24/2020;08:24:28;6/26/2020;Trade;500000;97.400;;M;;_;_;-;-;S;D;C;04921AAA3
6/24/2020;08:23:32;6/26/2020;Trade;500000;97.300;;M;;_;_;-;-;B;D;C;04921AAA3
6/22/2020;10:31:11;6/24/2020;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;04921AAA3
6/22/2020;10:29:46;6/24/2020;Trade;1MM+;97.300;;M;;_;_;-;-;B;D;C;04921AAA3
6/16/2020;12:33:39;6/18/2020;Trade;250000;96.050;;M;;_;_;-;-;S;D;C;04921AAA3
6/16/2020;12:33:39;6/18/2020;Trade;250000;96.150;;M;;_;_;-;-;B;D;C;04921AAA3
5/15/2020;12:09:41;5/19/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;04921AAA3
5/15/2020;12:08:57;5/19/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;04921AAA3
5/13/2020;09:46:05;5/15/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;04921AAA3
5/13/2020;09:45:18;5/15/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;04921AAA3
5/4/2020;12:48:07;5/6/2020;Trade;1000000;96.850;;M;;_;_;-;-;S;D;C;04921AAA3
5/4/2020;12:47:25;5/6/2020;Trade;1000000;96.750;;M;;_;_;-;-;B;D;C;04921AAA3
4/14/2020;14:23:06;4/16/2020;Trade;1MM+;96.950;;M;;_;_;-;-;S;D;C;04921AAA3
4/14/2020;14:22:47;4/16/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;04921AAA3
4/7/2020;11:31:19;4/9/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;04921AAA3
4/7/2020;11:30:37;4/9/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;04921AAA3
4/7/2020;11:29:45;4/9/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;04921AAA3
3/26/2020;13:55:16;3/30/2020;Trade;1MM+;97.150;;M;;_;_;-;-;S;D;C;04921AAA3
3/26/2020;13:53:52;3/30/2020;Trade;1MM+;97.050;;M;;_;_;-;-;B;D;C;04921AAA3
3/26/2020;13:53:11;3/30/2020;Trade;1MM+;97.150;;M;;_;_;-;-;S;D;C;04921AAA3
3/26/2020;13:52:25;3/30/2020;Trade;1MM+;97.050;;M;;_;_;-;-;B;D;C;04921AAA3
2/12/2020;08:59:20;2/14/2020;Trade;500000;100.300;;M;;_;_;-;-;S;D;C;04921AAA3
2/12/2020;08:58:08;2/14/2020;Trade;500000;100.200;;M;;_;_;-;-;B;D;C;04921AAA3
2/10/2020;09:30:11;2/12/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;04921AAA3
2/10/2020;09:29:38;2/12/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;04921AAA3
2/10/2020;08:14:29;2/12/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;04921AAA3
2/10/2020;08:13:41;2/12/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;04921AAA3
2/10/2020;07:55:08;2/12/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;04921AAA3
2/10/2020;07:54:29;2/12/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;04921AAA3
2/7/2020;09:37:07;2/11/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;04921AAA3
2/7/2020;09:36:19;2/11/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;04921AAA3
1/30/2020;13:08:44;2/3/2020;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;04921AAA3
1/30/2020;13:07:56;2/3/2020;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;04921AAA3
1/15/2020;10:48:43;1/17/2020;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;04921AAA3
1/15/2020;10:47:44;1/17/2020;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;04921AAA3
1/15/2020;10:33:54;1/17/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;04921AAA3
1/15/2020;10:31:33;1/17/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;04921AAA3
1/14/2020;13:22:06;1/16/2020;Trade;375000;100.250;;M;;_;_;-;-;S;D;C;04921AAA3
1/14/2020;13:21:23;1/16/2020;Trade;375000;100.150;;M;;_;_;-;-;B;D;C;04921AAA3
1/8/2020;09:40:03;1/10/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;04921AAA3
1/8/2020;09:39:16;1/10/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;04921AAA3
11/25/2019;09:33:08;11/27/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;04921AAA3
11/25/2019;09:32:22;11/27/2019;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;04921AAA3
11/15/2019;11:37:04;11/19/2019;Trade;1MM+;99.400;;M;;Z;_;-;-;B;D;C;04921AAA3
11/15/2019;11:37:04;11/19/2019;Cancel;250000;99.400;;M;;Z;_;-;A;B;D;C;04921AAA3
11/15/2019;11:37:04;11/19/2019;Cancel;250000;99.400;;M;;Z;_;-;A;B;D;C;04921AAA3
