Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/17/2020;11:14:35;6/19/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;04921QAA8
6/17/2020;11:13:40;6/19/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;04921QAA8
5/19/2020;12:43:52;5/21/2020;Trade;1000000;96.850;;M;;_;_;-;-;S;D;C;04921QAA8
5/19/2020;12:43:03;5/21/2020;Trade;1000000;96.750;;M;;_;_;-;-;B;D;C;04921QAA8
5/6/2020;13:05:59;5/8/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;04921QAA8
5/6/2020;13:05:07;5/8/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;04921QAA8
5/5/2020;13:08:00;5/7/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;04921QAA8
5/5/2020;13:07:11;5/7/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;04921QAA8
5/5/2020;12:47:20;5/7/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;04921QAA8
5/5/2020;12:46:30;5/7/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;04921QAA8
4/30/2020;10:55:17;5/4/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;04921QAA8
4/30/2020;10:54:18;5/4/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;04921QAA8
3/24/2020;09:21:23;3/26/2020;Trade;1MM+;95.000;;M;;_;_;-;-;S;D;C;04921QAA8
3/24/2020;09:20:36;3/26/2020;Trade;1MM+;94.980;;M;;_;_;-;-;S;D;C;04921QAA8
3/24/2020;09:19:53;3/26/2020;Trade;1MM+;94.910;;M;;_;_;-;-;B;D;C;04921QAA8
2/21/2020;10:15:13;2/25/2020;Trade;1MM+;102.250;;M;;_;_;-;-;S;D;C;04921QAA8
2/21/2020;10:14:00;2/25/2020;Trade;1MM+;102.250;;M;;_;_;-;-;S;D;C;04921QAA8
2/21/2020;10:13:25;2/25/2020;Trade;1MM+;102.150;;M;;_;_;-;-;B;D;C;04921QAA8
9/11/2019;09:36:13;9/13/2019;Trade;1MM+;102.100;;M;;_;_;-;-;S;D;C;04921QAA8
9/11/2019;09:35:35;9/13/2019;Trade;1MM+;102.000;;M;;_;_;-;-;B;D;C;04921QAA8
7/9/2019;10:01:38;7/11/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;04921QAA8
7/9/2019;10:00:38;7/11/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;04921QAA8
