Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/22/2017;10:28:11;6/27/2017;Trade;1MM+;101.850;;M;;_;_;-;-;S;D;C;049382AB0
6/22/2017;10:27:04;6/27/2017;Trade;1MM+;101.750;;M;;_;_;-;-;B;D;C;049382AB0
5/17/2016;17:33:49;5/20/2016;Trade;500000;102.000;0;N;;T;_;-;-;B;D;C;049382AB0
5/17/2016;17:33:49;5/20/2016;Trade;500000;102.100;0;N;;T;_;-;-;S;D;C;049382AB0
3/15/2016;12:08:42;3/18/2016;Trade;1MM+;102.100;0;N;;_;_;-;-;S;D;C;049382AB0
3/15/2016;12:08:40;3/18/2016;Trade;1MM+;102.000;0;N;;_;_;-;-;B;D;C;049382AB0
3/3/2016;08:50:40;3/8/2016;Trade;1MM+;102.000;0;N;;_;_;-;-;B;D;C;049382AB0
3/3/2016;08:50:38;3/8/2016;Trade;1MM+;102.100;0;N;;_;_;-;-;S;D;C;049382AB0
3/1/2016;10:16:08;3/4/2016;Trade;1000000;102.000;0;N;;_;_;-;-;B;D;C;049382AB0
3/1/2016;10:16:08;3/4/2016;Trade;1000000;102.100;0;N;;_;_;-;-;S;D;C;049382AB0
2/11/2016;11:00:00;2/17/2016;Trade;1MM+;101.960;0;N;;_;_;-;-;B;D;C;049382AB0
2/11/2016;11:00:00;2/17/2016;Trade;1MM+;102.060;0;N;;_;_;-;-;S;D;C;049382AB0
2/9/2016;11:59:00;2/12/2016;Trade;750000;102.000;0;N;;_;_;-;-;S;D;C;049382AB0
2/9/2016;11:59:00;2/12/2016;Trade;750000;101.900;0;N;;_;_;-;-;B;D;C;049382AB0
1/29/2016;10:50:00;2/3/2016;Trade;1MM+;101.900;0;N;;_;_;-;-;B;D;C;049382AB0
1/29/2016;10:50:00;2/3/2016;Trade;1MM+;102.000;0;N;;_;_;-;-;S;D;C;049382AB0
1/29/2016;09:59:00;2/3/2016;Trade;1000000;101.900;0;N;;_;_;-;-;B;D;C;049382AB0
1/29/2016;09:59:00;2/3/2016;Trade;1000000;102.000;0;N;;_;_;-;-;S;D;C;049382AB0
11/19/2015;11:28:00;11/24/2015;Trade;1MM+;101.900;0;N;;_;_;-;-;B;D;A;049382AB0
11/19/2015;11:28:00;11/24/2015;Trade;1MM+;101.980;0;N;;_;_;-;-;S;D;C;049382AB0
11/19/2015;11:28:00;11/24/2015;Trade;500000;102.000;0;N;;_;_;-;-;S;D;C;049382AB0
9/1/2015;12:32:05;9/4/2015;Trade;1MM+;102.130;0;N;;_;_;-;-;B;D;C;049382AB0
9/1/2015;12:29:38;9/4/2015;Trade;1MM+;102.230;0;N;;_;_;-;-;S;D;C;049382AB0
8/5/2015;11:37:00;8/10/2015;Trade;1MM+;102.100;0;N;;_;_;-;-;B;D;C;049382AB0
8/5/2015;11:37:00;8/10/2015;Trade;1MM+;102.200;0;N;;_;_;-;-;S;D;C;049382AB0
6/30/2015;11:21:00;7/6/2015;Trade;1MM+;101.800;0;N;;_;_;-;-;B;D;C;049382AB0
6/30/2015;11:21:00;7/6/2015;Trade;1MM+;102.000;0;N;;_;_;-;-;S;D;C;049382AB0
3/26/2015;08:54:48;3/31/2015;Cancel;1MM+;100.150;0;N;;_;_;-;-;S;;;049382AB0
3/26/2015;08:54:48;3/31/2015;Cancel;1MM+;100.150;0;N;;_;_;-;-;S;;;049382AB0
3/26/2015;08:54:46;3/31/2015;Cancel;1MM+;100.050;0;N;;_;_;-;-;B;;;049382AB0
3/26/2015;08:54:46;3/31/2015;Cancel;1MM+;100.050;0;N;;_;_;-;-;B;;;049382AB0
12/12/2014;11:14:00;12/17/2014;Trade;1000000;102.065;0;N;;_;_;-;-;B;;;049382AB0
12/12/2014;11:14:00;12/17/2014;Trade;1000000;102.065;0;N;;_;_;-;-;S;;;049382AB0
12/12/2014;11:14:00;12/17/2014;Trade;1000000;102.160;0;N;;_;_;-;-;B;;;049382AB0
12/12/2014;11:14:00;12/17/2014;Trade;1000000;102.160;0;N;;_;_;-;-;S;;;049382AB0
12/11/2014;12:16:00;12/16/2014;Trade;1000000;102.000;0;N;;_;_;-;-;B;;;049382AB0
12/11/2014;12:16:00;12/16/2014;Trade;1000000;102.000;0;N;;_;_;-;-;S;;;049382AB0
12/11/2014;12:16:00;12/16/2014;Trade;1000000;102.100;0;N;;_;_;-;-;B;;;049382AB0
12/11/2014;12:16:00;12/16/2014;Trade;1000000;102.100;0;N;;_;_;-;-;S;;;049382AB0
