Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/18/2019;10:12:00;7/22/2019;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;049382AD6
7/18/2019;10:12:00;7/22/2019;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;049382AD6
6/5/2019;10:20:00;6/7/2019;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;049382AD6
6/5/2019;10:20:00;6/7/2019;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;049382AD6
4/18/2019;09:55:00;4/24/2019;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;049382AD6
4/18/2019;09:52:38;4/23/2019;Cancel;1000000;98.300;;M;;_;_;-;-;B;D;C;049382AD6
4/18/2019;09:52:38;4/24/2019;Correction;1000000;98.300;;M;;_;_;-;-;B;D;C;049382AD6
4/18/2019;09:52:17;4/24/2019;Correction;1000000;98.300;;M;;_;_;-;-;B;D;C;049382AD6
4/18/2019;09:52:17;4/23/2019;Cancel;1000000;98.300;;M;;_;_;-;-;B;D;C;049382AD6
4/11/2019;11:27:22;4/15/2019;Trade;250000;98.300;;M;;_;_;-;-;B;D;C;049382AD6
4/11/2019;11:25:00;4/15/2019;Trade;250000;98.400;;M;;_;_;-;-;S;D;C;049382AD6
3/20/2019;14:15:00;3/22/2019;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;049382AD6
3/20/2019;14:13:59;3/22/2019;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;049382AD6
3/15/2019;10:45:00;3/19/2019;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;049382AD6
3/15/2019;10:20:31;3/19/2019;Trade;1000000;98.400;;M;;_;_;-;-;S;D;C;049382AD6
3/15/2019;10:19:51;3/19/2019;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;049382AD6
12/17/2018;14:04:36;12/19/2018;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;049382AD6
12/17/2018;14:04:04;12/19/2018;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;049382AD6
12/7/2018;12:11:41;12/11/2018;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;049382AD6
12/7/2018;12:11:08;12/11/2018;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;049382AD6
12/6/2018;11:33:52;12/10/2018;Trade;250000;98.500;;M;;_;_;-;-;S;D;C;049382AD6
12/6/2018;11:32:18;12/10/2018;Trade;250000;98.400;;M;;_;_;-;-;B;D;C;049382AD6
11/28/2018;11:28:24;11/30/2018;Trade;250000;99.050;;M;;_;_;-;-;S;D;C;049382AD6
11/28/2018;11:27:25;11/30/2018;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;049382AD6
11/27/2018;10:14:44;11/29/2018;Trade;500000;99.100;;M;;_;_;-;-;S;D;C;049382AD6
11/27/2018;10:14:12;11/29/2018;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;049382AD6
11/20/2018;10:44:54;11/23/2018;Trade;1000000;99.800;;M;;_;_;-;-;B;D;C;049382AD6
11/20/2018;10:44:31;11/23/2018;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;049382AD6
11/15/2018;08:44:44;11/19/2018;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;049382AD6
11/15/2018;08:43:58;11/19/2018;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;049382AD6
10/25/2018;11:36:07;10/29/2018;Trade;500000;100.500;;M;;_;_;-;-;S;D;C;049382AD6
10/25/2018;11:32:24;10/29/2018;Trade;500000;100.400;;M;;_;_;-;-;B;D;C;049382AD6
9/4/2018;14:00:08;9/6/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;049382AD6
9/4/2018;13:59:35;9/6/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;049382AD6
8/16/2018;10:28:45;8/20/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;049382AD6
8/16/2018;10:26:47;8/20/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;049382AD6
8/14/2018;08:56:43;8/16/2018;Trade;500000;100.350;;M;;_;_;-;-;S;D;C;049382AD6
8/14/2018;08:56:38;8/16/2018;Trade;500000;100.250;;M;;_;_;-;-;B;D;C;049382AD6
7/3/2018;09:48:04;7/6/2018;Trade;400000;100.350;;M;;_;_;-;-;S;D;C;049382AD6
7/3/2018;09:40:11;7/6/2018;Trade;400000;100.250;;M;;_;_;-;-;B;D;C;049382AD6
6/28/2018;11:15:38;7/2/2018;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;049382AD6
6/28/2018;11:13:45;7/2/2018;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;049382AD6
6/5/2018;08:40:14;6/7/2018;Trade;500000;99.825;;M;;_;_;-;-;S;D;C;049382AD6
6/5/2018;08:39:14;6/7/2018;Trade;500000;99.775;;M;;_;_;-;-;B;D;C;049382AD6
5/30/2018;09:01:44;6/1/2018;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;049382AD6
5/30/2018;09:00:54;6/1/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;049382AD6
5/29/2018;12:18:47;5/31/2018;Trade;250000;100.250;;M;;_;_;-;-;S;D;C;049382AD6
5/29/2018;12:18:09;5/31/2018;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;049382AD6
5/2/2018;12:05:22;5/4/2018;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;049382AD6
5/2/2018;12:05:00;5/4/2018;Trade;250000;99.000;;M;;_;_;-;-;B;D;C;049382AD6
4/16/2018;13:53:19;4/18/2018;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;049382AD6
4/16/2018;13:53:17;4/18/2018;Trade;1MM+;98.150;;M;;_;_;-;-;B;D;C;049382AD6
1/24/2018;09:52:05;1/26/2018;Trade;250000;96.255;;M;;_;_;-;-;S;D;C;049382AD6
1/24/2018;09:51:46;1/26/2018;Trade;250000;96.255;;M;;_;_;-;-;S;D;C;049382AD6
