Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/8/2019;14:07:36;4/10/2019;Trade;250000;96.400;;N;;Z;_;-;A;B;D;C;095538AA2
4/8/2019;14:07:36;4/10/2019;Trade;250000;96.500;;N;;Z;_;-;A;S;D;C;095538AA2
4/3/2019;11:50:51;4/5/2019;Trade;500000;97.100;;M;;_;_;-;-;S;D;C;095538AA2
4/3/2019;11:50:08;4/5/2019;Trade;500000;97.000;;M;;_;_;-;-;B;D;C;095538AA2
3/5/2019;11:21:57;3/7/2019;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;095538AA2
3/5/2019;11:21:29;3/7/2019;Trade;250000;99.500;;M;;_;_;-;-;B;D;C;095538AA2
12/20/2018;08:46:14;12/24/2018;Trade;250000;97.000;;M;;_;_;-;-;S;D;C;095538AA2
12/20/2018;08:39:57;12/24/2018;Trade;250000;96.750;;M;;_;_;-;-;B;D;C;095538AA2
12/17/2018;11:19:45;12/19/2018;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;095538AA2
12/17/2018;11:18:05;12/19/2018;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;095538AA2
12/17/2018;11:17:21;12/19/2018;Trade;1MM+;96.750;;M;;_;_;-;-;B;D;C;095538AA2
12/6/2018;10:55:32;12/10/2018;Trade;250000;93.000;;M;;_;_;-;-;S;D;C;095538AA2
12/6/2018;10:54:41;12/10/2018;Trade;250000;92.500;;M;;_;_;-;-;B;D;C;095538AA2
11/20/2018;11:21:52;11/23/2018;Trade;250000;94.000;;M;;_;_;-;-;S;D;C;095538AA2
11/20/2018;11:21:18;11/23/2018;Trade;250000;93.750;;M;;_;_;-;-;B;D;C;095538AA2
10/3/2018;08:03:40;10/5/2018;Trade;500000;95.000;;M;;_;_;-;-;S;D;C;095538AA2
10/3/2018;08:02:57;10/5/2018;Trade;500000;94.500;;M;;_;_;-;-;B;D;C;095538AA2
7/6/2018;09:17:03;7/10/2018;Trade;250000;96.095;;M;;_;_;-;-;S;D;C;095538AA2
7/6/2018;09:16:48;7/10/2018;Trade;250000;96.045;;M;;_;_;-;-;B;D;C;095538AA2
6/11/2018;09:56:38;6/13/2018;Trade;250000;96.285;;M;;_;_;-;-;S;D;C;095538AA2
6/11/2018;09:55:33;6/13/2018;Trade;250000;96.235;;M;;_;_;-;-;B;D;C;095538AA2
6/5/2018;08:42:44;6/7/2018;Trade;250000;96.165;;M;;_;_;-;-;S;D;C;095538AA2
6/5/2018;08:42:15;6/7/2018;Trade;250000;96.115;;M;;_;_;-;-;B;D;C;095538AA2
5/25/2018;10:15:00;5/30/2018;Correction;1MM+;95.650;;M;;Z;_;-;-;B;D;C;095538AA2
5/25/2018;10:15:00;5/30/2018;Correction;1MM+;95.800;;M;;Z;_;-;-;S;D;C;095538AA2
5/25/2018;10:15:00;5/30/2018;Cancel;1MM+;95.500;;M;;_;_;-;-;B;D;C;095538AA2
5/25/2018;10:15:00;5/30/2018;Cancel;1MM+;95.650;;M;;_;_;-;-;S;D;C;095538AA2
4/10/2018;11:03:00;4/12/2018;Trade;750000;94.350;;M;;_;_;-;-;B;D;C;095538AA2
4/10/2018;11:03:00;4/12/2018;Trade;750000;94.500;;M;;_;_;-;-;S;D;C;095538AA2
1/29/2018;12:21:29;1/31/2018;Trade;1MM+;94.750;;M;;_;_;-;-;S;D;C;095538AA2
1/29/2018;12:20:27;1/31/2018;Trade;1MM+;94.500;;M;;_;_;-;-;B;D;C;095538AA2
12/5/2017;11:11:00;12/7/2017;Trade;1MM+;80.000;;N;;_;_;-;-;B;D;C;095538AA2
12/5/2017;11:09:00;12/7/2017;Cancel;1MM+;81.000;;N;;_;_;-;-;S;D;C;095538AA2
12/5/2017;11:09:00;12/7/2017;Cancel;1MM+;81.000;;N;;_;_;-;-;S;D;C;095538AA2
12/5/2017;10:54:00;12/7/2017;Trade;1MM+;80.000;;;;_;_;-;-;S;D;D;095538AA2
12/5/2016;11:56:09;12/8/2016;Trade;250000;104.550;;M;;_;_;-;-;B;D;C;095538AA2
12/5/2016;11:56:05;12/8/2016;Trade;250000;104.650;;M;;_;_;-;-;S;D;C;095538AA2
10/12/2016;09:07:49;10/17/2016;Trade;1000000;97.000;;M;;_;_;-;-;S;D;C;095538AA2
10/12/2016;09:07:47;10/17/2016;Trade;1000000;97.000;;M;;_;_;-;-;S;D;C;095538AA2
10/12/2016;09:07:46;10/17/2016;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;095538AA2
9/9/2016;10:40:59;9/14/2016;Trade;1MM+;102.600;;M;;_;_;-;-;S;D;C;095538AA2
9/9/2016;10:40:51;9/14/2016;Trade;1000000;102.500;;M;;_;_;-;-;B;D;C;095538AA2
9/9/2016;10:40:43;9/14/2016;Trade;1MM+;102.500;;M;;_;_;-;-;B;D;C;095538AA2
7/19/2016;09:59:48;7/22/2016;Trade;1000000;99.100;;;;_;_;;;S;D;D;095538AA2
7/19/2016;09:59:46;7/22/2016;Trade;1000000;99.000;;;;_;_;;;B;D;C;095538AA2
7/19/2016;09:05:40;7/22/2016;Trade;1MM+;99.000;;;;_;_;;;B;D;C;095538AA2
7/19/2016;09:05:38;7/22/2016;Trade;1MM+;99.100;;;;_;_;;;S;D;C;095538AA2
7/18/2016;16:10:57;7/21/2016;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;095538AA2
7/18/2016;16:10:55;7/21/2016;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;095538AA2
6/23/2016;13:16:09;6/28/2016;Trade;1MM+;100.150;;N;;_;_;-;-;S;D;C;095538AA2
6/23/2016;13:16:06;6/28/2016;Trade;1MM+;100.050;;N;;_;_;-;-;B;D;C;095538AA2
