Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/13/2019;10:24:05;6/17/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;095538AC8
6/13/2019;10:23:10;6/17/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;095538AC8
6/5/2019;09:51:18;6/7/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;095538AC8
6/5/2019;09:47:10;6/7/2019;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;095538AC8
2/14/2019;13:05:08;2/19/2019;Trade;250000;101.100;;M;;_;_;-;-;B;D;C;095538AC8
2/14/2019;12:43:08;2/19/2019;Cancel;250000;101.100;;M;;_;_;-;-;B;D;C;095538AC8
2/14/2019;12:43:08;2/19/2019;Cancel;250000;101.100;;M;;_;_;-;-;B;D;C;095538AC8
2/14/2019;12:26:08;2/19/2019;Trade;250000;101.200;;M;;_;_;-;-;S;D;C;095538AC8
12/6/2018;11:13:56;12/10/2018;Trade;375000;100.500;;M;;_;_;-;-;S;D;C;095538AC8
12/6/2018;11:13:03;12/10/2018;Trade;375000;100.400;;M;;_;_;-;-;B;D;C;095538AC8
11/15/2018;15:22:56;11/19/2018;Trade;375000;101.750;;M;;_;_;-;-;S;D;C;095538AC8
11/15/2018;15:22:16;11/19/2018;Trade;375000;101.650;;M;;_;_;-;-;B;D;C;095538AC8
11/9/2018;09:30:24;11/14/2018;Trade;1MM+;102.150;;M;;_;_;-;-;S;D;C;095538AC8
11/9/2018;09:29:47;11/14/2018;Trade;1MM+;102.050;;M;;_;_;-;-;B;D;C;095538AC8
11/8/2018;11:42:41;11/13/2018;Trade;500000;102.150;;M;;_;_;-;-;S;D;C;095538AC8
11/8/2018;11:41:39;11/13/2018;Trade;500000;102.050;;M;;_;_;-;-;B;D;C;095538AC8
11/8/2018;11:06:22;11/13/2018;Trade;1MM+;102.150;;M;;_;_;-;-;S;D;C;095538AC8
11/8/2018;11:05:36;11/13/2018;Trade;1MM+;102.050;;M;;_;_;-;-;B;D;C;095538AC8
7/24/2018;09:52:19;7/26/2018;Trade;1MM+;100.625;;M;;_;_;-;-;S;D;C;095538AC8
7/24/2018;09:52:11;7/26/2018;Trade;1MM+;100.525;;M;;_;_;-;-;B;D;C;095538AC8
6/5/2018;08:44:51;6/7/2018;Trade;400000;100.395;;M;;_;_;-;-;B;D;C;095538AC8
6/5/2018;08:44:06;6/7/2018;Trade;400000;100.445;;M;;_;_;-;-;S;D;C;095538AC8
5/23/2018;10:25:00;5/25/2018;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;095538AC8
5/23/2018;10:25:00;5/25/2018;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;095538AC8
4/26/2018;16:36:00;4/30/2018;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;095538AC8
4/26/2018;16:36:00;4/30/2018;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;095538AC8
3/27/2018;10:43:00;3/29/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;095538AC8
3/27/2018;10:43:00;3/29/2018;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;095538AC8
11/21/2017;10:46:00;11/22/2017;Trade;750000;95.600;;M;;_;_;-;-;S;D;C;095538AC8
11/21/2017;07:55:58;11/22/2017;Trade;750000;95.350;;M;;_;_;-;-;B;D;C;095538AC8
6/23/2017;09:58:12;6/28/2017;Trade;1MM+;102.700;;M;;_;_;-;-;S;D;C;095538AC8
6/23/2017;09:57:31;6/28/2017;Trade;1MM+;102.600;;M;;_;_;-;-;B;D;C;095538AC8
6/14/2017;01:55:00;6/19/2017;Trade;1MM+;102.600;;M;;Z;_;-;-;B;D;C;095538AC8
6/14/2017;01:55:00;6/19/2017;Trade;1MM+;102.700;;M;;Z;_;-;-;S;D;C;095538AC8
4/21/2017;11:44:31;4/26/2017;Trade;1MM+;103.500;;M;;_;_;-;-;S;D;C;095538AC8
4/21/2017;11:44:24;4/26/2017;Trade;1MM+;103.400;;M;;_;_;-;-;B;D;C;095538AC8
3/31/2017;08:30:00;4/5/2017;Trade;1MM+;103.875;;M;;_;_;-;-;B;D;C;095538AC8
3/31/2017;08:30:00;4/5/2017;Trade;1MM+;103.975;;M;;_;_;-;-;S;D;C;095538AC8
3/30/2017;10:35:00;4/4/2017;Trade;1MM+;103.875;;M;;_;_;-;-;B;D;C;095538AC8
3/30/2017;10:35:00;4/4/2017;Trade;1MM+;103.975;;M;;_;_;-;-;S;D;C;095538AC8
3/30/2017;04:49:00;4/4/2017;Trade;1MM+;103.825;;M;;Z;_;-;-;B;D;C;095538AC8
3/30/2017;04:49:00;4/4/2017;Trade;1MM+;103.925;;M;;Z;_;-;-;S;D;C;095538AC8
1/31/2017;11:00:00;2/3/2017;Trade;1MM+;104.850;;M;;_;_;-;-;S;D;C;095538AC8
1/31/2017;11:00:00;2/3/2017;Trade;500000;104.850;;M;;_;_;-;-;S;D;C;095538AC8
1/31/2017;11:00:00;2/3/2017;Trade;500000;104.850;;M;;_;_;-;-;S;D;C;095538AC8
1/31/2017;11:00:00;2/3/2017;Trade;1MM+;104.750;;M;;_;_;-;-;B;D;C;095538AC8
1/25/2017;11:21:00;1/30/2017;Trade;1MM+;104.750;;;;_;_;-;-;S;D;D;095538AC8
1/25/2017;11:19:56;1/30/2017;Trade;1MM+;104.850;;M;;_;_;-;-;S;D;C;095538AC8
12/13/2016;09:30:00;12/16/2016;Trade;1MM+;104.350;;M;;_;_;-;-;B;D;C;095538AC8
12/13/2016;09:27:00;12/16/2016;Trade;1MM+;104.450;;;;_;_;-;-;S;D;D;095538AC8
7/22/2016;11:30:09;7/27/2016;Trade;1MM+;100.250;;;;_;_;;;S;D;C;095538AC8
7/22/2016;11:30:06;7/27/2016;Trade;1MM+;100.150;;;;_;_;;;B;D;C;095538AC8
