Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/9/2019;13:42:10;12/11/2019;Trade;250000;99.800;;M;;_;_;-;-;S;D;C;09785EAA9
12/9/2019;13:36:10;12/11/2019;Trade;250000;99.700;;M;;_;_;-;-;B;D;C;09785EAA9
12/2/2019;13:31:56;12/4/2019;Trade;1MM+;99.600;;N;;_;_;-;-;B;D;C;09785EAA9
12/2/2019;13:31:56;12/4/2019;Trade;1MM+;99.640;;N;;_;_;-;-;S;D;C;09785EAA9
11/19/2019;13:02:14;11/21/2019;Trade;250000;99.400;;M;;_;_;-;-;S;D;C;09785EAA9
11/19/2019;10:58:10;11/21/2019;Trade;250000;99.300;;M;;_;_;-;-;B;D;C;09785EAA9
11/8/2019;15:57:00;11/13/2019;Trade;500000;99.750;;M;;Z;_;-;-;S;D;C;09785EAA9
11/8/2019;15:57:00;11/13/2019;Trade;500000;99.750;;N;;Z;_;-;-;B;D;C;09785EAA9
11/8/2019;15:56:00;11/13/2019;Trade;750000;99.700;;M;;Z;_;-;-;B;D;C;09785EAA9
11/8/2019;15:56:00;11/13/2019;Trade;750000;99.700;;N;;Z;_;-;-;S;D;C;09785EAA9
11/8/2019;15:50:00;11/13/2019;Trade;250000;99.750;;M;;Z;_;-;-;S;D;C;09785EAA9
11/8/2019;15:50:00;11/13/2019;Trade;250000;99.750;;N;;Z;_;-;-;B;D;C;09785EAA9
10/29/2019;10:46:49;10/31/2019;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;09785EAA9
10/29/2019;10:46:15;10/31/2019;Trade;1000000;99.700;;M;;_;_;-;-;S;D;C;09785EAA9
10/29/2019;10:45:39;10/31/2019;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;09785EAA9
10/29/2019;10:11:29;10/31/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;09785EAA9
10/29/2019;10:06:39;10/31/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;09785EAA9
9/26/2019;11:30:36;9/30/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;09785EAA9
9/26/2019;11:28:28;9/30/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;09785EAA9
9/19/2019;09:39:32;9/24/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;09785EAA9
9/19/2019;09:38:21;9/24/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;09785EAA9
7/29/2019;14:39:37;7/31/2019;Trade;1000000;96.950;;M;;_;_;-;-;B;D;C;09785EAA9
7/29/2019;14:39:34;7/31/2019;Trade;1000000;97.000;;M;;_;_;-;-;S;D;C;09785EAA9
6/13/2019;12:00:04;6/17/2019;Trade;250000;97.700;;M;;_;_;-;-;S;D;C;09785EAA9
6/13/2019;11:34:06;6/17/2019;Trade;250000;97.600;;M;;_;_;-;-;B;D;C;09785EAA9
6/13/2019;11:33:04;6/17/2019;Cancel;250000;97.700;;M;;_;_;-;-;S;D;C;09785EAA9
6/13/2019;11:33:04;6/17/2019;Cancel;250000;97.700;;M;;_;_;-;-;S;D;C;09785EAA9
5/2/2019;10:28:13;5/6/2019;Trade;1000000;97.550;;M;;_;_;-;-;B;D;C;09785EAA9
5/2/2019;10:05:47;5/6/2019;Trade;1MM+;97.550;;M;;_;_;-;-;B;D;C;09785EAA9
5/2/2019;10:05:22;5/6/2019;Trade;500000;97.550;;M;;_;_;-;-;B;D;C;09785EAA9
5/2/2019;10:04:51;5/6/2019;Trade;1MM+;97.650;;M;;_;_;-;-;S;D;C;09785EAA9
4/29/2019;11:33:00;5/1/2019;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;09785EAA9
4/29/2019;11:31:40;5/1/2019;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;09785EAA9
4/26/2019;09:53:50;4/30/2019;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;09785EAA9
4/26/2019;09:46:29;4/30/2019;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;09785EAA9
3/20/2019;13:04:34;3/22/2019;Trade;550000;98.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/20/2019;13:04:22;3/22/2019;Trade;500000;98.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/20/2019;13:03:31;3/22/2019;Trade;500000;98.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/20/2019;11:15:00;3/22/2019;Correction;1MM+;98.550;;M;;Z;_;-;-;S;D;C;09785EAA9
3/20/2019;11:15:00;3/22/2019;Cancel;1MM+;98.550;;M;;_;_;-;-;S;D;C;09785EAA9
3/20/2019;11:11:55;3/22/2019;Correction;1MM+;98.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/20/2019;11:11:55;3/22/2019;Cancel;1MM+;99.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/13/2019;12:02:15;3/15/2019;Trade;1000000;98.550;;M;;_;_;-;-;S;D;C;09785EAA9
3/13/2019;12:01:31;3/15/2019;Trade;250000;98.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/13/2019;12:00:11;3/15/2019;Trade;750000;98.450;;M;;_;_;-;-;B;D;C;09785EAA9
3/8/2019;12:15:00;3/12/2019;Trade;1MM+;98.650;;M;;_;_;-;-;S;D;C;09785EAA9
