Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/7/2019;09:21:56;11/8/2019;Trade;1MM+;99.910;;M;;_;_;-;-;S;D;C;09785EAB7
11/7/2019;09:21:12;11/8/2019;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;09785EAB7
6/3/2019;09:30:34;6/5/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;09785EAB7
6/3/2019;09:30:02;6/5/2019;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;09785EAB7
5/31/2019;08:41:42;6/4/2019;Trade;1000000;97.900;;M;;_;_;-;-;S;D;C;09785EAB7
5/31/2019;08:35:41;6/4/2019;Trade;1000000;97.800;;M;;_;_;-;-;B;D;C;09785EAB7
4/30/2019;09:25:07;5/2/2019;Trade;632000;98.050;;M;;_;_;-;-;S;D;C;09785EAB7
4/30/2019;09:23:58;5/2/2019;Trade;632000;97.950;;M;;_;_;-;-;B;D;C;09785EAB7
4/26/2019;10:35:55;4/30/2019;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;09785EAB7
4/26/2019;10:35:09;4/30/2019;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;09785EAB7
4/23/2019;11:25:13;4/25/2019;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;09785EAB7
4/23/2019;11:24:28;4/25/2019;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;09785EAB7
3/6/2019;13:35:00;3/8/2019;Trade;500000;98.850;;M;;_;_;-;-;S;D;C;09785EAB7
3/6/2019;13:35:00;3/8/2019;Trade;500000;98.750;;M;;_;_;-;-;B;D;C;09785EAB7
2/22/2019;10:41:20;2/26/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;09785EAB7
2/22/2019;10:41:04;2/26/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;09785EAB7
12/18/2018;09:39:58;12/20/2018;Trade;250000;97.950;;M;;_;_;-;-;S;D;C;09785EAB7
12/18/2018;09:39:09;12/20/2018;Trade;250000;97.850;;M;;_;_;-;-;B;D;C;09785EAB7
12/17/2018;17:06:00;12/19/2018;Trade;250000;97.850;;N;;_;_;-;-;B;D;C;09785EAB7
12/17/2018;17:06:00;12/19/2018;Trade;250000;97.950;;N;;_;_;-;-;S;D;C;09785EAB7
9/18/2018;11:07:57;9/20/2018;Trade;500000;98.750;;M;;_;_;-;-;S;D;C;09785EAB7
9/18/2018;11:06:34;9/20/2018;Trade;500000;98.500;;M;;_;_;-;-;B;D;C;09785EAB7
3/28/2018;11:48:00;4/2/2018;Trade;500000;98.500;;M;;Z;_;-;-;B;D;C;09785EAB7
3/28/2018;11:48:00;4/2/2018;Trade;500000;98.600;;M;;Z;_;-;-;S;D;C;09785EAB7
2/15/2017;09:45:00;2/21/2017;Trade;500000;100.500;;;;_;_;-;-;S;D;D;09785EAB7
2/15/2017;09:43:14;2/21/2017;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;09785EAB7
