Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/19/2020;09:32:24;6/23/2020;Trade;500000;97.350;;M;;_;_;-;-;S;D;C;09785EAC5
6/19/2020;09:30:42;6/23/2020;Trade;750000;97.250;;M;;_;_;-;-;B;D;C;09785EAC5
6/19/2020;09:23:06;6/24/2020;Trade;750000;97.350;;M;;_;_;-;-;S;D;C;09785EAC5
6/19/2020;09:18:42;6/24/2020;Trade;750000;97.250;;M;;_;_;-;-;B;D;C;09785EAC5
6/19/2020;09:17:54;6/23/2020;Trade;250000;97.350;;M;;_;_;-;-;S;;;09785EAC5
6/18/2020;13:40:18;6/22/2020;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;09785EAC5
6/18/2020;13:39:35;6/22/2020;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;09785EAC5
6/18/2020;13:10:38;6/22/2020;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;09785EAC5
6/18/2020;13:09:45;6/22/2020;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;09785EAC5
6/18/2020;12:28:26;6/22/2020;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;09785EAC5
6/18/2020;12:27:50;6/22/2020;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;09785EAC5
6/4/2020;10:24:15;6/8/2020;Trade;800000;96.900;;M;;_;_;-;-;B;D;C;09785EAC5
6/4/2020;10:23:30;6/8/2020;Trade;800000;97.000;;M;;_;_;-;-;S;D;C;09785EAC5
