Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/2/2020;10:15:47;6/4/2020;Trade;500000;97.800;;M;;_;_;-;-;S;D;C;10260PAC2
6/2/2020;10:14:55;6/4/2020;Trade;500000;97.700;;M;;_;_;-;-;B;D;C;10260PAC2
4/17/2020;12:27:10;4/21/2020;Trade;500000;98.000;;M;;_;_;-;-;S;D;C;10260PAC2
4/17/2020;12:26:34;4/21/2020;Trade;500000;97.900;;M;;_;_;-;-;B;D;C;10260PAC2
4/17/2020;12:11:15;4/21/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;10260PAC2
4/17/2020;12:10:32;4/21/2020;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;10260PAC2
3/26/2020;15:33:24;3/30/2020;Trade;700000;97.500;;M;;_;_;-;-;S;D;C;10260PAC2
3/26/2020;15:27:19;3/30/2020;Trade;700000;97.400;;M;;_;_;-;-;B;D;C;10260PAC2
3/26/2020;13:23:14;3/30/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;10260PAC2
3/26/2020;13:22:30;3/30/2020;Trade;1000000;97.500;;M;;_;_;-;-;S;D;C;10260PAC2
3/26/2020;13:21:31;3/30/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;10260PAC2
3/26/2020;10:35:22;3/30/2020;Trade;575000;97.500;;M;;_;_;-;-;S;D;C;10260PAC2
3/26/2020;10:34:25;3/30/2020;Trade;575000;97.400;;M;;_;_;-;-;B;D;C;10260PAC2
3/12/2020;11:14:32;3/16/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;10260PAC2
3/12/2020;11:11:55;3/16/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;10260PAC2
3/11/2020;15:22:53;3/13/2020;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;10260PAC2
3/11/2020;15:18:46;3/13/2020;Trade;1000000;99.650;;M;;_;_;-;-;B;D;C;10260PAC2
3/11/2020;14:10:33;3/13/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;10260PAC2
3/11/2020;14:09:55;3/13/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;10260PAC2
3/11/2020;12:49:47;3/13/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;10260PAC2
3/11/2020;12:46:44;3/13/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;10260PAC2
12/12/2019;12:01:04;12/16/2019;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;10260PAC2
12/12/2019;12:00:42;12/16/2019;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;10260PAC2
11/8/2019;14:21:00;11/13/2019;Trade;667000;101.000;;M;;Z;_;-;-;B;D;C;10260PAC2
11/8/2019;14:21:00;11/13/2019;Trade;667000;101.000;;N;;Z;_;-;-;S;D;C;10260PAC2
11/8/2019;13:15:00;11/13/2019;Trade;667000;101.100;;M;;Z;_;-;-;S;D;C;10260PAC2
11/8/2019;13:15:00;11/13/2019;Trade;667000;101.100;;N;;Z;_;-;-;B;D;C;10260PAC2
9/13/2019;10:32:13;9/17/2019;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;10260PAC2
9/13/2019;10:29:41;9/17/2019;Trade;1MM+;100.200;;M;;Z;_;-;-;B;D;C;10260PAC2
5/28/2019;10:36:33;5/30/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;10260PAC2
5/28/2019;10:34:17;5/30/2019;Trade;550000;100.000;;M;;_;_;-;-;S;D;C;10260PAC2
5/28/2019;10:33:43;5/30/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;10260PAC2
5/10/2019;12:44:38;5/14/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;10260PAC2
5/10/2019;12:43:55;5/14/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;10260PAC2
5/10/2019;09:16:58;5/14/2019;Trade;700000;99.250;;M;;_;_;-;-;S;D;C;10260PAC2
5/10/2019;09:16:08;5/14/2019;Trade;700000;99.150;;M;;_;_;-;-;B;D;C;10260PAC2
5/9/2019;09:29:32;5/13/2019;Trade;500000;99.250;;M;;_;_;-;-;S;D;C;10260PAC2
5/9/2019;09:28:39;5/13/2019;Trade;500000;99.150;;M;;_;_;-;-;B;D;C;10260PAC2
5/1/2019;11:24:37;5/3/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;10260PAC2
5/1/2019;11:24:33;5/3/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;10260PAC2
