Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/17/2020;13:08:54;3/19/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;119798AA4
3/17/2020;13:08:51;3/19/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;119798AA4
11/20/2019;15:00:00;11/22/2019;Trade;1000000;98.500;;N;;_;_;-;-;B;D;C;119798AA4
11/20/2019;15:00:00;11/22/2019;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;119798AA4
11/20/2019;15:00:00;11/22/2019;Trade;1000000;98.400;;N;;_;_;-;-;S;D;C;119798AA4
11/20/2019;15:00:00;11/22/2019;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;119798AA4
8/2/2019;10:19:22;8/6/2019;Trade;250000;96.900;;M;;_;_;-;-;S;D;C;119798AA4
8/2/2019;10:18:13;8/6/2019;Trade;250000;96.800;;M;;_;_;-;-;B;D;C;119798AA4
7/18/2019;10:21:20;7/22/2019;Trade;500000;97.000;;M;;_;_;-;-;B;D;C;119798AA4
7/18/2019;10:20:45;7/22/2019;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;119798AA4
7/18/2019;10:19:57;7/22/2019;Trade;900000;97.000;;M;;_;_;-;-;B;D;C;119798AA4
7/3/2019;11:26:04;7/8/2019;Trade;250000;97.100;;M;;_;_;-;-;S;D;C;119798AA4
7/3/2019;11:25:18;7/8/2019;Trade;250000;97.000;;M;;_;_;-;-;B;D;C;119798AA4
7/2/2019;12:20:04;7/5/2019;Trade;250000;97.100;;M;;_;_;-;-;S;D;C;119798AA4
7/2/2019;12:19:03;7/5/2019;Trade;250000;97.000;;M;;_;_;-;-;B;D;C;119798AA4
5/30/2019;09:42:09;6/3/2019;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;119798AA4
5/30/2019;09:41:36;6/3/2019;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;119798AA4
5/20/2019;10:24:25;5/22/2019;Trade;250000;96.250;;M;;_;_;-;-;S;D;C;119798AA4
5/20/2019;10:23:33;5/22/2019;Trade;250000;96.150;;M;;_;_;-;-;B;D;C;119798AA4
4/8/2019;12:27:00;4/10/2019;Trade;250000;96.600;;M;;_;_;-;-;S;D;C;119798AA4
4/8/2019;12:26:24;4/10/2019;Trade;250000;96.600;;M;;_;_;-;-;S;D;C;119798AA4
4/8/2019;12:24:45;4/10/2019;Trade;500000;96.500;;M;;_;_;-;-;B;D;C;119798AA4
8/23/2018;11:04:13;8/27/2018;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;119798AA4
8/23/2018;11:04:10;8/27/2018;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;119798AA4
8/23/2018;11:04:08;8/27/2018;Trade;750000;100.000;;M;;_;_;-;-;S;D;C;119798AA4
5/30/2018;09:50:24;6/1/2018;Trade;550000;100.000;;M;;_;_;-;-;S;D;C;119798AA4
5/30/2018;09:49:52;6/1/2018;Trade;550000;99.900;;M;;_;_;-;-;B;D;C;119798AA4
5/29/2018;12:04:01;5/31/2018;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;119798AA4
5/29/2018;12:02:34;5/31/2018;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;119798AA4
5/29/2018;11:42:00;5/31/2018;Trade;1MM+;100.200;;N;;_;_;-;-;B;D;C;119798AA4
5/29/2018;11:42:00;5/31/2018;Trade;1MM+;100.300;;N;;_;_;-;-;S;D;C;119798AA4
5/29/2018;10:14:00;5/31/2018;Trade;750000;99.900;;M;;_;_;-;-;B;D;C;119798AA4
5/29/2018;10:14:00;5/31/2018;Trade;750000;100.000;;M;;_;_;-;-;S;D;C;119798AA4
5/7/2018;11:20:05;5/9/2018;Trade;1000000;100.050;;M;;_;_;-;-;B;D;C;119798AA4
5/7/2018;11:20:00;5/9/2018;Trade;1000000;100.130;;M;;_;_;-;-;S;D;C;119798AA4
4/19/2018;10:18:44;4/23/2018;Trade;250000;100.050;;M;;_;_;-;-;B;D;C;119798AA4
4/19/2018;10:18:41;4/23/2018;Trade;250000;100.150;;M;;_;_;-;-;S;D;C;119798AA4
2/8/2018;11:48:17;2/12/2018;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;119798AA4
2/8/2018;11:48:17;2/12/2018;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;119798AA4
11/22/2017;15:10:00;11/28/2017;Trade;250000;99.050;;M;;_;_;-;-;S;D;C;119798AA4
11/22/2017;15:03:40;11/28/2017;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;119798AA4
8/14/2017;10:34:00;8/17/2017;Trade;500000;100.400;;M;;_;_;-;-;S;D;C;119798AA4
6/15/2017;11:39:13;6/20/2017;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;119798AA4
6/15/2017;11:38:00;6/20/2017;Trade;500000;100.500;;;;_;_;-;-;S;D;D;119798AA4
6/15/2017;10:45:00;6/20/2017;Trade;250000;100.600;;N;;_;_;-;-;S;D;C;119798AA4
6/15/2017;10:45:00;6/20/2017;Trade;250000;100.500;;N;;_;_;-;-;B;D;C;119798AA4
6/15/2017;10:32:00;6/20/2017;Trade;250000;100.500;;;;_;_;-;-;S;D;D;119798AA4
