Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/17/2020;15:08:19;3/19/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;119798AB2
3/17/2020;15:02:38;3/19/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;119798AB2
2/20/2020;12:13:11;2/24/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;119798AB2
2/20/2020;11:02:40;2/24/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;119798AB2
12/12/2019;10:01:00;12/17/2019;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;119798AB2
12/12/2019;10:01:00;12/17/2019;Trade;250000;100.000;;M;;_;_;-;-;S;;;119798AB2
12/11/2019;12:40:00;12/13/2019;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;119798AB2
12/11/2019;12:40:00;12/13/2019;Trade;500000;100.000;;M;;Z;_;-;-;S;D;C;119798AB2
4/12/2019;14:11:29;4/16/2019;Trade;500000;94.250;;M;;_;_;-;-;S;D;C;119798AB2
4/12/2019;14:11:11;4/16/2019;Trade;250000;94.150;;M;;_;_;-;-;B;D;C;119798AB2
4/12/2019;14:10:37;4/16/2019;Trade;250000;94.150;;M;;_;_;-;-;B;D;C;119798AB2
1/30/2019;18:47:01;2/1/2019;Trade;1MM+;98.000;;M;;Z;_;-;A;B;D;C;119798AB2
1/30/2019;18:41:32;2/1/2019;Trade;500000;98.100;;M;;_;_;-;A;S;D;C;119798AB2
1/30/2019;18:41:14;2/1/2019;Trade;250000;98.100;;M;;_;_;-;A;S;D;C;119798AB2
1/30/2019;18:24:28;2/1/2019;Trade;1MM+;98.100;;M;;_;_;-;A;S;D;C;119798AB2
1/30/2019;18:18:59;2/1/2019;Trade;1000000;98.000;;M;;Z;_;-;A;B;D;C;119798AB2
1/30/2019;14:24:28;2/1/2019;Cancel;1MM+;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/30/2019;14:24:28;2/1/2019;Cancel;1MM+;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/30/2019;14:23:59;2/1/2019;Cancel;1MM+;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/30/2019;14:23:59;2/1/2019;Cancel;1MM+;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/30/2019;10:33:55;2/1/2019;Trade;300000;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/30/2019;10:31:54;2/1/2019;Trade;300000;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/28/2019;18:54:04;1/30/2019;Trade;1MM+;98.100;;M;;_;_;-;A;S;D;C;119798AB2
1/28/2019;18:38:48;1/30/2019;Trade;250000;98.100;;M;;_;_;-;A;S;D;C;119798AB2
1/28/2019;12:56:07;1/30/2019;Trade;1000000;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/28/2019;12:55:56;1/30/2019;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/28/2019;12:55:14;1/30/2019;Trade;1000000;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/28/2019;12:54:04;1/30/2019;Cancel;1MM+;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/28/2019;12:54:04;1/30/2019;Cancel;1MM+;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/28/2019;04:39:08;1/30/2019;Trade;250000;98.100;;M;;Z;_;-;A;S;D;C;119798AB2
1/28/2019;04:38:31;1/30/2019;Trade;725000;98.100;;M;;Z;_;-;A;S;D;C;119798AB2
1/24/2019;17:25:58;1/28/2019;Trade;250000;98.100;;M;;T;_;-;-;S;D;C;119798AB2
1/24/2019;17:25:41;1/28/2019;Trade;325000;98.100;;M;;T;_;-;-;S;D;C;119798AB2
1/24/2019;17:25:26;1/28/2019;Trade;250000;98.100;;M;;T;_;-;-;S;D;C;119798AB2
1/24/2019;17:22:09;1/28/2019;Trade;1MM+;98.100;;M;;T;_;-;-;S;D;C;119798AB2
1/24/2019;14:05:15;1/28/2019;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/24/2019;13:42:09;1/28/2019;Cancel;1MM+;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/24/2019;13:42:09;1/28/2019;Cancel;1MM+;98.100;;M;;_;_;-;-;S;D;C;119798AB2
1/24/2019;13:41:15;1/28/2019;Cancel;1MM+;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/24/2019;13:41:15;1/28/2019;Cancel;1MM+;98.000;;M;;_;_;-;-;B;D;C;119798AB2
1/11/2019;08:31:15;1/15/2019;Trade;250000;99.500;;M;;_;_;-;-;S;D;C;119798AB2
1/11/2019;08:29:25;1/15/2019;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;119798AB2
7/13/2018;10:50:00;7/17/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;119798AB2
7/13/2018;10:50:00;7/17/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;119798AB2
7/13/2018;10:48:57;7/17/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;119798AB2
7/13/2018;10:48:39;7/17/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;119798AB2
7/13/2018;10:48:17;7/17/2018;Cancel;1000000;100.100;;M;;_;_;-;-;S;D;C;119798AB2
7/13/2018;10:48:17;7/17/2018;Cancel;1000000;100.100;;M;;_;_;-;-;S;D;C;119798AB2
7/13/2018;10:47:59;7/17/2018;Cancel;1MM+;100.000;;M;;_;_;-;-;S;D;C;119798AB2
7/13/2018;10:47:59;7/17/2018;Cancel;1MM+;100.000;;M;;_;_;-;-;S;D;C;119798AB2
6/11/2018;11:02:00;6/13/2018;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;119798AB2
6/11/2018;11:02:00;6/13/2018;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;119798AB2
6/8/2018;12:05:00;6/12/2018;Trade;300000;100.150;;M;;_;_;-;-;S;D;C;119798AB2
6/8/2018;12:05:00;6/12/2018;Trade;300000;100.050;;M;;_;_;-;-;B;D;C;119798AB2
4/19/2018;10:18:44;4/23/2018;Trade;250000;100.300;;M;;_;_;-;-;B;D;C;119798AB2
4/19/2018;10:18:41;4/23/2018;Trade;250000;100.400;;M;;_;_;-;-;S;D;C;119798AB2
3/26/2018;11:19:00;3/28/2018;Trade;1000000;99.700;;M;;_;_;-;-;S;D;C;119798AB2
3/26/2018;11:19:00;3/28/2018;Trade;1000000;99.600;;M;;_;_;-;-;B;D;C;119798AB2
11/22/2017;15:10:00;11/28/2017;Trade;250000;98.550;;M;;_;_;-;-;S;D;C;119798AB2
11/22/2017;15:05:12;11/28/2017;Trade;250000;98.450;;M;;_;_;-;-;B;D;C;119798AB2
