Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
2/23/2016;09:22:58;2/26/2016;Trade;1000000;100.020;0;N;;_;_;-;-;S;D;C;12764TAA5
2/23/2016;09:22:56;2/26/2016;Trade;1000000;99.980;0;N;;_;_;-;-;B;D;C;12764TAA5
2/22/2016;17:05:32;2/25/2016;Trade;1MM+;99.990;0;N;;_;_;-;-;B;D;C;12764TAA5
2/22/2016;17:05:30;2/25/2016;Trade;1MM+;100.025;0;N;;_;_;-;-;S;D;C;12764TAA5
2/22/2016;10:06:58;2/25/2016;Trade;1MM+;100.025;0;N;;_;_;-;-;S;D;C;12764TAA5
2/22/2016;10:06:56;2/25/2016;Trade;1MM+;99.990;0;N;;_;_;-;-;B;D;C;12764TAA5
2/8/2016;08:45:51;2/11/2016;Trade;1MM+;100.010;0;N;;_;_;-;-;B;D;C;12764TAA5
2/8/2016;08:45:50;2/11/2016;Trade;1MM+;100.060;0;N;;_;_;-;-;S;D;C;12764TAA5
2/2/2016;10:41:54;2/5/2016;Trade;1MM+;100.070;0;N;;_;_;-;-;S;D;C;12764TAA5
2/2/2016;10:41:53;2/5/2016;Trade;1MM+;100.020;0;N;;_;_;-;-;B;D;C;12764TAA5
2/2/2016;10:08:49;2/5/2016;Trade;1MM+;100.070;0;N;;_;_;-;-;S;D;C;12764TAA5
2/2/2016;10:08:47;2/5/2016;Trade;1MM+;100.020;0;N;;_;_;-;-;B;D;C;12764TAA5
12/22/2015;12:06:24;12/28/2015;Trade;1MM+;100.080;0;N;;_;_;-;-;S;D;C;12764TAA5
12/22/2015;12:06:13;12/28/2015;Trade;1MM+;100.000;0;N;;_;_;-;-;B;D;C;12764TAA5
12/22/2015;11:12:12;12/28/2015;Trade;1MM+;100.080;0;N;;_;_;-;-;S;D;C;12764TAA5
12/22/2015;11:12:02;12/28/2015;Trade;1MM+;100.000;0;N;;_;_;-;-;B;D;C;12764TAA5
12/22/2015;08:15:00;12/28/2015;Trade;1MM+;100.000;0;N;;_;_;-;-;B;D;C;12764TAA5
12/22/2015;08:15:00;12/28/2015;Trade;1MM+;100.100;0;N;;_;_;-;-;S;D;C;12764TAA5
12/16/2015;11:29:55;12/21/2015;Trade;1MM+;100.310;0;N;;_;_;-;-;S;D;C;12764TAA5
