Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
1/14/2020;10:47:03;1/16/2020;Trade;375000;100.000;;M;;_;_;-;-;B;D;C;12765JAA6
1/14/2020;10:47:00;1/16/2020;Trade;375000;100.100;;M;;_;_;-;-;S;D;C;12765JAA6
11/20/2019;13:52:00;11/22/2019;Trade;750000;99.650;;N;;Z;_;-;-;B;D;C;12765JAA6
11/20/2019;13:52:00;11/22/2019;Trade;750000;99.650;;M;;Z;_;-;-;S;D;C;12765JAA6
11/20/2019;13:52:00;11/22/2019;Trade;750000;99.550;;N;;Z;_;-;-;S;D;C;12765JAA6
11/20/2019;13:52:00;11/22/2019;Trade;750000;99.550;;M;;Z;_;-;-;B;D;C;12765JAA6
7/29/2019;14:39:04;7/31/2019;Trade;750000;99.150;;M;;_;_;-;-;B;D;C;12765JAA6
7/29/2019;14:39:02;7/31/2019;Trade;750000;99.200;;M;;_;_;-;-;S;D;C;12765JAA6
7/16/2019;10:17:24;7/18/2019;Trade;500000;98.950;;M;;_;_;-;-;S;D;C;12765JAA6
7/16/2019;10:16:52;7/18/2019;Trade;500000;98.850;;M;;_;_;-;-;B;D;C;12765JAA6
7/16/2019;09:54:29;7/18/2019;Trade;500000;98.950;;M;;_;_;-;-;S;D;C;12765JAA6
7/16/2019;09:51:46;7/18/2019;Trade;500000;98.850;;M;;_;_;-;-;B;D;C;12765JAA6
6/5/2019;09:14:13;6/7/2019;Trade;1MM+;98.650;;M;;_;_;-;-;S;D;C;12765JAA6
6/5/2019;09:14:13;6/7/2019;Trade;1MM+;98.550;;M;;_;_;-;-;B;D;C;12765JAA6
6/4/2019;09:54:32;6/6/2019;Trade;500000;98.650;;N;;_;_;-;-;S;D;C;12765JAA6
6/4/2019;09:54:32;6/6/2019;Trade;500000;98.550;;N;;_;_;-;-;B;D;C;12765JAA6
6/3/2019;10:45:23;6/5/2019;Trade;1000000;98.400;;M;;_;_;-;-;S;D;C;12765JAA6
6/3/2019;10:27:56;6/5/2019;Trade;1000000;98.300;;M;;_;_;-;-;B;D;C;12765JAA6
5/16/2019;09:06:49;5/20/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;12765JAA6
5/16/2019;09:06:10;5/20/2019;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;12765JAA6
3/14/2019;14:21:08;3/18/2019;Trade;500000;98.400;;M;;_;_;-;-;S;D;C;12765JAA6
3/14/2019;14:20:49;3/18/2019;Trade;500000;98.300;;M;;_;_;-;-;B;D;C;12765JAA6
12/6/2018;11:57:33;12/10/2018;Trade;375000;93.000;;M;;_;_;-;-;S;D;C;12765JAA6
12/6/2018;11:56:52;12/10/2018;Trade;375000;92.500;;M;;_;_;-;-;B;D;C;12765JAA6
11/20/2018;13:04:36;11/23/2018;Trade;1MM+;101.500;;M;;_;_;-;-;S;D;C;12765JAA6
11/20/2018;13:03:57;11/23/2018;Trade;375000;101.400;;M;;_;_;-;-;B;D;C;12765JAA6
11/20/2018;13:03:17;11/23/2018;Trade;1MM+;101.400;;M;;_;_;-;-;B;D;C;12765JAA6
8/20/2018;11:24:45;8/22/2018;Trade;1MM+;101.800;;M;;_;_;-;-;S;D;C;12765JAA6
8/20/2018;11:24:20;8/22/2018;Trade;1MM+;101.800;;M;;_;_;-;-;S;D;C;12765JAA6
8/20/2018;09:57:28;8/22/2018;Trade;1000000;101.700;;M;;_;_;-;-;B;D;C;12765JAA6
8/20/2018;09:57:16;8/22/2018;Trade;1MM+;101.700;;M;;_;_;-;-;B;D;C;12765JAA6
8/20/2018;09:57:06;8/22/2018;Trade;250000;101.700;;M;;_;_;-;-;B;D;C;12765JAA6
8/6/2018;10:06:37;8/8/2018;Trade;500000;102.125;;M;;_;_;-;-;S;D;C;12765JAA6
8/6/2018;10:06:00;8/8/2018;Trade;500000;102.075;;M;;_;_;-;-;B;D;C;12765JAA6
6/18/2018;11:27:33;6/20/2018;Trade;1MM+;102.200;;M;;_;_;-;-;S;D;C;12765JAA6
6/18/2018;11:26:45;6/20/2018;Trade;1MM+;102.100;;M;;_;_;-;-;B;D;C;12765JAA6
6/11/2018;09:01:19;6/13/2018;Trade;1000000;102.300;;M;;_;_;-;-;S;D;C;12765JAA6
6/11/2018;09:00:35;6/13/2018;Trade;1MM+;102.300;;M;;_;_;-;-;S;D;C;12765JAA6
6/11/2018;08:59:58;6/13/2018;Trade;1000000;102.200;;M;;_;_;-;-;B;D;C;12765JAA6
6/11/2018;08:59:24;6/13/2018;Trade;1MM+;102.200;;M;;_;_;-;-;B;D;C;12765JAA6
