Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/15/2020;11:39:48;6/18/2020;Trade;1MM+;95.100;;M;;_;_;-;-;S;D;C;12765MAB7
6/15/2020;11:38:59;6/18/2020;Trade;1MM+;95.000;;M;;_;_;-;-;B;D;C;12765MAB7
6/5/2020;10:09:31;6/9/2020;Trade;250000;95.800;;M;;_;_;-;-;S;D;C;12765MAB7
6/5/2020;10:08:46;6/9/2020;Trade;250000;95.700;;M;;_;_;-;-;B;D;C;12765MAB7
5/27/2020;12:30:17;5/29/2020;Trade;1MM+;94.350;;M;;_;_;-;-;S;D;C;12765MAB7
5/27/2020;12:28:28;5/29/2020;Trade;1MM+;94.250;;M;;_;_;-;-;B;D;C;12765MAB7
5/27/2020;11:36:37;5/29/2020;Trade;750000;95.800;;M;;_;_;-;-;S;D;C;12765MAB7
5/27/2020;11:35:49;5/29/2020;Trade;750000;95.700;;M;;_;_;-;-;B;D;C;12765MAB7
5/27/2020;10:15:09;5/29/2020;Trade;1000000;95.800;;M;;_;_;-;-;S;D;C;12765MAB7
5/27/2020;10:14:23;5/29/2020;Cancel;1000000;95.600;;M;;_;_;-;-;B;D;C;12765MAB7
5/27/2020;10:14:23;5/29/2020;Correction;1000000;95.700;;M;;_;_;-;-;B;D;C;12765MAB7
4/14/2020;10:04:21;4/16/2020;Trade;1MM+;95.600;;M;;_;_;-;-;S;D;C;12765MAB7
4/14/2020;10:03:44;4/16/2020;Trade;1MM+;95.500;;M;;_;_;-;-;B;D;C;12765MAB7
4/7/2020;11:15:35;4/9/2020;Trade;1MM+;95.150;;M;;_;_;-;-;B;D;C;12765MAB7
4/7/2020;11:15:35;4/9/2020;Trade;1MM+;95.250;;M;;_;_;-;-;S;D;C;12765MAB7
