Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/24/2020;13:33:14;3/26/2020;Trade;1MM+;95.300;;M;;_;_;-;-;S;D;C;12765KAA3
3/24/2020;13:32:17;3/26/2020;Trade;1MM+;95.200;;M;;_;_;-;-;B;D;C;12765KAA3
2/26/2020;09:32:45;2/28/2020;Trade;500000;96.400;;M;;_;_;-;-;S;D;C;12765KAA3
2/26/2020;09:31:59;2/28/2020;Trade;500000;96.150;;M;;_;_;-;-;B;D;C;12765KAA3
2/3/2020;10:08:36;2/5/2020;Trade;1MM+;96.250;;M;;_;_;-;-;S;D;C;12765KAA3
2/3/2020;10:07:54;2/5/2020;Trade;1MM+;96.000;;M;;_;_;-;-;B;D;C;12765KAA3
5/1/2019;13:45:51;5/3/2019;Trade;375000;90.000;;M;;_;_;-;-;S;D;C;12765KAA3
5/1/2019;13:45:16;5/3/2019;Trade;375000;89.900;;M;;_;_;-;-;B;D;C;12765KAA3
3/20/2019;14:31:38;3/22/2019;Trade;750000;90.250;;M;;_;_;-;-;S;D;C;12765KAA3
3/20/2019;14:30:52;3/22/2019;Trade;750000;90.000;;M;;_;_;-;-;B;D;C;12765KAA3
11/2/2018;12:00:00;11/6/2018;Trade;1000000;87.125;;M;;_;_;-;-;S;D;C;12765KAA3
11/2/2018;11:59:40;11/6/2018;Correction;500000;86.875;;M;;Z;_;-;A;B;D;C;12765KAA3
11/2/2018;11:59:40;11/6/2018;Cancel;1000000;86.875;;M;;_;_;-;-;B;D;C;12765KAA3
11/2/2018;10:28:38;11/6/2018;Trade;500000;86.875;;M;;Z;_;-;A;B;D;C;12765KAA3
10/4/2018;11:28:18;10/9/2018;Trade;375000;93.000;;M;;_;_;-;-;S;D;C;12765KAA3
10/4/2018;11:27:38;10/9/2018;Trade;375000;92.500;;M;;_;_;-;-;B;D;C;12765KAA3
8/15/2018;13:11:29;8/17/2018;Trade;1000000;97.000;;M;;_;_;-;-;B;D;C;12765KAA3
8/15/2018;13:11:27;8/17/2018;Trade;500000;97.000;;M;;_;_;-;-;B;D;C;12765KAA3
8/15/2018;13:11:25;8/17/2018;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;12765KAA3
2/13/2018;10:17:42;2/15/2018;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;12765KAA3
2/13/2018;10:16:59;2/15/2018;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;12765KAA3
1/5/2018;12:06:35;1/9/2018;Trade;500000;100.000;;M;;_;_;-;-;S;D;C;12765KAA3
1/5/2018;12:00:41;1/9/2018;Trade;500000;100.000;;M;;_;_;-;-;S;D;C;12765KAA3
1/5/2018;11:56:52;1/9/2018;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;12765KAA3
12/4/2017;09:19:55;12/6/2017;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;12765KAA3
12/4/2017;09:19:07;12/6/2017;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;12765KAA3
11/20/2017;12:10:00;11/22/2017;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;12765KAA3
11/15/2017;09:39:41;11/17/2017;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;12765KAA3
11/15/2017;09:39:09;11/17/2017;Trade;1000000;99.000;;M;;_;_;-;-;B;D;C;12765KAA3
