Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
2/14/2020;08:25:13;2/19/2020;Trade;1MM+;57.500;;M;;Z;_;-;-;S;D;C;12765KAB1
2/14/2020;08:23:22;2/19/2020;Trade;1MM+;57.500;;M;;Z;_;-;-;S;D;C;12765KAB1
2/14/2020;08:20:22;2/19/2020;Trade;1MM+;57.000;;M;;Z;_;-;-;B;D;C;12765KAB1
11/19/2019;10:12:51;11/21/2019;Trade;800000;34.500;;M;;_;_;-;-;B;D;C;12765KAB1
11/19/2019;10:12:40;11/21/2019;Trade;800000;35.500;;M;;_;_;-;-;S;D;C;12765KAB1
11/18/2019;11:00:27;11/20/2019;Trade;750000;35.500;;M;;_;_;-;-;S;D;C;12765KAB1
11/18/2019;10:55:41;11/20/2019;Trade;750000;34.500;;M;;_;_;-;-;B;D;C;12765KAB1
11/18/2019;10:50:16;11/20/2019;Trade;750000;34.500;;;;_;_;-;-;S;D;D;12765KAB1
5/14/2019;09:50:23;5/16/2019;Trade;1MM+;23.000;;M;;_;_;-;-;S;D;C;12765KAB1
5/14/2019;09:49:34;5/16/2019;Trade;1MM+;22.600;;M;;_;_;-;-;B;D;C;12765KAB1
4/9/2019;11:24:22;4/11/2019;Trade;500000;5.000;;M;;_;_;-;-;S;D;C;12765KAB1
4/9/2019;11:23:26;4/11/2019;Trade;500000;4.900;;M;;Z;_;-;-;B;D;C;12765KAB1
2/7/2018;11:29:03;2/9/2018;Trade;250000;91.250;;M;;_;_;-;-;S;D;C;12765KAB1
2/7/2018;11:28:31;2/9/2018;Trade;250000;91.000;;M;;_;_;-;-;B;D;C;12765KAB1
2/7/2018;10:33:56;2/9/2018;Trade;250000;91.250;;M;;_;_;-;-;S;D;C;12765KAB1
2/7/2018;10:33:29;2/9/2018;Trade;1MM+;91.250;;M;;_;_;-;-;S;D;C;12765KAB1
2/7/2018;10:32:00;2/9/2018;Trade;1MM+;91.000;;;;_;_;-;-;S;D;D;12765KAB1
2/7/2018;10:00:00;2/9/2018;Trade;500000;94.250;;;;_;_;-;-;S;D;D;12765KAB1
2/7/2018;09:56:39;2/9/2018;Trade;500000;94.500;;M;;_;_;-;-;S;D;C;12765KAB1
11/30/2017;10:25:00;12/4/2017;Trade;1MM+;95.500;;M;;_;_;-;-;B;D;C;12765KAB1
11/30/2017;10:25:00;12/4/2017;Trade;1MM+;95.750;;M;;_;_;-;-;S;D;C;12765KAB1
11/28/2017;14:05:00;11/30/2017;Trade;625000;95.500;;M;;_;_;-;-;B;D;C;12765KAB1
11/28/2017;14:05:00;11/30/2017;Trade;625000;95.750;;M;;_;_;-;-;S;D;C;12765KAB1
11/20/2017;12:10:00;11/22/2017;Trade;1MM+;96.000;;M;;_;_;-;-;B;D;C;12765KAB1
11/20/2017;12:10:00;11/22/2017;Trade;1MM+;96.100;;M;;_;_;-;-;S;D;C;12765KAB1
11/20/2017;12:10:00;11/22/2017;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;12765KAB1
10/17/2017;10:48:45;10/19/2017;Cancel;500000;102.300;;M;;_;_;-;-;B;D;C;12765KAB1
10/17/2017;10:48:45;10/19/2017;Cancel;500000;102.300;;M;;Z;_;-;A;B;D;C;12765KAB1
10/17/2017;10:48:45;10/19/2017;Cancel;500000;102.300;;M;;Z;_;-;A;B;D;C;12765KAB1
10/17/2017;10:48:45;10/19/2017;Cancel;500000;102.300;;M;;_;_;-;-;B;D;C;12765KAB1
10/17/2017;10:46:48;10/19/2017;Trade;500000;102.400;;M;;Z;_;-;A;S;D;A;12765KAB1
10/17/2017;10:45:23;10/19/2017;Cancel;500000;102.300;;M;;_;_;-;-;B;D;C;12765KAB1
10/17/2017;10:45:23;10/19/2017;Cancel;500000;102.300;;M;;_;_;-;-;B;D;C;12765KAB1
10/17/2017;10:45:00;10/19/2017;Trade;500000;102.300;;;;_;_;-;-;S;D;D;12765KAB1
10/16/2017;12:05:00;10/18/2017;Trade;1000000;102.400;;N;;_;_;-;-;S;D;C;12765KAB1
10/16/2017;12:05:00;10/18/2017;Trade;1000000;102.300;;N;;_;_;-;-;B;D;C;12765KAB1
10/5/2017;11:05:00;10/10/2017;Trade;1MM+;102.300;;N;;_;_;-;-;B;D;C;12765KAB1
10/5/2017;11:05:00;10/10/2017;Trade;1MM+;102.400;;N;;_;_;-;-;S;D;C;12765KAB1
8/23/2017;11:34:00;8/28/2017;Trade;500000;102.450;;N;;_;_;-;-;S;D;C;12765KAB1
8/23/2017;11:34:00;8/28/2017;Trade;500000;102.350;;N;;_;_;-;-;B;D;C;12765KAB1
8/23/2017;11:07:00;8/28/2017;Trade;500000;102.350;;;;_;_;-;-;S;D;D;12765KAB1
