Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/20/2019;09:08:12;5/22/2019;Trade;750000;0.200;;M;;_;_;-;-;S;D;C;12765KAD7
5/20/2019;09:07:08;5/22/2019;Trade;750000;0.195;;M;;_;_;-;-;B;D;C;12765KAD7
4/12/2019;12:01:51;4/16/2019;Trade;750000;0.200;;M;;_;_;-;-;S;D;C;12765KAD7
4/12/2019;12:00:53;4/16/2019;Trade;500000;0.100;;M;;_;_;-;-;B;D;C;12765KAD7
4/12/2019;11:59:54;4/16/2019;Trade;250000;0.100;;M;;U;_;-;-;B;D;C;12765KAD7
10/20/2017;10:38:14;10/24/2017;Trade;1MM+;103.500;;M;;_;_;-;-;S;D;C;12765KAD7
10/20/2017;10:33:18;10/24/2017;Trade;1MM+;103.400;;M;;_;_;-;-;B;D;C;12765KAD7
10/3/2017;15:51:29;10/5/2017;Trade;1000000;103.350;;M;;_;_;-;-;S;D;C;12765KAD7
10/3/2017;15:51:29;10/5/2017;Trade;1000000;103.250;;M;;_;_;-;-;B;D;C;12765KAD7
10/3/2017;12:01:00;10/5/2017;Trade;1000000;103.250;;;;_;_;-;-;S;D;D;12765KAD7
8/24/2017;15:44:00;8/29/2017;Trade;250000;103.200;;N;;_;_;-;-;S;D;C;12765KAD7
8/24/2017;15:44:00;8/29/2017;Trade;250000;103.100;;N;;_;_;-;-;B;D;C;12765KAD7
6/28/2017;09:46:42;7/3/2017;Trade;1000000;100.350;;M;;_;_;-;-;S;D;C;12765KAD7
6/28/2017;09:46:07;7/3/2017;Trade;1000000;100.250;;M;;_;_;-;-;B;D;C;12765KAD7
