Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/31/2020;10:59:41;4/2/2020;Trade;1000000;93.500;;M;;_;_;-;-;S;D;C;12765KAF2
3/31/2020;10:58:35;4/2/2020;Trade;1000000;93.250;;M;;_;_;-;-;B;D;C;12765KAF2
3/19/2020;17:07:57;3/23/2020;Trade;750000;90.100;;M;;_;_;-;-;B;D;C;12765KAF2
3/19/2020;17:07:57;3/23/2020;Trade;750000;90.100;;M;;U;_;-;-;B;D;C;12765KAF2
3/19/2020;17:06:38;3/23/2020;Trade;750000;90.150;;M;;_;_;-;-;S;D;C;12765KAF2
2/26/2020;09:35:19;2/28/2020;Trade;800000;94.050;;M;;_;_;-;-;S;D;C;12765KAF2
2/26/2020;09:34:40;2/28/2020;Trade;800000;93.800;;M;;_;_;-;-;B;D;C;12765KAF2
12/20/2019;09:17:58;12/24/2019;Trade;1000000;92.000;;M;;_;_;-;-;B;D;C;12765KAF2
12/20/2019;09:13:50;12/24/2019;Trade;1000000;92.100;;M;;_;_;-;-;S;D;C;12765KAF2
11/4/2019;12:29:02;11/6/2019;Trade;500000;92.500;;N;;_;_;-;-;B;D;C;12765KAF2
11/4/2019;12:29:02;11/6/2019;Trade;500000;92.600;;N;;_;_;-;-;S;D;C;12765KAF2
11/4/2019;12:29:00;11/6/2019;Trade;250000;92.600;;N;;Z;_;-;A;S;;;12765KAF2
6/26/2019;13:04:51;6/28/2019;Trade;1MM+;92.250;;M;;_;_;-;-;S;D;C;12765KAF2
6/26/2019;13:04:13;6/28/2019;Trade;1MM+;92.000;;M;;_;_;-;-;B;D;C;12765KAF2
5/29/2019;15:08:42;5/31/2019;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;12765KAF2
5/29/2019;15:08:42;5/31/2019;Trade;1MM+;88.950;;M;;_;_;-;-;S;D;C;12765KAF2
5/23/2019;12:00:29;5/28/2019;Trade;250000;82.500;;M;;_;_;-;-;S;D;C;12765KAF2
5/23/2019;11:58:49;5/28/2019;Trade;250000;82.000;;M;;_;_;-;-;B;D;C;12765KAF2
3/8/2019;16:33:22;3/12/2019;Trade;250000;95.750;;M;;_;_;-;-;B;D;C;12765KAF2
3/8/2019;16:30:15;3/12/2019;Trade;500000;95.750;;M;;_;_;-;-;B;D;C;12765KAF2
3/8/2019;13:05:30;3/12/2019;Trade;1000000;96.000;;M;;_;_;-;-;S;D;C;12765KAF2
3/8/2019;13:05:00;3/12/2019;Trade;250000;95.750;;M;;_;_;-;-;B;D;C;12765KAF2
3/8/2019;13:03:15;3/12/2019;Cancel;750000;95.750;;M;;_;_;-;-;B;D;C;12765KAF2
3/8/2019;13:03:15;3/12/2019;Cancel;750000;95.750;;M;;_;_;-;-;B;D;C;12765KAF2
6/19/2018;10:32:41;6/21/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;12765KAF2
6/19/2018;10:32:04;6/21/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;12765KAF2
