Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/4/2020;10:39:24;3/6/2020;Trade;600000;89.900;;M;;_;_;-;-;B;D;C;12765KAG0
3/4/2020;10:38:35;3/6/2020;Correction;600000;90.400;;M;;Z;_;-;-;S;D;C;12765KAG0
3/4/2020;10:38:35;3/6/2020;Cancel;600000;90.500;;M;;_;_;-;-;S;D;C;12765KAG0
1/14/2020;10:15:50;1/16/2020;Trade;1MM+;90.150;;M;;_;_;-;-;B;D;C;12765KAG0
1/14/2020;10:14:57;1/16/2020;Trade;1MM+;90.250;;M;;_;_;-;-;S;D;C;12765KAG0
1/10/2020;14:09:50;1/14/2020;Trade;1MM+;90.250;;M;;_;_;-;-;S;D;C;12765KAG0
1/10/2020;14:09:47;1/14/2020;Trade;1MM+;90.000;;M;;_;_;-;-;B;D;C;12765KAG0
5/29/2019;15:08:42;5/31/2019;Trade;250000;78.500;;M;;_;_;-;-;B;D;C;12765KAG0
5/29/2019;15:08:42;5/31/2019;Trade;250000;78.750;;M;;_;_;-;-;S;D;C;12765KAG0
5/23/2019;12:07:48;5/28/2019;Trade;250000;59.500;;M;;_;_;-;-;S;D;C;12765KAG0
5/23/2019;12:07:17;5/28/2019;Trade;250000;59.000;;M;;_;_;-;-;B;D;C;12765KAG0
4/8/2019;09:26:46;4/10/2019;Trade;250000;84.000;;M;;_;_;-;-;S;D;C;12765KAG0
4/8/2019;09:25:37;4/10/2019;Trade;250000;83.500;;M;;_;_;-;-;B;D;C;12765KAG0
2/6/2019;14:13:38;2/8/2019;Trade;250000;86.500;;M;;_;_;-;-;S;D;C;12765KAG0
2/6/2019;14:12:42;2/8/2019;Trade;250000;86.000;;M;;_;_;-;-;B;D;C;12765KAG0
11/9/2018;09:07:07;11/14/2018;Trade;500000;100.550;;M;;_;_;-;-;S;D;C;12765KAG0
11/9/2018;09:06:34;11/14/2018;Trade;500000;100.450;;M;;_;_;-;-;B;D;C;12765KAG0
11/7/2018;11:16:21;11/9/2018;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;12765KAG0
11/7/2018;11:15:53;11/9/2018;Trade;250000;100.450;;M;;_;_;-;-;B;D;C;12765KAG0
11/7/2018;11:01:00;11/9/2018;Trade;1000000;100.450;;;;_;_;-;-;S;D;D;12765KAG0
11/7/2018;10:54:00;11/9/2018;Trade;1MM+;100.450;;M;;_;_;-;-;B;D;C;12765KAG0
11/7/2018;10:54:00;11/9/2018;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;12765KAG0
5/14/2018;09:11:13;5/16/2018;Trade;1000000;100.250;;M;;_;_;-;-;S;D;C;12765KAG0
5/14/2018;09:09:50;5/16/2018;Trade;1000000;100.150;;M;;_;_;-;-;B;D;C;12765KAG0
