Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/30/2019;09:58:13;6/3/2019;Trade;500000;1.000;;M;;Z;_;-;-;S;D;C;12482PAA4
5/30/2019;09:57:10;6/3/2019;Trade;500000;0.980;;M;;Z;_;-;-;B;D;C;12482PAA4
11/5/2018;15:05:30;11/7/2018;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;12482PAA4
11/5/2018;15:04:40;11/7/2018;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;12482PAA4
10/16/2018;09:59:08;10/18/2018;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;12482PAA4
10/16/2018;09:58:39;10/18/2018;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;12482PAA4
10/12/2018;09:53:22;10/16/2018;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;12482PAA4
10/12/2018;09:52:33;10/16/2018;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;12482PAA4
9/28/2018;11:30:00;10/2/2018;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;12482PAA4
9/28/2018;11:30:00;10/2/2018;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;12482PAA4
8/29/2018;12:53:55;8/31/2018;Trade;500000;100.250;;M;;_;_;-;-;S;D;C;12482PAA4
8/29/2018;12:51:39;8/31/2018;Trade;500000;100.150;;M;;_;_;-;-;B;D;C;12482PAA4
