Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/10/2020;08:52:25;7/14/2020;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;13947LAA0
7/10/2020;08:51:45;7/14/2020;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;13947LAA0
7/10/2020;08:50:52;7/14/2020;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;13947LAA0
6/9/2020;11:33:30;6/11/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;13947LAA0
6/9/2020;11:32:51;6/11/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;13947LAA0
6/4/2020;11:21:04;6/8/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;13947LAA0
6/4/2020;11:19:56;6/8/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;13947LAA0
6/3/2020;09:42:00;6/5/2020;Trade;500000;98.500;;M;;_;_;-;-;S;D;C;13947LAA0
6/3/2020;09:34:35;6/5/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;13947LAA0
6/3/2020;09:32:42;6/5/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;13947LAA0
5/19/2020;13:09:55;5/21/2020;Trade;1MM+;98.600;;M;;_;_;-;-;S;D;C;13947LAA0
5/19/2020;13:09:11;5/21/2020;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;13947LAA0
4/29/2020;11:57:21;5/4/2020;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;13947LAA0
4/29/2020;11:54:43;5/4/2020;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;13947LAA0
4/22/2020;08:23:52;4/24/2020;Trade;400000;98.050;;M;;_;_;-;-;S;D;C;13947LAA0
4/22/2020;08:22:14;4/24/2020;Trade;400000;97.950;;M;;_;_;-;-;B;D;C;13947LAA0
4/14/2020;14:21:05;4/16/2020;Trade;463000;97.760;;M;;_;_;-;-;B;D;C;13947LAA0
4/14/2020;14:20:48;4/16/2020;Trade;463000;97.810;;M;;_;_;-;-;S;D;C;13947LAA0
4/7/2020;13:58:32;4/9/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;13947LAA0
4/7/2020;13:58:32;4/9/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;13947LAA0
4/7/2020;13:58:32;4/9/2020;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;13947LAA0
3/19/2020;11:49:15;3/23/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;13947LAA0
3/19/2020;11:48:46;3/23/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;13947LAA0
3/19/2020;11:48:16;3/23/2020;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;13947LAA0
3/19/2020;11:44:25;3/23/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;13947LAA0
3/19/2020;11:42:39;3/23/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;13947LAA0
3/17/2020;14:12:26;3/19/2020;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;13947LAA0
3/17/2020;14:12:22;3/19/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;13947LAA0
3/6/2020;10:01:07;3/10/2020;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;13947LAA0
3/6/2020;09:52:20;3/10/2020;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;13947LAA0
3/6/2020;09:36:34;3/10/2020;Trade;1000000;99.450;;M;;_;_;-;-;S;D;C;13947LAA0
3/5/2020;13:31:04;3/9/2020;Trade;463000;99.250;;M;;_;_;-;-;S;D;C;13947LAA0
3/5/2020;13:28:38;3/9/2020;Trade;463000;99.200;;M;;_;_;-;-;B;D;C;13947LAA0
2/6/2020;11:24:11;2/10/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;13947LAA0
2/6/2020;11:22:41;2/10/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;13947LAA0
2/5/2020;10:25:45;2/7/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;13947LAA0
2/5/2020;10:25:01;2/7/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;13947LAA0
2/3/2020;11:45:36;2/5/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;13947LAA0
2/3/2020;10:55:18;2/5/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;13947LAA0
1/23/2020;11:52:42;1/27/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;13947LAA0
1/23/2020;11:51:56;1/27/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;13947LAA0
1/23/2020;11:15:41;1/27/2020;Trade;400000;99.000;;M;;_;_;-;-;S;D;C;13947LAA0
1/23/2020;11:14:01;1/27/2020;Trade;400000;98.900;;M;;_;_;-;-;B;D;C;13947LAA0
1/8/2020;10:14:00;1/10/2020;Trade;500000;98.300;;M;;_;_;-;-;B;D;C;13947LAA0
1/8/2020;10:14:00;1/10/2020;Trade;500000;98.400;;M;;_;_;-;-;S;D;C;13947LAA0
11/20/2019;12:18:58;11/22/2019;Trade;400000;98.500;;N;;_;_;-;-;S;D;C;13947LAA0
11/20/2019;12:18:58;11/22/2019;Trade;400000;98.400;;N;;_;_;-;-;B;D;C;13947LAA0
11/6/2019;15:15:07;11/8/2019;Trade;1MM+;99.300;;M;;_;_;-;-;B;D;C;13947LAA0
