Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/9/2020;10:40:02;7/13/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;;;13947LAB8
7/9/2020;10:39:09;7/13/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;13947LAB8
5/4/2020;11:14:45;5/6/2020;Trade;750000;98.750;;M;;_;_;-;-;B;D;C;13947LAB8
5/4/2020;11:14:45;5/6/2020;Trade;750000;98.850;;M;;_;_;-;-;S;D;C;13947LAB8
4/17/2020;09:18:10;4/21/2020;Trade;1MM+;98.600;;M;;_;_;-;-;S;D;C;13947LAB8
4/17/2020;09:17:35;4/21/2020;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;13947LAB8
2/5/2020;11:01:44;2/7/2020;Trade;1000000;101.300;;M;;_;_;-;-;S;D;C;13947LAB8
2/5/2020;11:01:04;2/7/2020;Trade;1000000;101.200;;M;;_;_;-;-;B;D;C;13947LAB8
1/23/2020;08:18:48;1/27/2020;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;13947LAB8
1/23/2020;08:18:10;1/27/2020;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;13947LAB8
1/21/2020;10:42:17;1/23/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;13947LAB8
1/21/2020;10:41:36;1/23/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;13947LAB8
8/16/2019;10:15:13;8/20/2019;Trade;1MM+;101.350;;M;;_;_;-;-;S;D;C;13947LAB8
8/16/2019;10:14:07;8/20/2019;Trade;1MM+;101.250;;M;;_;_;-;-;B;D;C;13947LAB8
7/23/2019;11:11:08;7/25/2019;Trade;1MM+;100.450;;M;;_;_;-;-;B;D;C;13947LAB8
7/23/2019;11:11:04;7/25/2019;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;13947LAB8
