Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/13/2020;11:58:13;7/15/2020;Trade;500000;100.600;;M;;_;_;-;-;B;D;C;148802AA9
7/13/2020;11:58:13;7/15/2020;Trade;500000;100.600;;M;;_;_;-;-;B;D;C;148802AA9
7/13/2020;11:58:13;7/15/2020;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;148802AA9
7/13/2020;11:55:53;7/15/2020;Trade;500000;100.700;;M;;_;_;-;-;S;D;C;148802AA9
7/13/2020;11:33:05;7/15/2020;Trade;1000000;100.600;;M;;_;_;-;-;B;D;C;148802AA9
7/13/2020;11:33:05;7/15/2020;Trade;1000000;100.600;;M;;_;_;-;-;B;D;C;148802AA9
7/13/2020;11:33:05;7/15/2020;Trade;1000000;100.600;;M;;_;_;-;-;S;D;C;148802AA9
7/13/2020;11:25:56;7/15/2020;Trade;1000000;100.600;;M;;_;_;-;-;B;D;C;148802AA9
7/13/2020;10:35:33;7/15/2020;Trade;500000;100.700;;M;;_;_;-;-;S;D;C;148802AA9
7/13/2020;10:35:33;7/15/2020;Trade;500000;100.700;;M;;_;_;-;-;S;D;C;148802AA9
