Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/23/2017;15:15:00;3/28/2017;Trade;1MM+;100.144;;M;;_;_;-;-;B;D;C;177510AA2
3/23/2017;15:15:00;3/28/2017;Trade;1MM+;100.174;;M;;_;_;-;-;S;D;C;177510AA2
3/20/2017;09:45:00;3/23/2017;Trade;1MM+;100.185;;M;;_;_;-;-;B;D;C;177510AA2
3/20/2017;09:45:00;3/23/2017;Trade;1MM+;100.215;;M;;_;_;-;-;S;D;C;177510AA2
3/15/2017;13:20:00;3/20/2017;Trade;1MM+;100.210;;M;;_;_;-;-;B;D;C;177510AA2
3/15/2017;13:20:00;3/20/2017;Trade;1MM+;100.240;;M;;_;_;-;-;S;D;C;177510AA2
3/6/2017;13:22:00;3/9/2017;Trade;1MM+;100.301;;M;;_;_;-;-;B;D;C;177510AA2
3/6/2017;13:21:58;3/9/2017;Trade;1MM+;100.331;;M;;_;_;-;-;S;D;C;177510AA2
12/23/2016;10:21:20;12/29/2016;Trade;1MM+;100.903;;M;;_;_;-;-;S;D;C;177510AA2
12/23/2016;10:20:54;12/29/2016;Trade;1MM+;100.863;;M;;_;_;-;-;B;D;C;177510AA2
12/23/2016;10:20:46;12/29/2016;Trade;1MM+;100.863;;M;;_;_;-;-;B;D;C;177510AA2
12/8/2016;11:28:59;12/13/2016;Trade;1MM+;101.124;;M;;_;_;-;-;S;D;C;177510AA2
12/8/2016;11:28:48;12/13/2016;Trade;1MM+;101.074;;M;;_;_;-;-;B;D;C;177510AA2
12/1/2016;17:24:18;12/6/2016;Trade;1000000;101.250;;M;;T;_;-;-;B;D;C;177510AA2
12/1/2016;17:24:12;12/6/2016;Trade;1000000;101.300;;M;;T;_;-;-;S;D;C;177510AA2
11/29/2016;09:19:40;12/1/2016;Trade;1000000;101.320;;M;;_;_;-;-;S;D;C;177510AA2
11/29/2016;09:19:38;12/1/2016;Trade;1000000;101.270;;M;;_;_;-;-;B;D;C;177510AA2
11/8/2016;09:44:28;11/10/2016;Trade;1000000;101.530;;M;;_;_;-;-;S;D;C;177510AA2
11/8/2016;09:44:26;11/10/2016;Trade;1000000;101.480;;M;;_;_;-;-;B;D;C;177510AA2
11/7/2016;12:20:24;11/10/2016;Trade;1MM+;101.530;;M;;_;_;-;-;S;D;C;177510AA2
11/7/2016;12:20:22;11/10/2016;Trade;1MM+;101.480;;M;;_;_;-;-;B;D;C;177510AA2
11/7/2016;11:05:09;11/10/2016;Trade;1MM+;101.530;;M;;_;_;-;-;S;D;C;177510AA2
11/7/2016;11:05:05;11/10/2016;Trade;1MM+;101.480;;M;;_;_;-;-;B;D;C;177510AA2
9/21/2016;14:39:38;9/26/2016;Trade;1MM+;101.200;;M;;_;_;-;-;B;D;C;177510AA2
9/21/2016;14:39:30;9/26/2016;Trade;1MM+;101.250;;M;;_;_;-;-;S;D;C;177510AA2
8/22/2016;09:53:00;8/25/2016;Trade;1MM+;100.400;;;;_;_;-;-;S;D;D;177510AA2
8/22/2016;09:50:00;8/25/2016;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;177510AA2
8/12/2016;11:54:14;8/17/2016;Trade;500000;100.325;;M;;_;_;-;-;S;D;C;177510AA2
8/12/2016;11:53:24;8/17/2016;Trade;1000000;100.325;;M;;_;_;-;-;S;D;C;177510AA2
8/12/2016;11:46:00;8/17/2016;Trade;1MM+;100.225;;;;_;_;-;-;S;D;D;177510AA2
