Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/30/2019;10:00:33;6/3/2019;Trade;183106;10.000;;M;;_;_;-;-;S;D;C;177510AD6
5/30/2019;09:59:44;6/3/2019;Trade;183106;9.750;;M;;_;_;-;-;B;D;C;177510AD6
2/5/2018;09:23:43;2/7/2018;Trade;1MM+;100.883;;M;;_;_;-;-;S;D;C;177510AD6
2/5/2018;09:17:50;2/7/2018;Trade;1MM+;100.850;;M;;_;_;-;-;B;D;C;177510AD6
1/2/2018;12:18:00;1/4/2018;Trade;500000;101.270;;M;;_;_;-;-;S;D;C;177510AD6
1/2/2018;12:14:42;1/4/2018;Trade;500000;101.220;;M;;_;_;-;-;B;D;C;177510AD6
12/29/2017;13:50:00;1/3/2018;Trade;1MM+;101.280;;M;;_;_;-;-;S;D;C;177510AD6
12/29/2017;13:40:00;1/3/2018;Trade;1MM+;101.230;;M;;_;_;-;-;B;D;C;177510AD6
12/20/2017;12:06:09;12/22/2017;Correction;1MM+;101.453;;M;;_;_;-;-;S;D;C;177510AD6
12/20/2017;12:06:09;12/22/2017;Cancel;1MM+;100.453;;M;;_;_;-;-;S;D;C;177510AD6
12/20/2017;12:05:12;12/22/2017;Correction;1MM+;101.403;;M;;_;_;-;-;B;D;C;177510AD6
12/20/2017;12:05:12;12/22/2017;Cancel;1MM+;100.403;;M;;_;_;-;-;B;D;C;177510AD6
12/18/2017;13:02:10;12/20/2017;Trade;1MM+;101.480;;M;;_;_;-;-;S;D;C;177510AD6
12/18/2017;13:01:27;12/20/2017;Trade;1MM+;101.443;;M;;_;_;-;-;B;D;C;177510AD6
12/18/2017;13:00:21;12/20/2017;Trade;1MM+;101.443;;M;;_;_;-;-;B;D;C;177510AD6
12/8/2017;08:54:37;12/12/2017;Trade;1MM+;101.588;;M;;_;_;-;-;S;D;C;177510AD6
12/8/2017;08:53:01;12/12/2017;Trade;1MM+;101.550;;M;;_;_;-;-;B;D;C;177510AD6
11/21/2017;09:53:20;11/24/2017;Trade;325000;101.350;;M;;_;_;-;-;S;D;C;177510AD6
11/21/2017;09:52:24;11/24/2017;Trade;325000;101.250;;M;;_;_;-;-;B;D;C;177510AD6
6/13/2017;10:09:39;6/16/2017;Trade;1MM+;101.350;;M;;_;_;-;-;S;D;C;177510AD6
6/13/2017;10:09:37;6/16/2017;Trade;1MM+;101.250;;M;;_;_;-;-;B;D;C;177510AD6
5/22/2017;11:38:43;5/25/2017;Trade;850000;101.350;;M;;_;_;-;-;S;D;C;177510AD6
5/22/2017;11:38:33;5/25/2017;Trade;850000;101.250;;M;;_;_;-;-;B;D;C;177510AD6
5/3/2017;09:16:30;5/8/2017;Trade;400000;101.450;;M;;_;_;-;-;S;D;C;177510AD6
5/3/2017;09:16:19;5/8/2017;Trade;400000;101.350;;M;;_;_;-;-;B;D;C;177510AD6
4/26/2017;11:44:29;5/1/2017;Trade;1MM+;101.450;;M;;_;_;-;-;S;D;C;177510AD6
4/26/2017;11:44:14;5/1/2017;Trade;1MM+;101.350;;M;;_;_;-;-;B;D;C;177510AD6
12/22/2016;10:47:59;12/28/2016;Trade;900000;103.000;;M;;_;_;-;-;S;D;C;177510AD6
12/22/2016;10:47:48;12/28/2016;Trade;300000;103.000;;M;;_;_;-;-;S;D;C;177510AD6
12/22/2016;10:47:34;12/28/2016;Trade;300000;103.000;;M;;_;_;-;-;S;D;C;177510AD6
12/22/2016;10:46:57;12/28/2016;Trade;1MM+;102.900;;M;;_;_;-;-;B;D;C;177510AD6
5/18/2016;09:56:36;5/23/2016;Trade;250000;99.600;0;N;;_;_;-;-;S;D;C;177510AD6
5/18/2016;09:55:51;5/23/2016;Trade;250000;99.500;0;N;;_;_;-;-;B;D;C;177510AD6
1/5/2016;15:20:38;1/8/2016;Trade;1MM+;100.650;0;N;;_;_;-;-;S;D;C;177510AD6
1/5/2016;15:20:38;1/8/2016;Trade;1MM+;100.550;0;N;;_;_;-;-;B;D;C;177510AD6
1/4/2016;16:14:49;1/7/2016;Trade;1MM+;100.550;0;N;;_;_;-;-;B;D;C;177510AD6
1/4/2016;16:14:49;1/7/2016;Trade;1MM+;100.650;0;N;;_;_;-;-;S;D;C;177510AD6
9/2/2015;10:18:28;9/8/2015;Trade;1MM+;99.600;0;N;;_;_;-;-;S;D;C;177510AD6
9/2/2015;10:18:26;9/8/2015;Trade;1MM+;99.500;0;N;;_;_;-;-;B;D;C;177510AD6
9/1/2015;09:13:39;9/4/2015;Trade;1MM+;99.600;0;N;;_;_;-;-;S;D;C;177510AD6
9/1/2015;09:13:38;9/4/2015;Trade;1MM+;99.500;0;N;;_;_;-;-;B;D;C;177510AD6
5/6/2015;12:39:57;5/11/2015;Trade;1MM+;99.700;0;N;;_;_;-;-;B;;;177510AD6
5/6/2015;12:39:55;5/11/2015;Trade;1MM+;99.800;0;N;;_;_;-;-;S;;;177510AD6
