Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/23/2019;10:57:14;5/28/2019;Trade;161772;4.630;;M;;_;_;-;-;S;D;C;177510AF1
5/23/2019;10:55:39;5/28/2019;Trade;161772;4.500;;M;;_;_;-;-;B;D;C;177510AF1
4/9/2019;11:31:22;4/11/2019;Trade;323545;4.500;;M;;_;_;-;-;S;D;C;177510AF1
4/9/2019;11:30:24;4/11/2019;Trade;323545;4.400;;M;;_;_;-;-;B;D;C;177510AF1
8/15/2018;15:13:25;8/17/2018;Trade;250000;75.000;;M;;_;_;-;-;S;D;C;177510AF1
8/15/2018;12:58:50;8/17/2018;Trade;250000;75.000;;M;;_;_;-;-;B;D;C;177510AF1
5/16/2018;08:37:48;5/18/2018;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;177510AF1
5/16/2018;08:35:34;5/18/2018;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;177510AF1
5/2/2018;10:00:58;5/4/2018;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;177510AF1
5/2/2018;10:00:08;5/4/2018;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;177510AF1
4/10/2018;12:18:00;4/12/2018;Trade;250000;100.400;;M;;_;_;-;-;B;D;C;177510AF1
4/10/2018;12:18:00;4/12/2018;Trade;250000;100.500;;M;;_;_;-;-;S;D;C;177510AF1
4/3/2018;13:21:00;4/5/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;177510AF1
4/3/2018;13:21:00;4/5/2018;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;177510AF1
3/27/2018;12:44:25;3/29/2018;Trade;1MM+;100.600;;M;;_;_;-;-;B;D;C;177510AF1
3/27/2018;12:44:25;3/29/2018;Trade;1MM+;100.700;;M;;_;_;-;-;S;D;C;177510AF1
3/27/2018;12:44:25;3/29/2018;Trade;1MM+;100.700;;M;;_;_;-;-;S;D;C;177510AF1
3/12/2018;10:43:39;3/14/2018;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;177510AF1
3/12/2018;10:43:03;3/14/2018;Trade;1000000;100.400;;M;;_;_;-;-;B;D;C;177510AF1
3/9/2018;14:04:18;3/13/2018;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;177510AF1
3/9/2018;13:56:58;3/13/2018;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;177510AF1
3/9/2018;11:44:31;3/13/2018;Trade;250000;100.900;;M;;_;_;-;-;S;D;C;177510AF1
3/9/2018;11:43:52;3/13/2018;Trade;250000;100.800;;M;;_;_;-;-;B;D;C;177510AF1
2/13/2018;15:33:24;2/15/2018;Trade;500000;100.950;;M;;_;_;-;-;S;D;C;177510AF1
2/13/2018;15:32:34;2/15/2018;Trade;500000;100.850;;M;;_;_;-;-;B;D;C;177510AF1
1/9/2018;10:53:00;1/11/2018;Trade;500000;100.500;;M;;_;_;-;-;S;D;C;177510AF1
1/9/2018;10:52:00;1/11/2018;Trade;500000;100.400;;M;;_;_;-;-;B;D;C;177510AF1
9/11/2017;09:23:25;9/13/2017;Trade;1MM+;78.000;;M;;Z;_;-;-;B;D;C;177510AF1
9/11/2017;09:22:20;9/13/2017;Trade;1MM+;78.500;;M;;Z;_;-;-;S;D;C;177510AF1
11/15/2016;12:20:00;11/18/2016;Trade;1MM+;105.250;;M;;_;_;-;-;B;D;C;177510AF1
11/15/2016;12:20:00;11/18/2016;Trade;1MM+;105.350;;M;;_;_;-;-;S;D;C;177510AF1
10/31/2016;11:15:00;11/3/2016;Trade;1MM+;104.900;;M;;_;_;-;-;B;D;C;177510AF1
10/31/2016;11:15:00;11/3/2016;Trade;1MM+;105.000;;M;;_;_;-;-;S;D;C;177510AF1
10/28/2016;11:55:00;11/2/2016;Trade;1MM+;105.000;;M;;_;_;-;-;S;D;C;177510AF1
10/28/2016;11:55:00;11/2/2016;Trade;1MM+;104.900;;M;;_;_;-;-;B;D;C;177510AF1
6/30/2016;13:20:00;7/6/2016;Trade;1000000;101.050;;N;;_;_;-;-;B;D;C;177510AF1
6/30/2016;13:20:00;7/6/2016;Trade;1000000;101.150;;N;;_;_;-;-;S;D;C;177510AF1
5/20/2016;11:54:43;5/25/2016;Trade;250000;101.000;0;N;;_;_;-;-;S;D;C;177510AF1
5/20/2016;11:54:43;5/25/2016;Trade;250000;100.900;0;N;;_;_;-;-;B;D;C;177510AF1
5/12/2016;15:51:00;5/17/2016;Trade;1000000;100.900;0;N;;_;_;-;-;S;D;D;177510AF1
5/12/2016;15:50:00;5/17/2016;Trade;1000000;101.000;0;N;;_;_;-;-;S;D;C;177510AF1
5/3/2016;11:19:35;5/6/2016;Trade;1MM+;101.000;0;N;;_;_;-;-;S;D;C;177510AF1
5/3/2016;11:19:30;5/6/2016;Trade;1MM+;100.900;0;N;;_;_;-;-;B;D;C;177510AF1
4/7/2016;12:30:39;4/12/2016;Trade;1MM+;100.400;0;N;;_;_;-;-;B;D;C;177510AF1
4/7/2016;12:30:39;4/12/2016;Trade;1MM+;100.500;0;N;;_;_;-;-;S;D;C;177510AF1
3/10/2016;12:33:32;3/15/2016;Trade;1MM+;100.350;0;N;;_;_;-;-;S;D;C;177510AF1
3/10/2016;12:33:30;3/15/2016;Trade;1MM+;100.250;0;N;;_;_;-;-;B;D;C;177510AF1
