Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/21/2019;15:01:50;5/23/2019;Trade;212505;4.630;;M;;_;_;-;-;S;D;C;177510AH7
5/21/2019;15:00:36;5/23/2019;Trade;212505;4.500;;M;;_;_;-;-;B;D;C;177510AH7
4/9/2019;11:12:00;4/11/2019;Trade;106252;4.500;;M;;Z;_;-;-;S;D;C;177510AH7
4/9/2019;11:12:00;4/11/2019;Trade;212505;4.500;;M;;Z;_;-;-;S;D;C;177510AH7
4/9/2019;11:10:30;4/11/2019;Trade;212505;4.400;;M;;Z;_;-;-;B;D;C;177510AH7
4/9/2019;11:10:30;4/11/2019;Trade;106252;4.400;;M;;Z;_;-;-;B;D;C;177510AH7
8/15/2018;15:13:47;8/17/2018;Trade;400000;75.000;;M;;_;_;-;-;S;D;C;177510AH7
8/15/2018;12:59:23;8/17/2018;Trade;400000;75.000;;M;;_;_;-;-;B;D;C;177510AH7
3/29/2018;12:27:00;4/3/2018;Trade;750000;95.000;;N;;_;_;-;-;S;D;C;177510AH7
3/29/2018;12:01:00;4/3/2018;Trade;750000;94.000;;N;;_;_;-;-;B;D;C;177510AH7
3/1/2018;10:00:14;3/5/2018;Trade;1MM+;96.000;;M;;_;_;-;-;S;D;C;177510AH7
3/1/2018;09:59:20;3/5/2018;Trade;1MM+;95.750;;M;;_;_;-;-;B;D;C;177510AH7
2/28/2018;10:31:02;3/2/2018;Trade;1MM+;96.000;;M;;_;_;-;-;S;D;C;177510AH7
2/28/2018;10:28:24;3/2/2018;Trade;1MM+;95.750;;M;;_;_;-;-;B;D;C;177510AH7
2/28/2018;09:48:13;3/2/2018;Trade;750000;96.700;;M;;_;_;-;-;S;D;C;177510AH7
2/28/2018;09:47:33;3/2/2018;Trade;750000;96.500;;M;;_;_;-;-;B;D;C;177510AH7
2/16/2018;10:49:41;2/21/2018;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;177510AH7
2/16/2018;10:49:03;2/21/2018;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;177510AH7
2/16/2018;10:48:25;2/21/2018;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;177510AH7
1/10/2018;10:34:31;1/12/2018;Trade;500000;99.600;;M;;Z;_;-;-;S;D;C;177510AH7
1/10/2018;10:33:53;1/12/2018;Trade;500000;99.400;;M;;Z;_;-;-;B;D;C;177510AH7
9/11/2017;13:43:50;9/13/2017;Trade;1000000;81.000;;M;;_;_;-;-;S;D;C;177510AH7
9/11/2017;13:43:15;9/13/2017;Trade;1000000;80.500;;M;;_;_;-;-;B;D;C;177510AH7
9/6/2017;07:59:22;9/8/2017;Trade;1000000;67.500;;M;;Z;_;-;A;B;D;C;177510AH7
9/6/2017;07:58:38;9/8/2017;Trade;1000000;68.000;;M;;Z;_;-;A;S;D;C;177510AH7
9/5/2017;15:28:00;9/7/2017;Trade;1000000;50.000;;M;;Z;_;-;-;B;D;C;177510AH7
9/5/2017;15:28:00;9/7/2017;Trade;1000000;50.500;;M;;Z;_;-;-;S;D;C;177510AH7
8/14/2017;10:11:43;8/17/2017;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;177510AH7
8/14/2017;10:10:50;8/17/2017;Trade;1MM+;100.450;;M;;_;_;-;-;B;D;C;177510AH7
7/18/2017;09:04:00;7/21/2017;Trade;1MM+;100.450;;M;;_;_;-;-;B;D;C;177510AH7
7/18/2017;09:04:00;7/21/2017;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;177510AH7
6/8/2017;10:15:00;6/13/2017;Trade;950000;100.400;;;;_;_;-;-;S;D;D;177510AH7
6/8/2017;10:13:16;6/13/2017;Trade;950000;100.500;;M;;_;_;-;-;S;D;C;177510AH7
5/22/2017;10:53:04;5/25/2017;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;177510AH7
5/22/2017;10:52:55;5/25/2017;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;177510AH7
5/16/2017;08:53:48;5/19/2017;Trade;1000000;100.350;;M;;_;_;-;-;S;D;C;177510AH7
5/16/2017;08:53:46;5/19/2017;Trade;1000000;100.250;;M;;_;_;-;-;B;D;C;177510AH7
5/12/2017;11:22:00;5/17/2017;Trade;800000;100.250;;;;_;_;-;-;S;D;D;177510AH7
5/12/2017;11:17:25;5/17/2017;Trade;800000;100.350;;M;;_;_;-;-;S;D;C;177510AH7
