Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/24/2020;09:42:32;3/26/2020;Trade;1MM+;98.350;;M;;_;_;-;-;B;D;C;224287AB8
3/24/2020;09:42:10;3/26/2020;Trade;1MM+;98.450;;M;;_;_;-;-;S;D;C;224287AB8
3/23/2020;16:41:02;3/25/2020;Trade;1MM+;98.350;;M;;_;_;-;-;B;D;C;224287AB8
3/23/2020;16:40:54;3/25/2020;Trade;1MM+;98.450;;M;;_;_;-;-;S;D;C;224287AB8
3/17/2020;10:11:06;3/19/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;224287AB8
3/17/2020;10:10:27;3/19/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;224287AB8
3/17/2020;10:09:45;3/19/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;;;224287AB8
3/17/2020;10:08:44;3/19/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;224287AB8
3/13/2020;10:55:26;3/16/2020;Trade;1MM+;99.975;;M;;_;_;-;-;S;D;C;224287AB8
3/13/2020;10:51:55;3/16/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;224287AB8
3/11/2020;13:00:07;3/13/2020;Trade;500000;99.975;;M;;_;_;-;-;S;D;C;224287AB8
3/11/2020;12:43:13;3/13/2020;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;224287AB8
3/5/2020;08:56:02;3/9/2020;Trade;250000;99.950;;M;;_;_;-;-;S;D;C;224287AB8
3/5/2020;08:55:22;3/9/2020;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;224287AB8
3/4/2020;16:49:31;3/6/2020;Trade;500000;99.850;;M;;_;_;-;-;B;D;C;224287AB8
3/4/2020;14:00:04;3/6/2020;Trade;500000;99.950;;M;;_;_;-;-;S;D;C;224287AB8
3/2/2020;13:17:39;3/4/2020;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;224287AB8
3/2/2020;13:01:26;3/4/2020;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;224287AB8
2/14/2020;15:29:27;2/19/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;224287AB8
2/14/2020;15:25:56;2/19/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;224287AB8
2/5/2020;10:10:17;2/7/2020;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;224287AB8
2/5/2020;10:08:51;2/7/2020;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;224287AB8
1/27/2020;14:57:30;1/29/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;224287AB8
1/27/2020;14:56:46;1/29/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;224287AB8
1/27/2020;11:43:28;1/29/2020;Trade;750000;100.050;;M;;_;_;-;-;S;D;C;224287AB8
1/27/2020;11:42:41;1/29/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;224287AB8
1/27/2020;11:41:49;1/29/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;224287AB8
1/6/2020;09:43:46;1/8/2020;Trade;563000;99.400;;M;;_;_;-;-;S;D;C;224287AB8
1/6/2020;09:43:07;1/8/2020;Trade;563000;99.300;;M;;_;_;-;-;B;D;C;224287AB8
12/23/2019;11:26:30;12/24/2019;Trade;1000000;99.400;;M;;_;_;-;-;S;D;C;224287AB8
