Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/20/2019;11:38:07;11/22/2019;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;27332QAB0
11/20/2019;11:36:26;11/22/2019;Trade;1000000;99.650;;M;;_;_;-;-;B;D;C;27332QAB0
11/19/2019;10:57:56;11/21/2019;Trade;250000;99.650;;M;;_;_;-;-;B;D;C;27332QAB0
11/19/2019;10:57:54;11/21/2019;Trade;250000;99.750;;M;;_;_;-;-;S;D;C;27332QAB0
11/18/2019;13:58:43;11/20/2019;Trade;1000000;99.650;;M;;_;_;-;-;B;D;C;27332QAB0
11/18/2019;11:03:22;11/20/2019;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;27332QAB0
11/18/2019;10:52:55;11/20/2019;Cancel;1000000;96.650;;M;;_;_;-;-;B;D;C;27332QAB0
11/18/2019;10:52:55;11/20/2019;Cancel;1000000;96.650;;M;;_;_;-;-;B;D;C;27332QAB0
11/18/2019;10:48:26;11/20/2019;Trade;1000000;99.650;;;;_;_;-;-;S;D;D;27332QAB0
8/8/2019;08:21:44;8/12/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;27332QAB0
8/8/2019;08:20:59;8/12/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;27332QAB0
8/7/2019;12:27:09;8/9/2019;Cancel;1MM+;100.100;;M;;_;_;-;-;S;D;C;27332QAB0
8/7/2019;12:27:09;8/9/2019;Cancel;1MM+;100.100;;M;;_;_;-;-;S;D;C;27332QAB0
8/7/2019;12:25:31;8/9/2019;Cancel;1MM+;100.000;;M;;_;_;-;-;B;D;C;27332QAB0
8/7/2019;12:25:31;8/9/2019;Cancel;1MM+;100.000;;M;;_;_;-;-;B;D;C;27332QAB0
7/9/2019;11:26:33;7/11/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;27332QAB0
7/9/2019;11:25:54;7/11/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;27332QAB0
7/2/2019;10:58:07;7/5/2019;Cancel;1000000;100.000;;M;;_;_;-;-;S;D;C;27332QAB0
7/2/2019;10:58:07;7/5/2019;Cancel;1000000;99.500;;M;;_;_;-;-;S;D;C;27332QAB0
7/2/2019;10:58:07;7/5/2019;Correction;1000000;99.950;;M;;_;_;-;-;S;D;C;27332QAB0
7/2/2019;10:55:57;7/5/2019;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;27332QAB0
7/2/2019;10:55:40;7/5/2019;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;27332QAB0
7/2/2019;10:52:36;7/5/2019;Trade;1000000;99.850;;M;;_;_;-;-;B;D;C;27332QAB0
5/30/2019;14:10:25;6/3/2019;Trade;500000;99.850;;M;;_;_;-;-;S;D;C;27332QAB0
5/30/2019;14:07:10;6/3/2019;Trade;500000;99.750;;M;;_;_;-;-;B;D;C;27332QAB0
5/24/2019;09:47:59;5/29/2019;Trade;937000;99.850;;M;;_;_;-;-;S;D;C;27332QAB0
5/24/2019;09:47:23;5/29/2019;Trade;937000;99.750;;M;;_;_;-;-;B;D;C;27332QAB0
5/23/2019;13:36:39;5/28/2019;Trade;325000;99.750;;N;;_;_;-;-;B;D;C;27332QAB0
5/23/2019;13:36:39;5/28/2019;Trade;250000;99.750;;N;;_;_;-;-;B;D;C;27332QAB0
5/23/2019;13:36:39;5/28/2019;Trade;775000;99.750;;N;;_;_;-;-;B;D;C;27332QAB0
5/23/2019;13:36:39;5/28/2019;Trade;250000;99.750;;N;;_;_;-;-;B;D;C;27332QAB0
5/23/2019;13:36:39;5/28/2019;Trade;1000000;99.850;;N;;_;_;-;-;S;D;C;27332QAB0
5/23/2019;13:36:39;5/28/2019;Trade;600000;99.850;;N;;_;_;-;-;S;D;C;27332QAB0
5/15/2019;08:56:07;5/17/2019;Trade;250000;99.100;;N;;Z;_;-;A;S;D;C;27332QAB0
5/15/2019;08:56:07;5/17/2019;Trade;250000;99.000;;N;;Z;_;-;A;B;D;C;27332QAB0
3/6/2019;12:50:18;3/8/2019;Trade;500000;100.000;;M;;_;_;-;-;S;D;C;27332QAB0
3/6/2019;12:50:14;3/8/2019;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;27332QAB0
2/20/2019;11:54:50;2/22/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;27332QAB0
2/20/2019;11:54:43;2/22/2019;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;27332QAB0
12/19/2018;09:54:08;12/21/2018;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;27332QAB0
12/19/2018;09:53:18;12/21/2018;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;27332QAB0
12/12/2018;13:24:26;12/14/2018;Trade;469000;100.050;;M;;_;_;-;-;S;D;C;27332QAB0
12/12/2018;13:23:33;12/14/2018;Trade;469000;99.950;;M;;_;_;-;-;B;D;C;27332QAB0
12/12/2018;11:31:15;12/14/2018;Trade;1000000;100.050;;M;;_;_;-;-;S;D;C;27332QAB0
12/12/2018;11:30:39;12/14/2018;Trade;1000000;99.950;;M;;_;_;-;-;B;D;C;27332QAB0
12/6/2018;11:14:51;12/10/2018;Trade;469000;100.150;;M;;_;_;-;-;S;D;C;27332QAB0
12/6/2018;11:14:10;12/10/2018;Trade;469000;100.050;;M;;_;_;-;-;B;D;C;27332QAB0
8/8/2018;14:21:13;8/10/2018;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;27332QAB0
8/8/2018;14:20:29;8/10/2018;Trade;645000;100.800;;M;;_;_;-;-;B;D;C;27332QAB0
8/8/2018;14:19:35;8/10/2018;Trade;1MM+;100.800;;M;;_;_;-;-;B;D;C;27332QAB0
8/8/2018;10:10:49;8/10/2018;Trade;500000;100.900;;M;;Z;_;-;-;B;D;C;27332QAB0
8/8/2018;10:10:46;8/10/2018;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;27332QAB0
7/5/2018;10:28:59;7/9/2018;Trade;1000000;100.725;;M;;_;_;-;-;S;D;C;27332QAB0
7/5/2018;10:28:00;7/9/2018;Trade;1000000;100.625;;M;;_;_;-;-;B;D;C;27332QAB0
6/27/2018;12:50:42;6/29/2018;Trade;350000;100.700;;M;;_;_;-;-;B;D;C;27332QAB0
6/27/2018;12:25:00;6/29/2018;Trade;350000;100.800;;M;;_;_;-;-;S;D;C;27332QAB0
6/26/2018;10:30:07;6/28/2018;Trade;550000;100.745;;M;;_;_;-;-;S;D;C;27332QAB0
6/26/2018;10:29:15;6/28/2018;Trade;550000;100.695;;M;;_;_;-;-;B;D;C;27332QAB0
5/24/2018;10:22:27;5/29/2018;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;27332QAB0
5/24/2018;10:21:27;5/29/2018;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;27332QAB0
4/3/2018;09:23:21;4/5/2018;Trade;500000;100.825;;M;;_;_;-;-;S;D;C;27332QAB0
4/3/2018;09:22:35;4/5/2018;Trade;500000;100.775;;M;;_;_;-;-;B;D;C;27332QAB0
3/22/2018;16:28:00;3/26/2018;Trade;1MM+;100.600;;N;;_;_;-;-;B;D;C;27332QAB0
3/22/2018;16:28:00;3/26/2018;Cancel;1MM+;100.700;;N;;_;_;-;-;S;D;C;27332QAB0
3/22/2018;16:28:00;3/26/2018;Cancel;1MM+;100.700;;N;;_;_;-;-;S;D;C;27332QAB0
