Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/24/2020;14:02:55;3/26/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;30014LAB0
3/24/2020;14:01:53;3/26/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;30014LAB0
3/24/2020;14:01:16;3/26/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;30014LAB0
3/18/2020;12:43:12;3/20/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;30014LAB0
3/18/2020;12:41:48;3/20/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;30014LAB0
3/18/2020;12:40:25;3/20/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;30014LAB0
3/17/2020;15:02:36;3/19/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;30014LAB0
3/17/2020;15:02:04;3/19/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;30014LAB0
3/17/2020;10:34:31;3/19/2020;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;30014LAB0
3/17/2020;10:32:42;3/19/2020;Trade;1000000;100.200;;M;;_;_;-;-;B;D;C;30014LAB0
3/17/2020;09:02:11;3/19/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;30014LAB0
3/17/2020;09:01:10;3/19/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;30014LAB0
3/16/2020;08:13:44;3/18/2020;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;30014LAB0
3/16/2020;08:13:01;3/18/2020;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;30014LAB0
3/12/2020;10:53:31;3/16/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;30014LAB0
3/12/2020;10:52:50;3/16/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;30014LAB0
3/12/2020;10:52:16;3/16/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;30014LAB0
3/12/2020;10:51:42;3/16/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;30014LAB0
2/13/2020;10:27:59;2/18/2020;Trade;1MM+;100.620;;M;;_;_;-;-;S;D;C;30014LAB0
2/13/2020;10:27:18;2/18/2020;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;30014LAB0
12/18/2019;09:56:59;12/20/2019;Cancel;2000;100.850;;M;;_;_;-;-;B;D;C;30014LAB0
12/18/2019;09:56:59;12/20/2019;Correction;1MM+;100.850;;M;;_;_;-;-;B;D;C;30014LAB0
12/18/2019;09:56:00;12/20/2019;Trade;1MM+;100.950;;M;;_;_;-;-;S;D;C;30014LAB0
11/26/2019;11:54:00;11/29/2019;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;30014LAB0
11/26/2019;11:53:13;11/29/2019;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;30014LAB0
11/26/2019;09:28:43;11/29/2019;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;30014LAB0
11/26/2019;09:28:09;11/29/2019;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;30014LAB0
11/26/2019;08:37:17;11/29/2019;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;30014LAB0
11/26/2019;08:36:34;11/29/2019;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;30014LAB0
11/26/2019;08:35:04;11/29/2019;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;30014LAB0
11/20/2019;10:40:00;11/22/2019;Trade;1MM+;101.050;;N;;Z;_;-;-;S;D;C;30014LAB0
11/20/2019;10:40:00;11/22/2019;Trade;1MM+;101.050;;M;;Z;_;-;-;B;D;C;30014LAB0
11/20/2019;10:40:00;11/22/2019;Trade;1MM+;101.050;;N;;_;_;-;-;S;D;C;30014LAB0
11/20/2019;10:40:00;11/22/2019;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;30014LAB0
11/20/2019;10:40:00;11/22/2019;Trade;1MM+;101.150;;N;;_;_;-;-;B;D;C;30014LAB0
11/20/2019;10:40:00;11/22/2019;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;30014LAB0
11/7/2019;13:44:27;11/12/2019;Trade;1MM+;101.200;;M;;_;_;-;-;S;D;C;30014LAB0
11/7/2019;13:41:00;11/12/2019;Trade;1MM+;101.100;;M;;_;_;-;-;B;D;C;30014LAB0
11/7/2019;12:16:34;11/12/2019;Trade;1MM+;101.100;;M;;_;_;-;-;B;D;C;30014LAB0
11/7/2019;12:15:14;11/12/2019;Trade;1MM+;101.200;;M;;_;_;-;-;S;D;C;30014LAB0
11/7/2019;12:14:47;11/12/2019;Trade;1MM+;101.200;;M;;_;_;-;-;S;D;C;30014LAB0
10/30/2019;14:28:42;11/1/2019;Trade;250000;101.000;;M;;_;_;-;-;S;D;C;30014LAB0
8/12/2019;14:05:39;8/14/2019;Trade;250000;98.100;;M;;_;_;-;-;S;D;C;30014LAB0
8/12/2019;14:01:04;8/14/2019;Trade;250000;98.000;;M;;_;_;-;-;B;D;C;30014LAB0
8/6/2019;11:47:56;8/8/2019;Trade;500000;98.000;;M;;_;_;-;-;S;D;C;30014LAB0
8/6/2019;11:47:52;8/8/2019;Trade;500000;98.000;;M;;_;_;-;-;B;D;C;30014LAB0
7/29/2019;14:39:21;7/31/2019;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;30014LAB0
7/29/2019;14:39:17;7/31/2019;Trade;1MM+;98.050;;M;;_;_;-;-;S;D;C;30014LAB0
5/15/2019;18:24:37;5/17/2019;Trade;500000;97.900;;M;;_;_;-;A;S;D;C;30014LAB0
5/15/2019;18:24:07;5/17/2019;Trade;500000;97.900;;M;;_;_;-;A;S;D;C;30014LAB0
5/15/2019;13:25:00;5/17/2019;Trade;1MM+;97.800;;M;;_;_;-;-;S;D;C;30014LAB0
5/15/2019;13:24:37;5/17/2019;Cancel;1000000;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/15/2019;13:24:37;5/17/2019;Cancel;1000000;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/15/2019;13:24:10;5/17/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/10/2019;18:06:50;5/14/2019;Trade;500000;97.900;;M;;Z;_;-;A;S;D;C;30014LAB0
5/10/2019;18:00:47;5/14/2019;Trade;500000;97.900;;M;;Z;_;-;A;S;D;C;30014LAB0
5/10/2019;13:06:50;5/14/2019;Cancel;1MM+;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/10/2019;13:06:50;5/14/2019;Cancel;1MM+;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/10/2019;12:39:55;5/14/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/10/2019;12:33:11;5/14/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;30014LAB0
5/10/2019;06:45:28;5/14/2019;Trade;500000;97.900;;M;;Z;_;-;A;S;D;C;30014LAB0
5/10/2019;06:45:16;5/14/2019;Trade;1MM+;97.900;;M;;Z;_;-;A;S;D;C;30014LAB0
5/10/2019;06:45:04;5/14/2019;Trade;750000;97.900;;M;;Z;_;-;A;S;D;C;30014LAB0
5/10/2019;06:44:35;5/14/2019;Trade;500000;97.900;;M;;Z;_;-;A;S;D;C;30014LAB0
4/4/2019;09:51:19;4/8/2019;Trade;250000;98.150;;M;;_;_;-;-;B;D;C;30014LAB0
4/4/2019;09:50:22;4/8/2019;Trade;250000;98.250;;M;;_;_;-;-;S;D;C;30014LAB0
2/22/2019;09:46:00;2/26/2019;Trade;1000000;99.650;;M;;_;_;-;-;B;D;C;30014LAB0
2/22/2019;09:45:38;2/26/2019;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;30014LAB0
2/20/2019;12:44:26;2/22/2019;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;30014LAB0
2/20/2019;12:43:51;2/22/2019;Trade;1000000;99.800;;M;;_;_;-;-;B;D;C;30014LAB0
2/19/2019;11:48:16;2/21/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;30014LAB0
2/19/2019;11:47:44;2/21/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;30014LAB0
1/15/2019;11:07:21;1/17/2019;Trade;200000;100.085;;M;;_;_;-;-;S;D;C;30014LAB0
1/15/2019;11:06:48;1/17/2019;Trade;200000;100.035;;M;;_;_;-;-;B;D;C;30014LAB0
1/10/2019;08:41:35;1/14/2019;Trade;900000;100.100;;M;;_;_;-;-;S;D;C;30014LAB0
1/10/2019;08:40:51;1/14/2019;Trade;900000;100.000;;M;;_;_;-;-;B;D;C;30014LAB0
12/19/2018;12:02:29;12/21/2018;Trade;1000000;99.300;;M;;_;_;-;-;B;D;C;30014LAB0
12/19/2018;12:02:29;12/21/2018;Trade;1000000;99.400;;M;;_;_;-;-;S;D;C;30014LAB0
12/6/2018;11:29:47;12/10/2018;Trade;283000;99.500;;M;;_;_;-;-;S;D;C;30014LAB0
12/6/2018;11:29:08;12/10/2018;Trade;283000;99.400;;M;;_;_;-;-;B;D;C;30014LAB0
11/30/2018;11:59:17;12/4/2018;Trade;1000000;99.200;;M;;_;_;-;-;B;D;C;30014LAB0
11/30/2018;11:59:17;12/4/2018;Trade;1000000;99.300;;M;;_;_;-;-;S;D;C;30014LAB0
11/28/2018;11:22:28;11/30/2018;Trade;282000;100.000;;M;;_;_;-;-;S;D;C;30014LAB0
11/28/2018;11:21:53;11/30/2018;Trade;282000;99.900;;M;;_;_;-;-;B;D;C;30014LAB0
11/6/2018;10:39:38;11/8/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;30014LAB0
11/6/2018;10:38:08;11/8/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;30014LAB0
11/5/2018;11:56:03;11/7/2018;Trade;560000;100.900;;M;;_;_;-;-;B;D;C;30014LAB0
11/5/2018;11:55:23;11/7/2018;Trade;560000;101.000;;M;;_;_;-;-;S;D;C;30014LAB0
8/15/2018;12:13:32;8/17/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;30014LAB0
8/15/2018;12:03:48;8/17/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;30014LAB0
8/6/2018;14:54:00;8/8/2018;Trade;250000;100.250;;N;;_;_;-;-;B;D;C;30014LAB0
8/6/2018;14:05:00;8/8/2018;Cancel;250000;100.250;;N;;_;_;-;-;B;D;C;30014LAB0
8/6/2018;14:05:00;8/8/2018;Cancel;250000;100.250;;N;;_;_;-;-;B;D;C;30014LAB0
8/6/2018;14:05:00;8/8/2018;Trade;250000;100.350;;N;;_;_;-;-;S;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Cancel;1MM+;100.250;;N;;_;_;-;-;B;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Trade;1000000;100.350;;N;;_;_;-;-;S;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Trade;250000;100.250;;N;;Z;_;-;-;B;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Trade;250000;100.250;;N;;Z;_;-;-;B;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Trade;250000;100.250;;N;;Z;_;-;-;B;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Trade;250000;100.250;;N;;Z;_;-;-;B;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Cancel;1MM+;100.250;;N;;_;_;-;-;B;D;C;30014LAB0
8/6/2018;14:01:00;8/8/2018;Trade;500000;100.350;;N;;_;_;-;-;S;D;C;30014LAB0
8/6/2018;09:37:00;8/8/2018;Trade;250000;100.250;;N;;Z;_;-;A;B;D;C;30014LAB0
7/12/2018;16:00:00;7/16/2018;Cancel;750000;100.375;;N;;_;_;-;-;B;D;C;30014LAB0
7/12/2018;16:00:00;7/16/2018;Trade;750000;100.475;;N;;_;_;-;-;S;D;C;30014LAB0
7/12/2018;16:00:00;7/16/2018;Cancel;750000;100.375;;N;;_;_;-;-;B;D;C;30014LAB0
7/10/2018;12:21:00;7/12/2018;Trade;1MM+;100.110;;M;;_;_;-;-;B;D;C;30014LAB0
7/10/2018;11:52:48;7/12/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;30014LAB0
7/10/2018;11:52:39;7/12/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;30014LAB0
6/27/2018;12:54:00;6/29/2018;Trade;1MM+;100.360;;M;;_;_;-;-;B;D;C;30014LAB0
6/27/2018;12:53:43;6/29/2018;Trade;1MM+;100.360;;M;;_;_;-;-;B;D;C;30014LAB0
6/27/2018;12:53:26;6/29/2018;Trade;1MM+;100.360;;M;;_;_;-;-;B;D;C;30014LAB0
6/27/2018;12:52:27;6/29/2018;Trade;1MM+;100.360;;M;;_;_;-;-;B;D;C;30014LAB0
6/27/2018;12:52:09;6/29/2018;Cancel;1MM+;100.350;;M;;_;_;-;-;B;D;C;30014LAB0
6/27/2018;12:52:09;6/29/2018;Cancel;1MM+;100.350;;M;;_;_;-;-;B;D;C;30014LAB0
6/27/2018;12:25:00;6/29/2018;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;30014LAB0
6/14/2018;11:29:25;6/18/2018;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;30014LAB0
6/14/2018;11:27:00;6/18/2018;Trade;1000000;100.400;;;;_;_;-;-;S;D;D;30014LAB0
5/31/2018;10:02:10;6/4/2018;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;30014LAB0
5/31/2018;10:01:22;6/4/2018;Trade;1MM+;100.460;;M;;_;_;-;-;B;D;C;30014LAB0
4/25/2018;10:08:11;4/27/2018;Trade;500000;100.650;;M;;_;_;-;-;S;D;C;30014LAB0
4/25/2018;10:07:11;4/27/2018;Trade;500000;100.550;;M;;_;_;-;-;B;D;C;30014LAB0
4/17/2018;10:22:07;4/19/2018;Trade;250000;100.636;;M;;_;_;-;-;S;D;C;30014LAB0
4/17/2018;10:21:49;4/19/2018;Trade;250000;100.586;;M;;_;_;-;-;B;D;C;30014LAB0
4/13/2018;09:47:55;4/17/2018;Trade;250000;100.650;;M;;_;_;-;-;S;D;C;30014LAB0
4/13/2018;09:46:46;4/17/2018;Trade;250000;100.550;;M;;_;_;-;-;B;D;C;30014LAB0
4/11/2018;08:54:00;4/13/2018;Trade;1000000;100.550;;;;_;_;-;-;S;D;D;30014LAB0
4/11/2018;08:50:23;4/13/2018;Trade;1000000;100.650;;M;;_;_;-;-;S;D;C;30014LAB0
4/10/2018;12:27:00;4/12/2018;Trade;1000000;100.550;;;;_;_;-;-;S;D;D;30014LAB0
4/10/2018;12:24:55;4/12/2018;Trade;1000000;100.650;;M;;_;_;-;-;S;D;C;30014LAB0
4/10/2018;12:24:18;4/12/2018;Trade;500000;100.650;;M;;_;_;-;-;S;D;C;30014LAB0
4/10/2018;12:22:50;4/12/2018;Trade;500000;100.550;;M;;_;_;-;-;B;D;C;30014LAB0
4/6/2018;14:11:00;4/10/2018;Trade;250000;100.500;;;;_;_;-;-;S;D;D;30014LAB0
4/6/2018;14:07:45;4/10/2018;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;30014LAB0
3/28/2018;09:38:11;3/29/2018;Trade;250000;100.305;;M;;_;_;-;-;S;D;C;30014LAB0
3/28/2018;09:37:39;3/29/2018;Trade;250000;100.255;;M;;_;_;-;-;B;D;C;30014LAB0
3/19/2018;11:38:47;3/21/2018;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;30014LAB0
3/19/2018;11:38:18;3/21/2018;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;30014LAB0
3/19/2018;11:31:17;3/21/2018;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;30014LAB0
3/19/2018;11:29:00;3/21/2018;Trade;1MM+;100.750;;;;_;_;-;-;S;D;D;30014LAB0
3/8/2018;10:43:00;3/12/2018;Trade;1000000;100.850;;;;_;_;-;-;S;D;D;30014LAB0
3/8/2018;10:40:52;3/12/2018;Trade;1000000;100.950;;M;;_;_;-;-;S;D;C;30014LAB0
