Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/1/2020;09:33:03;7/6/2020;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;30014LAC8
7/1/2020;09:32:08;7/6/2020;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;30014LAC8
6/23/2020;09:13:19;6/25/2020;Trade;1MM+;97.850;;M;;_;_;-;-;B;D;C;30014LAC8
6/23/2020;09:11:08;6/25/2020;Trade;1MM+;97.950;;M;;_;_;-;-;S;D;C;30014LAC8
6/23/2020;09:05:05;6/25/2020;Trade;750000;97.950;;M;;_;_;-;-;S;D;C;30014LAC8
5/19/2020;09:35:57;5/21/2020;Trade;1MM+;97.450;;M;;_;_;-;-;S;D;C;30014LAC8
5/19/2020;09:34:26;5/21/2020;Trade;1MM+;97.350;;M;;_;_;-;-;B;;;30014LAC8
5/18/2020;12:09:19;5/20/2020;Trade;1MM+;97.450;;M;;_;_;-;-;S;D;C;30014LAC8
5/18/2020;12:06:51;5/20/2020;Trade;1MM+;97.350;;M;;_;_;-;-;B;D;C;30014LAC8
5/15/2020;15:38:09;5/19/2020;Trade;1MM+;97.450;;M;;_;_;-;-;S;D;C;30014LAC8
5/15/2020;15:37:34;5/19/2020;Trade;1MM+;97.350;;M;;_;_;-;-;B;D;C;30014LAC8
5/14/2020;13:55:44;5/18/2020;Trade;1MM+;97.200;;M;;_;_;-;-;S;D;C;30014LAC8
5/14/2020;13:44:32;5/18/2020;Trade;1MM+;97.200;;M;;_;_;-;-;S;D;C;30014LAC8
5/14/2020;13:44:32;5/18/2020;Trade;500000;97.200;;M;;Z;_;-;A;S;D;C;30014LAC8
5/14/2020;13:44:32;5/18/2020;Trade;1MM+;97.200;;M;;Z;_;-;A;S;D;C;30014LAC8
5/14/2020;13:41:12;5/18/2020;Trade;1000000;97.200;;M;;_;_;-;-;S;D;C;30014LAC8
5/14/2020;13:36:32;5/18/2020;Trade;1MM+;97.100;;M;;_;_;-;-;B;D;C;30014LAC8
