Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/15/2020;10:23:24;6/17/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;31970MAA0
6/15/2020;10:22:29;6/17/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Correction;1000000;93.000;;M;;Z;_;-;-;S;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Correction;1MM+;92.980;;M;;Z;_;-;-;S;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Trade;1MM+;92.910;;M;;_;_;-;-;B;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Cancel;1MM+;92.980;;M;;_;_;-;-;B;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Cancel;1000000;93.000;;M;;_;_;-;-;B;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Cancel;250000;93.000;;M;;Z;_;-;A;S;D;C;31970MAA0
3/25/2020;14:26:45;3/27/2020;Cancel;250000;93.000;;M;;Z;_;-;A;S;D;C;31970MAA0
12/18/2019;10:09:28;12/20/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;31970MAA0
12/18/2019;10:08:55;12/20/2019;Trade;500000;100.900;;M;;_;_;-;-;B;D;C;31970MAA0
12/18/2019;10:08:19;12/20/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;31970MAA0
12/18/2019;10:07:50;12/20/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;31970MAA0
12/16/2019;10:46:10;12/18/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;31970MAA0
12/16/2019;10:45:26;12/18/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;31970MAA0
12/13/2019;12:45:28;12/17/2019;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;31970MAA0
12/13/2019;12:44:00;12/17/2019;Trade;1MM+;100.800;;M;;_;_;-;-;B;D;C;31970MAA0
12/13/2019;11:35:39;12/17/2019;Trade;1000000;100.900;;M;;_;_;-;-;S;D;C;31970MAA0
12/13/2019;11:35:01;12/17/2019;Trade;1000000;100.800;;M;;_;_;-;-;B;D;C;31970MAA0
12/13/2019;10:26:55;12/17/2019;Trade;1MM+;100.800;;M;;_;_;-;-;B;;;31970MAA0
12/13/2019;10:26:31;12/17/2019;Trade;1MM+;100.900;;M;;_;_;-;-;S;;;31970MAA0
