Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/1/2020;10:51:26;7/6/2020;Trade;1000000;98.900;;M;;_;_;-;-;S;D;C;31970LAB0
7/1/2020;10:49:17;7/6/2020;Trade;1000000;98.800;;M;;_;_;-;-;B;D;C;31970LAB0
5/19/2020;15:40:03;5/21/2020;Trade;250000;97.100;;M;;_;_;-;-;S;D;C;31970LAB0
5/19/2020;15:40:03;5/21/2020;Trade;250000;97.200;;M;;_;_;-;-;B;D;C;31970LAB0
4/27/2020;11:12:47;4/29/2020;Trade;1000000;97.600;;M;;_;_;-;-;S;D;C;31970LAB0
4/27/2020;11:12:05;4/29/2020;Trade;1000000;97.500;;M;;_;_;-;-;B;D;C;31970LAB0
4/1/2020;11:21:00;4/3/2020;Trade;1000000;96.500;;M;;_;_;-;-;B;D;C;31970LAB0
4/1/2020;11:21:00;4/3/2020;Trade;1000000;96.600;;M;;_;_;-;-;S;D;C;31970LAB0
3/24/2020;10:05:42;3/26/2020;Trade;1MM+;94.400;;M;;_;_;-;-;B;D;C;31970LAB0
3/24/2020;10:05:42;3/26/2020;Trade;1MM+;94.500;;M;;_;_;-;-;S;D;C;31970LAB0
3/24/2020;10:05:42;3/26/2020;Trade;1MM+;94.500;;M;;_;_;-;-;S;D;C;31970LAB0
7/15/2019;12:12:21;7/17/2019;Trade;1000000;97.100;;M;;_;_;-;-;S;D;C;31970LAB0
7/15/2019;12:11:44;7/17/2019;Trade;1000000;97.000;;M;;_;_;-;-;B;D;C;31970LAB0
6/5/2019;09:18:49;6/7/2019;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;31970LAB0
6/5/2019;09:14:22;6/7/2019;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;31970LAB0
6/5/2019;08:22:13;6/7/2019;Trade;1000000;97.100;;M;;_;_;-;-;S;D;C;31970LAB0
6/5/2019;08:20:25;6/7/2019;Trade;1000000;97.000;;M;;_;_;-;-;B;D;C;31970LAB0
6/4/2019;12:18:06;6/6/2019;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;31970LAB0
