Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/16/2020;11:44:00;7/20/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;34961KAA9
7/16/2020;11:18:16;7/20/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;34961KAA9
7/16/2020;10:30:17;7/20/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;34961KAA9
4/8/2020;11:34:48;4/13/2020;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;34961KAA9
4/8/2020;11:33:33;4/13/2020;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;34961KAA9
1/23/2020;10:19:37;1/27/2020;Trade;900000;100.000;;M;;_;_;-;-;S;D;C;34961KAA9
1/23/2020;10:18:58;1/27/2020;Trade;900000;99.900;;M;;_;_;-;-;B;D;C;34961KAA9
1/17/2020;09:32:28;1/22/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;34961KAA9
1/17/2020;09:31:34;1/22/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;34961KAA9
1/8/2020;11:22:10;1/10/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;34961KAA9
1/8/2020;11:21:04;1/10/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;34961KAA9
1/8/2020;10:32:10;1/10/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;34961KAA9
1/8/2020;10:31:28;1/10/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;34961KAA9
1/8/2020;10:30:20;1/10/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;34961KAA9
12/11/2019;14:11:30;12/13/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;34961KAA9
12/11/2019;14:11:26;12/13/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;34961KAA9
8/8/2019;10:46:21;8/12/2019;Trade;1MM+;96.200;;M;;_;_;-;-;S;D;C;34961KAA9
8/8/2019;10:45:15;8/12/2019;Trade;1MM+;96.100;;M;;_;_;-;-;B;D;C;34961KAA9
7/24/2019;09:52:22;7/26/2019;Trade;500000;96.000;;M;;_;_;-;-;S;D;C;34961KAA9
7/24/2019;09:51:32;7/26/2019;Trade;500000;95.900;;M;;_;_;-;-;B;D;C;34961KAA9
7/22/2019;08:49:04;7/24/2019;Trade;350000;96.000;;M;;_;_;-;-;S;D;C;34961KAA9
7/22/2019;08:48:19;7/24/2019;Trade;350000;95.900;;M;;_;_;-;-;B;D;C;34961KAA9
7/18/2019;10:27:31;7/22/2019;Trade;500000;96.000;;M;;_;_;-;-;S;D;C;34961KAA9
7/18/2019;10:26:51;7/22/2019;Trade;500000;95.900;;M;;_;_;-;-;B;D;C;34961KAA9
6/17/2019;12:16:10;6/19/2019;Trade;975000;96.350;;M;;_;_;-;-;B;D;C;34961KAA9
6/17/2019;12:14:12;6/19/2019;Cancel;975000;96.450;;M;;_;_;-;-;S;D;C;34961KAA9
6/17/2019;12:14:12;6/19/2019;Correction;500000;96.450;;M;;Z;_;-;A;S;D;C;34961KAA9
6/17/2019;04:47:47;6/19/2019;Trade;475000;96.450;;M;;Z;_;-;A;S;D;C;34961KAA9
6/4/2019;12:00:57;6/6/2019;Trade;1MM+;96.050;;M;;_;_;-;-;B;D;C;34961KAA9
6/4/2019;12:00:17;6/6/2019;Trade;1MM+;96.050;;M;;_;_;-;-;B;D;C;34961KAA9
4/5/2019;16:39:13;4/9/2019;Trade;750000;96.000;;N;;_;_;-;-;B;D;C;34961KAA9
4/5/2019;16:39:13;4/9/2019;Trade;750000;96.100;;N;;_;_;-;-;S;D;C;34961KAA9
12/18/2018;13:22:00;12/20/2018;Trade;250000;99.750;;N;;_;_;-;-;S;D;C;34961KAA9
12/18/2018;13:22:00;12/20/2018;Trade;250000;99.650;;N;;_;_;-;-;B;D;C;34961KAA9
12/14/2018;09:47:17;12/18/2018;Trade;400000;98.750;;M;;_;_;-;-;S;D;C;34961KAA9
12/14/2018;09:46:41;12/18/2018;Trade;400000;98.650;;M;;_;_;-;-;B;D;C;34961KAA9
9/12/2018;08:24:48;9/14/2018;Trade;500000;98.750;;M;;_;_;-;-;S;D;C;34961KAA9
9/12/2018;08:24:18;9/14/2018;Trade;500000;98.500;;M;;_;_;-;-;B;D;C;34961KAA9
7/27/2018;10:32:42;7/31/2018;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;34961KAA9
7/27/2018;10:31:38;7/31/2018;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;34961KAA9
6/5/2018;08:50:07;6/7/2018;Trade;500000;100.605;;M;;_;_;-;-;S;D;C;34961KAA9
6/5/2018;08:48:49;6/7/2018;Trade;500000;100.555;;M;;_;_;-;-;B;D;C;34961KAA9
2/22/2018;09:52:38;2/26/2018;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;34961KAA9
2/22/2018;09:52:06;2/26/2018;Trade;250000;100.500;;M;;_;_;-;-;B;D;C;34961KAA9
1/8/2018;11:59:50;1/10/2018;Trade;250000;101.250;;M;;_;_;-;-;S;D;C;34961KAA9
1/8/2018;11:59:12;1/10/2018;Trade;250000;101.150;;M;;_;_;-;-;B;D;C;34961KAA9
12/18/2017;11:25:02;12/20/2017;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;34961KAA9
12/18/2017;11:24:00;12/20/2017;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;34961KAA9
11/29/2017;09:17:00;12/1/2017;Trade;1MM+;101.050;;;;_;_;-;-;S;D;D;34961KAA9
11/29/2017;09:12:51;12/1/2017;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;34961KAA9
