Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/20/2020;15:09:22;4/22/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;33975CAA3
4/20/2020;15:05:46;4/22/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;33975CAA3
2/19/2020;09:58:54;2/21/2020;Trade;250000;100.600;;M;;_;_;-;-;B;D;C;33975CAA3
2/19/2020;09:58:17;2/21/2020;Trade;250000;100.700;;M;;_;_;-;-;S;D;C;33975CAA3
2/19/2020;09:19:56;2/21/2020;Trade;500000;100.700;;M;;_;_;-;-;S;D;C;33975CAA3
2/19/2020;09:19:15;2/21/2020;Trade;500000;100.600;;M;;_;_;-;-;B;D;C;33975CAA3
1/30/2020;13:21:34;2/3/2020;Trade;500000;101.250;;M;;_;_;-;-;S;D;C;33975CAA3
1/30/2020;13:21:34;2/3/2020;Trade;500000;101.150;;M;;_;_;-;-;B;D;C;33975CAA3
1/21/2020;10:55:06;1/23/2020;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;33975CAA3
1/21/2020;10:52:43;1/23/2020;Trade;1MM+;100.950;;M;;_;_;-;-;B;D;C;33975CAA3
1/13/2020;10:24:02;1/15/2020;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;33975CAA3
1/13/2020;10:24:02;1/15/2020;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;33975CAA3
12/5/2019;11:57:19;12/9/2019;Cancel;1MM+;100.950;;M;;_;_;-;-;S;D;C;33975CAA3
12/5/2019;11:57:19;12/9/2019;Cancel;1MM+;100.950;;M;;_;_;-;-;S;D;C;33975CAA3
12/5/2019;11:56:40;12/9/2019;Cancel;1MM+;100.850;;M;;_;_;-;-;B;D;C;33975CAA3
12/5/2019;11:56:40;12/9/2019;Cancel;1MM+;100.850;;M;;_;_;-;-;B;D;C;33975CAA3
9/27/2019;11:31:46;10/1/2019;Correction;750000;100.100;;M;;Z;_;-;-;S;D;C;33975CAA3
9/27/2019;11:31:46;10/1/2019;Trade;750000;100.000;;M;;_;_;-;-;B;D;C;33975CAA3
9/27/2019;11:31:46;12/1/2019;Cancel;750000;100.100;;M;;_;_;-;-;S;D;C;33975CAA3
7/23/2019;08:24:05;7/25/2019;Trade;1MM+;97.800;;M;;_;_;-;-;S;D;C;33975CAA3
7/23/2019;08:23:25;7/25/2019;Trade;1MM+;97.700;;M;;_;_;-;-;B;D;C;33975CAA3
7/17/2019;10:07:58;7/19/2019;Trade;250000;97.600;;M;;_;_;-;-;B;D;C;33975CAA3
7/17/2019;10:06:54;7/19/2019;Trade;250000;97.700;;M;;_;_;-;-;S;D;C;33975CAA3
6/17/2019;12:06:58;6/19/2019;Trade;1MM+;97.650;;M;;_;_;-;-;S;D;C;33975CAA3
6/17/2019;12:06:24;6/19/2019;Trade;1MM+;97.550;;M;;_;_;-;-;B;D;C;33975CAA3
5/7/2019;09:56:24;5/9/2019;Trade;250000;98.400;;M;;_;_;-;-;S;D;C;33975CAA3
5/7/2019;09:56:21;5/9/2019;Trade;250000;98.300;;M;;_;_;-;-;B;D;C;33975CAA3
4/12/2019;14:11:11;4/16/2019;Trade;1000000;99.250;;M;;_;_;-;-;S;D;C;33975CAA3
4/12/2019;13:46:38;4/16/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;33975CAA3
4/12/2019;13:43:38;4/16/2019;Trade;1000000;99.250;;M;;_;_;-;-;S;D;C;33975CAA3
4/11/2019;11:47:29;4/15/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;33975CAA3
4/11/2019;11:47:07;4/15/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;33975CAA3
4/2/2019;11:54:55;4/4/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;33975CAA3
4/2/2019;11:54:13;4/4/2019;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;33975CAA3
4/2/2019;11:52:09;4/4/2019;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;33975CAA3
3/8/2019;13:02:12;3/12/2019;Trade;750000;100.000;;M;;_;_;-;-;S;D;C;33975CAA3
3/8/2019;12:46:19;3/12/2019;Trade;750000;99.900;;M;;_;_;-;-;B;D;C;33975CAA3
2/26/2019;11:30:14;2/28/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;33975CAA3
2/26/2019;11:29:26;2/28/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;33975CAA3
2/26/2019;11:28:08;2/28/2019;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;33975CAA3
2/26/2019;11:18:56;2/28/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;33975CAA3
2/26/2019;11:18:00;2/28/2019;Trade;250000;100.100;;M;;_;_;-;-;B;D;C;33975CAA3
1/9/2019;11:13:23;1/11/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;33975CAA3
1/9/2019;11:13:20;1/11/2019;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;33975CAA3
12/10/2018;14:20:07;12/12/2018;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;33975CAA3
12/10/2018;14:19:08;12/12/2018;Trade;250000;99.500;;M;;_;_;-;-;B;D;C;33975CAA3
12/4/2018;09:44:30;12/6/2018;Trade;250000;99.850;;M;;_;_;-;-;S;D;C;33975CAA3
12/4/2018;09:43:58;12/6/2018;Trade;250000;99.750;;M;;_;_;-;-;B;D;C;33975CAA3
11/28/2018;09:17:46;11/30/2018;Trade;500000;99.350;;M;;_;_;-;-;S;D;C;33975CAA3
11/28/2018;09:17:14;11/30/2018;Trade;500000;99.250;;M;;_;_;-;-;B;D;C;33975CAA3
11/21/2018;12:55:18;11/26/2018;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;33975CAA3
11/21/2018;12:54:18;11/26/2018;Trade;500000;100.100;;M;;_;_;-;-;B;D;C;33975CAA3
11/16/2018;11:58:06;11/20/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;33975CAA3
11/16/2018;11:57:36;11/20/2018;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;33975CAA3
11/5/2018;13:31:49;11/7/2018;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;33975CAA3
11/5/2018;13:31:00;11/7/2018;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;33975CAA3
11/2/2018;09:46:48;11/6/2018;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;33975CAA3
11/2/2018;09:46:48;11/6/2018;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;33975CAA3
11/1/2018;14:07:44;11/5/2018;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;33975CAA3
11/1/2018;14:07:44;11/5/2018;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;33975CAA3
10/5/2018;12:16:11;10/10/2018;Trade;1000000;100.200;;M;;_;_;-;-;S;D;C;33975CAA3
10/5/2018;12:15:38;10/10/2018;Trade;1000000;100.100;;M;;_;_;-;-;B;D;C;33975CAA3
