Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/8/2020;10:21:25;7/10/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;33975CAB1
7/8/2020;10:10:40;7/10/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;33975CAB1
7/1/2020;14:54:45;7/6/2020;Trade;1000000;96.400;;M;;_;_;-;-;B;D;C;33975CAB1
7/1/2020;14:49:51;7/6/2020;Trade;1000000;96.500;;M;;_;_;-;-;S;D;C;33975CAB1
4/27/2020;17:41:27;4/29/2020;Trade;1MM+;96.100;;M;;T;_;-;-;S;D;C;33975CAB1
4/27/2020;17:40:32;4/29/2020;Trade;1MM+;96.000;;M;;T;_;-;-;B;D;C;33975CAB1
4/21/2020;11:14:33;4/23/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;33975CAB1
4/21/2020;11:12:53;4/23/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;33975CAB1
4/21/2020;10:26:37;4/23/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;33975CAB1
4/21/2020;10:25:54;4/23/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;33975CAB1
3/19/2020;10:47:11;3/23/2020;Trade;1000000;98.000;;M;;_;_;-;-;S;D;C;33975CAB1
3/19/2020;10:46:37;3/23/2020;Trade;1000000;97.900;;M;;_;_;-;-;B;D;C;33975CAB1
3/19/2020;08:37:09;3/23/2020;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;33975CAB1
3/19/2020;08:36:34;3/23/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;33975CAB1
3/4/2020;10:58:01;3/6/2020;Trade;1000000;99.850;;M;;_;_;-;-;B;D;C;33975CAB1
3/4/2020;10:51:04;3/6/2020;Trade;1000000;99.950;;M;;_;_;-;-;S;D;C;33975CAB1
3/4/2020;09:02:17;3/6/2020;Trade;250000;99.950;;M;;_;_;-;-;S;D;C;33975CAB1
3/4/2020;08:55:17;3/6/2020;Trade;250000;99.850;;M;;_;_;-;-;B;D;C;33975CAB1
1/24/2020;08:11:03;1/28/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;33975CAB1
1/24/2020;08:10:35;1/28/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;33975CAB1
7/24/2019;09:04:15;7/26/2019;Trade;800000;97.900;;M;;_;_;-;-;B;D;C;33975CAB1
7/24/2019;09:03:47;7/26/2019;Trade;800000;98.000;;M;;_;_;-;-;S;D;C;33975CAB1
7/3/2019;09:39:38;7/8/2019;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;33975CAB1
7/3/2019;09:38:50;7/8/2019;Trade;250000;97.750;;M;;_;_;-;-;B;D;C;33975CAB1
7/3/2019;09:38:14;7/8/2019;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;33975CAB1
5/24/2019;11:53:35;5/29/2019;Trade;250000;98.000;;M;;_;_;-;-;S;D;C;33975CAB1
5/24/2019;09:51:35;5/29/2019;Cancel;250000;98.000;;M;;_;_;-;-;S;D;C;33975CAB1
5/24/2019;09:51:35;5/29/2019;Cancel;250000;98.000;;M;;_;_;-;-;S;D;C;33975CAB1
5/24/2019;09:16:47;5/29/2019;Trade;250000;97.900;;M;;_;_;-;-;B;D;C;33975CAB1
4/12/2019;12:19:32;4/16/2019;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;33975CAB1
4/12/2019;12:18:16;4/16/2019;Trade;1000000;99.000;;M;;_;_;-;-;B;D;C;33975CAB1
2/26/2019;11:53:34;2/28/2019;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;33975CAB1
2/26/2019;11:52:56;2/28/2019;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;33975CAB1
2/1/2019;10:52:40;2/5/2019;Trade;250000;101.350;;M;;_;_;-;-;B;D;C;33975CAB1
2/1/2019;10:52:34;2/5/2019;Trade;250000;101.450;;M;;_;_;-;-;S;D;C;33975CAB1
