Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/17/2020;10:45:04;7/21/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;33975CAD7
7/17/2020;10:41:39;7/21/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;33975CAD7
7/16/2020;13:47:02;7/20/2020;Trade;500000;96.500;;M;;_;_;-;-;S;D;C;33975CAD7
7/16/2020;13:46:21;7/20/2020;Trade;500000;96.400;;M;;_;_;-;-;B;D;C;33975CAD7
3/26/2020;13:28:48;3/30/2020;Trade;1000000;95.150;;M;;_;_;-;-;S;D;C;33975CAD7
3/26/2020;13:28:03;3/30/2020;Trade;1000000;95.050;;M;;_;_;-;-;B;D;C;33975CAD7
12/19/2019;10:46:25;12/23/2019;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;33975CAD7
12/19/2019;10:45:33;12/23/2019;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;33975CAD7
12/9/2019;10:24:31;12/11/2019;Trade;250000;100.150;;M;;_;_;-;-;S;D;C;33975CAD7
12/9/2019;10:23:32;12/11/2019;Trade;250000;100.050;;M;;_;_;-;-;B;D;C;33975CAD7
8/22/2019;10:25:30;8/26/2019;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;33975CAD7
8/22/2019;10:23:54;8/26/2019;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;33975CAD7
6/26/2019;13:00:00;6/28/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;33975CAD7
6/26/2019;13:00:00;6/28/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;33975CAD7
5/24/2019;09:12:44;5/29/2019;Trade;250000;99.350;;M;;_;_;-;-;S;D;C;33975CAD7
5/24/2019;09:10:12;5/29/2019;Trade;250000;99.250;;M;;_;_;-;-;B;D;C;33975CAD7
5/24/2019;08:56:44;5/29/2019;Cancel;250000;99.350;;M;;_;_;-;-;S;D;C;33975CAD7
5/24/2019;08:56:44;5/29/2019;Cancel;250000;99.350;;M;;_;_;-;-;S;D;C;33975CAD7
5/17/2019;11:40:22;5/21/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;33975CAD7
5/17/2019;11:20:22;5/21/2019;Cancel;250000;99.250;;M;;_;_;-;-;S;D;C;33975CAD7
5/17/2019;11:20:22;5/21/2019;Cancel;250000;99.250;;M;;_;_;-;-;S;D;C;33975CAD7
5/17/2019;11:19:47;5/21/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;33975CAD7
