Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/23/2020;11:54:35;6/25/2020;Trade;250000;95.000;;M;;_;_;-;-;B;D;C;33975CAE5
6/23/2020;11:54:31;6/25/2020;Trade;250000;95.100;;M;;_;_;-;-;S;D;C;33975CAE5
6/9/2020;15:33:31;6/11/2020;Trade;1MM+;90.600;;M;;_;_;-;-;S;D;C;33975CAE5
6/9/2020;15:32:47;6/11/2020;Trade;1MM+;90.400;;M;;_;_;-;-;B;D;C;33975CAE5
3/30/2020;15:27:10;4/1/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;33975CAE5
3/30/2020;15:26:09;4/1/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;33975CAE5
3/30/2020;15:23:58;4/1/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;33975CAE5
3/19/2020;17:40:04;3/23/2020;Trade;944000;97.880;;M;;T;_;-;-;S;D;C;33975CAE5
3/19/2020;17:40:04;3/23/2020;Trade;944000;97.880;;M;;U;_;-;-;S;D;C;33975CAE5
3/19/2020;17:37:36;3/23/2020;Trade;944000;97.830;;M;;T;_;-;-;B;D;C;33975CAE5
