Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/8/2020;10:31:58;7/10/2020;Trade;1000000;44.000;;M;;_;_;-;-;S;D;C;35922QAA1
7/8/2020;10:31:03;7/10/2020;Trade;1000000;43.500;;M;;_;_;-;-;B;D;C;35922QAA1
4/14/2020;10:16:34;4/16/2020;Trade;1MM+;46.500;;M;;_;_;-;-;S;D;C;35922QAA1
4/14/2020;10:15:07;4/16/2020;Trade;1MM+;46.000;;M;;_;_;-;-;B;D;C;35922QAA1
3/31/2020;08:59:47;4/2/2020;Trade;1MM+;47.000;;M;;_;_;-;-;S;D;C;35922QAA1
3/31/2020;08:58:37;4/2/2020;Trade;1MM+;46.500;;M;;_;_;-;-;B;D;C;35922QAA1
3/12/2020;13:18:16;3/16/2020;Trade;1000000;48.000;;M;;_;_;-;-;S;D;C;35922QAA1
3/12/2020;13:16:59;3/16/2020;Trade;1000000;47.500;;M;;_;_;-;-;B;D;C;35922QAA1
3/12/2020;12:21:37;3/16/2020;Trade;1MM+;48.000;;M;;_;_;-;-;S;D;C;35922QAA1
3/12/2020;12:20:43;3/16/2020;Trade;1MM+;47.500;;M;;_;_;-;-;B;D;C;35922QAA1
3/6/2020;11:00:11;3/10/2020;Trade;500000;50.000;;M;;_;_;-;-;S;D;C;35922QAA1
3/6/2020;10:59:18;3/10/2020;Trade;500000;49.500;;M;;_;_;-;-;B;D;C;35922QAA1
2/28/2020;11:17:48;3/3/2020;Trade;500000;55.000;;M;;_;_;-;-;S;D;C;35922QAA1
2/28/2020;11:15:42;3/3/2020;Trade;500000;54.500;;M;;_;_;-;-;B;D;C;35922QAA1
2/28/2020;10:24:48;3/3/2020;Trade;1000000;56.000;;M;;_;_;-;-;B;D;C;35922QAA1
2/28/2020;10:22:39;3/3/2020;Trade;1000000;56.500;;M;;_;_;-;-;S;;;35922QAA1
2/21/2020;15:29:09;2/25/2020;Trade;1000000;55.000;;M;;_;_;-;-;S;D;C;35922QAA1
2/21/2020;15:28:25;2/25/2020;Trade;1000000;54.500;;M;;_;_;-;-;B;D;C;35922QAA1
2/21/2020;15:06:03;2/25/2020;Trade;500000;55.000;;M;;_;_;-;-;S;D;C;35922QAA1
2/21/2020;15:05:16;2/25/2020;Trade;500000;54.500;;M;;_;_;-;-;B;D;C;35922QAA1
2/21/2020;12:43:28;2/25/2020;Trade;500000;47.000;;M;;_;_;-;-;S;D;C;35922QAA1
2/21/2020;12:41:04;2/25/2020;Trade;500000;46.500;;M;;_;_;-;-;B;D;C;35922QAA1
2/19/2020;15:44:34;2/21/2020;Trade;1000000;47.000;;M;;_;_;-;-;S;D;C;35922QAA1
2/19/2020;15:43:50;2/21/2020;Trade;1000000;46.500;;M;;_;_;-;-;B;D;C;35922QAA1
2/12/2020;14:32:21;2/14/2020;Trade;1MM+;41.500;;M;;Z;_;-;-;S;D;C;35922QAA1
2/12/2020;14:31:02;2/14/2020;Trade;1MM+;41.000;;M;;Z;_;-;-;B;D;C;35922QAA1
2/12/2020;12:35:22;2/14/2020;Trade;1000000;56.500;;M;;_;_;-;-;S;D;C;35922QAA1
2/12/2020;12:34:42;2/14/2020;Trade;1000000;56.000;;M;;_;_;-;-;B;D;C;35922QAA1
1/10/2020;14:12:44;1/14/2020;Trade;1MM+;82.000;;M;;_;_;-;-;S;D;C;35922QAA1
1/10/2020;14:12:42;1/14/2020;Trade;1MM+;81.500;;M;;_;_;-;-;B;D;C;35922QAA1
12/18/2019;12:05:48;12/20/2019;Trade;1MM+;81.500;;M;;_;_;-;-;B;D;C;35922QAA1
12/18/2019;12:05:26;12/20/2019;Trade;1MM+;82.000;;M;;_;_;-;-;S;D;C;35922QAA1
12/11/2019;15:32:00;12/13/2019;Trade;1MM+;90.000;;M;;Z;_;-;A;S;D;C;35922QAA1
12/11/2019;15:32:00;12/13/2019;Trade;1MM+;89.750;;M;;Z;_;-;A;B;D;C;35922QAA1
5/24/2019;09:52:34;5/29/2019;Trade;250000;89.000;;M;;_;_;-;-;S;D;C;35922QAA1
5/24/2019;09:17:39;5/29/2019;Trade;250000;88.500;;M;;_;_;-;-;B;D;C;35922QAA1
4/8/2019;13:30:47;4/10/2019;Trade;250000;95.500;;M;;_;_;-;-;S;D;C;35922QAA1
4/8/2019;13:29:47;4/10/2019;Trade;250000;95.400;;M;;_;_;-;-;B;D;C;35922QAA1
1/7/2019;12:17:32;1/9/2019;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;35922QAA1
1/7/2019;12:17:32;1/9/2019;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;35922QAA1
1/2/2019;17:47:00;1/4/2019;Trade;250000;98.000;;N;;T;_;-;-;B;D;C;35922QAA1
1/2/2019;17:47:00;1/4/2019;Trade;250000;98.000;;N;;T;_;-;-;B;D;C;35922QAA1
1/2/2019;17:47:00;1/4/2019;Trade;250000;98.100;;N;;T;_;-;-;S;D;C;35922QAA1
1/2/2019;17:47:00;1/4/2019;Trade;250000;98.100;;N;;T;_;-;-;S;D;C;35922QAA1
10/31/2018;12:35:00;11/2/2018;Trade;1MM+;85.500;;M;;_;_;-;-;S;D;C;35922QAA1
10/31/2018;12:34:41;11/2/2018;Trade;1MM+;85.000;;M;;_;_;-;-;B;D;C;35922QAA1
7/16/2018;09:38:07;7/18/2018;Trade;1MM+;100.080;;M;;_;_;-;-;S;D;C;35922QAA1
7/16/2018;09:37:19;7/18/2018;Trade;1MM+;99.980;;M;;_;_;-;-;B;D;C;35922QAA1
6/25/2018;11:52:00;6/27/2018;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;35922QAA1
