Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/3/2019;08:46:37;12/5/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;363543AB5
12/3/2019;08:46:00;12/5/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;363543AB5
11/20/2019;09:33:29;11/22/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;363543AB5
11/20/2019;09:32:52;11/22/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;363543AB5
11/19/2019;11:27:16;11/21/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;363543AB5
11/19/2019;11:26:18;11/21/2019;Trade;1MM+;99.670;;M;;_;_;-;-;B;D;C;363543AB5
5/29/2019;10:29:06;5/31/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;363543AB5
5/29/2019;10:27:54;5/31/2019;Trade;500000;99.300;;M;;_;_;-;-;S;D;C;363543AB5
5/29/2019;10:26:34;5/31/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;363543AB5
5/29/2019;10:26:00;5/31/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;363543AB5
4/24/2019;11:13:28;4/26/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;363543AB5
4/24/2019;10:34:28;4/26/2019;Cancel;1MM+;99.750;;M;;_;_;-;-;S;D;C;363543AB5
4/24/2019;10:34:28;4/26/2019;Cancel;1MM+;99.750;;M;;_;_;-;-;S;D;C;363543AB5
4/24/2019;10:32:23;4/26/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;363543AB5
3/20/2019;10:34:18;3/22/2019;Trade;250000;100.250;;M;;_;_;-;-;S;D;C;363543AB5
3/20/2019;10:32:15;3/22/2019;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;363543AB5
3/4/2019;09:03:30;3/6/2019;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;363543AB5
3/4/2019;09:03:02;3/6/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;363543AB5
3/4/2019;09:02:10;3/6/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;363543AB5
3/4/2019;09:01:07;3/6/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;363543AB5
1/7/2019;12:17:01;1/9/2019;Trade;1000000;99.850;;M;;_;_;-;-;S;D;C;363543AB5
1/7/2019;12:16:04;1/9/2019;Trade;1000000;99.750;;M;;_;_;-;-;B;D;C;363543AB5
12/6/2018;10:27:20;12/10/2018;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;363543AB5
12/6/2018;10:26:36;12/10/2018;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;363543AB5
11/30/2018;11:12:01;12/4/2018;Trade;500000;99.700;;M;;_;_;-;-;B;D;C;363543AB5
11/30/2018;11:11:21;12/4/2018;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;363543AB5
11/30/2018;11:10:44;12/4/2018;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;363543AB5
8/22/2018;12:33:55;8/24/2018;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;363543AB5
8/22/2018;12:33:25;8/24/2018;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;363543AB5
8/2/2018;11:58:16;8/6/2018;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;363543AB5
8/2/2018;11:56:58;8/6/2018;Trade;1000000;100.400;;M;;_;_;-;-;B;D;C;363543AB5
7/17/2018;12:21:00;7/19/2018;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;363543AB5
7/17/2018;12:20:23;7/19/2018;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;363543AB5
5/16/2018;11:56:41;5/18/2018;Trade;620000;100.245;;M;;_;_;-;-;S;D;C;363543AB5
5/16/2018;11:56:11;5/18/2018;Trade;620000;100.195;;M;;_;_;-;-;B;D;C;363543AB5
3/21/2018;14:01:00;3/23/2018;Trade;1000000;101.200;;M;;Z;_;-;-;B;D;C;363543AB5
3/21/2018;14:01:00;3/23/2018;Trade;1000000;101.300;;M;;Z;_;-;-;S;D;C;363543AB5
3/14/2018;11:05:07;3/16/2018;Trade;1MM+;101.250;;M;;_;_;-;-;S;D;C;363543AB5
3/14/2018;11:04:27;3/16/2018;Trade;1MM+;101.150;;M;;_;_;-;-;B;D;C;363543AB5
1/11/2017;11:57:27;1/17/2017;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;363543AB5
1/11/2017;11:57:20;1/17/2017;Trade;250000;100.250;;M;;Z;_;-;A;S;D;C;363543AB5
1/11/2017;11:57:20;1/17/2017;Cancel;250000;100.250;;M;;_;_;-;-;S;D;C;363543AB5
1/11/2017;11:57:20;1/17/2017;Cancel;250000;100.250;;M;;_;_;-;-;S;D;C;363543AB5
