Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/3/2019;08:48:24;12/5/2019;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;363543AC3
12/3/2019;08:47:48;12/5/2019;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;363543AC3
11/19/2019;10:12:58;11/21/2019;Trade;500000;99.850;;M;;_;_;-;-;B;D;C;363543AC3
11/19/2019;10:12:55;11/21/2019;Trade;500000;99.950;;M;;_;_;-;-;S;D;C;363543AC3
11/15/2019;09:22:34;11/19/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;363543AC3
11/15/2019;09:21:56;11/19/2019;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;363543AC3
11/14/2019;09:52:57;11/18/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;363543AC3
11/14/2019;09:52:16;11/18/2019;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;363543AC3
9/6/2019;10:22:53;9/10/2019;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;363543AC3
9/6/2019;10:20:37;9/10/2019;Trade;500000;99.700;;M;;_;_;-;-;S;D;C;363543AC3
9/6/2019;10:20:10;9/10/2019;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;363543AC3
7/15/2019;11:19:33;7/17/2019;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;363543AC3
7/15/2019;11:17:18;7/17/2019;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;363543AC3
7/9/2019;11:47:00;7/11/2019;Trade;1000000;99.250;;N;;Z;_;-;A;S;D;C;363543AC3
7/9/2019;11:47:00;7/11/2019;Trade;1000000;99.250;;M;;Z;_;-;A;B;D;C;363543AC3
7/9/2019;11:47:00;7/11/2019;Trade;1000000;99.350;;M;;Z;_;-;-;S;D;C;363543AC3
7/9/2019;11:47:00;7/11/2019;Trade;1000000;99.350;;N;;Z;_;-;-;B;D;C;363543AC3
6/27/2019;10:21:00;7/1/2019;Trade;750000;99.100;;;;_;_;-;-;S;D;D;363543AC3
6/27/2019;10:17:07;7/1/2019;Trade;750000;99.200;;M;;_;_;-;-;S;D;C;363543AC3
6/26/2019;13:12:39;6/28/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;363543AC3
6/26/2019;13:11:59;6/28/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;363543AC3
6/20/2019;10:02:30;6/24/2019;Trade;250000;98.900;;M;;_;_;-;-;S;D;C;363543AC3
6/20/2019;10:02:03;6/24/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;363543AC3
6/20/2019;09:57:36;6/24/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;363543AC3
5/23/2019;10:03:39;5/28/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;363543AC3
5/23/2019;09:58:12;5/28/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;363543AC3
5/8/2019;13:15:29;5/10/2019;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;363543AC3
5/8/2019;13:15:01;5/10/2019;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;363543AC3
3/29/2019;09:47:03;4/2/2019;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;363543AC3
3/29/2019;09:46:24;4/2/2019;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;363543AC3
3/4/2019;09:07:02;3/6/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;363543AC3
3/4/2019;09:06:33;3/6/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;363543AC3
3/4/2019;09:05:59;3/6/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;363543AC3
12/10/2018;08:30:41;12/12/2018;Trade;1000000;99.250;;M;;_;_;-;-;S;D;C;363543AC3
12/10/2018;08:29:39;12/12/2018;Trade;1000000;99.150;;M;;_;_;-;-;B;D;C;363543AC3
12/6/2018;10:29:47;12/10/2018;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;363543AC3
12/6/2018;10:29:13;12/10/2018;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;363543AC3
11/29/2018;14:55:56;12/3/2018;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;363543AC3
11/29/2018;14:55:13;12/3/2018;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;363543AC3
11/29/2018;14:54:32;12/3/2018;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;363543AC3
11/14/2018;09:23:41;11/16/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;363543AC3
11/14/2018;09:21:49;11/16/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;363543AC3
11/13/2018;08:53:58;11/15/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;363543AC3
11/13/2018;08:53:27;11/15/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;363543AC3
9/25/2018;11:56:31;9/27/2018;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;363543AC3
9/25/2018;11:55:51;9/27/2018;Trade;250000;100.500;;M;;_;_;-;-;B;D;C;363543AC3
7/30/2018;12:57:16;8/1/2018;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;363543AC3
7/30/2018;12:56:45;8/1/2018;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;363543AC3
7/18/2018;09:13:07;7/20/2018;Trade;500000;100.700;;M;;_;_;-;-;S;D;C;363543AC3
7/18/2018;09:12:31;7/20/2018;Trade;500000;100.600;;M;;_;_;-;-;B;D;C;363543AC3
7/5/2018;09:25:06;7/9/2018;Trade;250000;100.805;;M;;_;_;-;-;S;D;C;363543AC3
7/5/2018;09:24:22;7/9/2018;Trade;250000;100.755;;M;;_;_;-;-;B;D;C;363543AC3
6/7/2018;09:00:44;6/11/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;363543AC3
6/7/2018;08:54:05;6/11/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;363543AC3
6/5/2018;08:53:54;6/7/2018;Trade;250000;100.815;;M;;_;_;-;-;S;D;C;363543AC3
6/5/2018;08:52:44;6/7/2018;Trade;250000;100.765;;M;;_;_;-;-;B;D;C;363543AC3
5/11/2018;12:35:24;5/15/2018;Trade;1MM+;101.350;;M;;_;_;-;-;S;D;C;363543AC3
5/11/2018;12:34:45;5/15/2018;Trade;1MM+;101.250;;M;;_;_;-;-;B;D;C;363543AC3
5/11/2018;12:34:16;5/15/2018;Trade;1MM+;101.350;;M;;_;_;-;-;S;D;C;363543AC3
5/11/2018;12:33:15;5/15/2018;Trade;1MM+;101.250;;M;;_;_;-;-;B;D;C;363543AC3
3/26/2018;09:35:41;3/28/2018;Trade;250000;101.385;;M;;_;_;-;-;S;D;C;363543AC3
3/26/2018;09:35:03;3/28/2018;Trade;250000;101.335;;M;;_;_;-;-;B;D;C;363543AC3
3/21/2018;14:01:00;3/23/2018;Trade;500000;101.450;;M;;Z;_;-;-;B;D;C;363543AC3
3/21/2018;14:01:00;3/23/2018;Trade;500000;101.550;;M;;Z;_;-;-;S;D;C;363543AC3
3/15/2018;12:15:37;3/19/2018;Trade;1MM+;101.550;;M;;_;_;-;-;S;D;C;363543AC3
3/15/2018;12:14:48;3/19/2018;Trade;1MM+;101.450;;M;;_;_;-;-;B;D;C;363543AC3
12/8/2017;10:39:22;12/12/2017;Trade;1MM+;98.895;;M;;_;_;-;-;S;D;C;363543AC3
12/8/2017;10:38:33;12/12/2017;Trade;1MM+;98.845;;M;;_;_;-;-;B;D;C;363543AC3
8/15/2017;12:30:00;8/18/2017;Cancel;250000;101.750;;N;;_;_;-;-;S;D;C;363543AC3
8/15/2017;12:30:00;8/18/2017;Trade;250000;101.750;;N;;_;_;-;-;S;D;C;363543AC3
8/15/2017;12:30:00;8/18/2017;Trade;500000;101.650;;N;;_;_;-;-;B;D;C;363543AC3
8/15/2017;12:30:00;8/18/2017;Cancel;250000;101.750;;N;;_;_;-;-;S;D;C;363543AC3
5/18/2017;10:38:06;5/23/2017;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;363543AC3
5/18/2017;10:38:03;5/23/2017;Trade;1MM+;100.800;;M;;_;_;-;-;B;D;C;363543AC3
3/9/2017;11:08:07;3/14/2017;Cancel;250000;101.030;;M;;_;_;-;-;B;D;C;363543AC3
3/9/2017;11:08:07;3/14/2017;Trade;250000;101.100;;M;;_;_;-;-;S;D;C;363543AC3
3/9/2017;11:08:07;3/14/2017;Correction;250000;101.000;;M;;_;_;-;-;B;D;C;363543AC3
1/11/2017;12:01:26;1/17/2017;Cancel;250000;100.250;;M;;_;_;-;-;S;D;C;363543AC3
1/11/2017;12:01:26;1/17/2017;Trade;250000;100.250;;M;;Z;_;-;A;S;D;C;363543AC3
1/11/2017;12:01:26;1/17/2017;Cancel;250000;100.250;;M;;_;_;-;-;S;D;C;363543AC3
1/11/2017;12:01:23;1/17/2017;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;363543AC3
