Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/4/2019;09:58:05;12/6/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;363543AD1
12/4/2019;09:56:44;12/6/2019;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;363543AD1
12/3/2019;08:49:34;12/5/2019;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;363543AD1
12/3/2019;08:49:00;12/5/2019;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;363543AD1
12/2/2019;13:31:56;12/4/2019;Trade;1MM+;99.800;;N;;_;_;-;-;B;D;C;363543AD1
12/2/2019;13:31:56;12/4/2019;Trade;1MM+;99.840;;N;;_;_;-;-;S;D;C;363543AD1
12/2/2019;12:29:13;12/4/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;363543AD1
12/2/2019;12:06:15;12/4/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;363543AD1
9/3/2019;09:19:31;9/5/2019;Trade;350000;98.550;;M;;_;_;-;-;S;D;C;363543AD1
9/3/2019;09:18:42;9/5/2019;Trade;350000;98.500;;M;;_;_;-;-;B;D;C;363543AD1
7/9/2019;13:41:16;7/11/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;363543AD1
7/9/2019;13:40:38;7/11/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;363543AD1
7/9/2019;11:06:04;7/11/2019;Trade;1000000;99.400;;M;;_;_;-;-;B;D;C;363543AD1
7/9/2019;11:02:59;7/11/2019;Trade;1000000;99.500;;M;;_;_;-;-;S;D;C;363543AD1
6/4/2019;10:39:04;6/6/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;363543AD1
6/4/2019;10:38:21;6/6/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;363543AD1
6/3/2019;10:15:51;6/5/2019;Correction;1000000;98.650;;M;;Z;_;-;-;S;D;C;363543AD1
