Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
10/1/2019;09:47:08;10/3/2019;Trade;450000;100.825;;M;;_;_;-;-;S;D;C;363543AF6
10/1/2019;09:36:35;10/3/2019;Trade;450000;100.775;;M;;_;_;-;-;B;D;C;363543AF6
5/7/2019;09:48:57;5/9/2019;Trade;650000;97.600;;M;;_;_;-;-;S;D;C;363543AF6
5/7/2019;09:47:40;5/9/2019;Trade;650000;97.500;;M;;_;_;-;-;B;D;C;363543AF6
3/6/2019;08:32:44;3/8/2019;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;363543AF6
3/6/2019;08:31:06;3/8/2019;Trade;250000;99.000;;M;;_;_;-;-;B;D;C;363543AF6
3/5/2019;13:26:09;3/7/2019;Trade;500000;98.950;;M;;_;_;-;-;S;D;C;363543AF6
3/5/2019;13:21:11;3/7/2019;Trade;500000;98.850;;M;;_;_;-;-;B;D;C;363543AF6
12/13/2018;09:49:33;12/17/2018;Trade;250000;98.100;;M;;Z;_;-;A;S;D;C;363543AF6
12/13/2018;09:48:23;12/17/2018;Trade;250000;98.000;;M;;Z;_;-;A;B;D;C;363543AF6
9/15/2017;15:10:25;9/19/2017;Trade;1MM+;62.000;;M;;Z;_;-;A;B;D;C;363543AF6
9/15/2017;15:10:01;9/19/2017;Trade;1MM+;62.500;;M;;Z;_;-;A;S;D;A;363543AF6
