Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/19/2019;10:58:07;11/21/2019;Trade;250000;99.800;;M;;_;_;-;-;S;D;C;363543AG4
11/19/2019;10:58:07;11/21/2019;Trade;250000;99.700;;M;;_;_;-;-;B;D;C;363543AG4
8/2/2019;10:12:12;8/6/2019;Trade;1000000;98.250;;M;;_;_;-;-;S;;;363543AG4
8/2/2019;10:08:54;8/6/2019;Trade;1000000;98.150;;M;;_;_;-;-;B;;;363543AG4
5/24/2019;10:43:56;5/29/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;363543AG4
5/24/2019;10:40:27;5/29/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;363543AG4
5/24/2019;10:39:44;5/29/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;363543AG4
3/11/2019;10:03:04;3/13/2019;Trade;250000;99.050;;M;;_;_;-;-;S;D;C;363543AG4
3/11/2019;10:02:08;3/13/2019;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;363543AG4
12/11/2018;09:37:31;12/13/2018;Trade;250000;98.250;;M;;_;_;-;-;S;D;C;363543AG4
12/11/2018;09:36:28;12/13/2018;Trade;250000;98.150;;M;;_;_;-;-;B;D;C;363543AG4
11/8/2018;08:55:40;11/13/2018;Trade;1MM+;101.600;;M;;_;_;-;-;S;D;C;363543AG4
11/8/2018;08:55:09;11/13/2018;Trade;1MM+;101.500;;M;;_;_;-;-;B;D;C;363543AG4
11/7/2018;10:33:31;11/9/2018;Trade;1MM+;101.600;;M;;_;_;-;-;S;D;C;363543AG4
11/7/2018;10:32:33;11/9/2018;Trade;1MM+;101.500;;M;;_;_;-;-;B;D;C;363543AG4
10/17/2018;13:40:10;10/19/2018;Trade;1MM+;101.700;;M;;_;_;-;-;S;D;C;363543AG4
10/17/2018;13:39:13;10/19/2018;Trade;1MM+;101.600;;M;;_;_;-;-;B;D;C;363543AG4
7/5/2018;09:27:02;7/9/2018;Trade;300000;100.635;;M;;_;_;-;-;S;D;C;363543AG4
7/5/2018;09:26:32;7/9/2018;Trade;300000;100.585;;M;;_;_;-;-;B;D;C;363543AG4
3/21/2018;14:01:00;3/23/2018;Trade;1MM+;101.200;;M;;Z;_;-;-;B;D;C;363543AG4
3/21/2018;14:01:00;3/23/2018;Trade;1MM+;101.300;;M;;Z;_;-;-;S;D;C;363543AG4
2/8/2018;08:33:35;2/12/2018;Trade;250000;98.345;;M;;_;_;-;-;S;D;C;363543AG4
2/8/2018;08:26:32;2/12/2018;Trade;250000;98.295;;M;;_;_;-;-;B;D;C;363543AG4
