Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/23/2020;15:38:18;4/27/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;363543AH2
4/23/2020;11:54:12;4/27/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;363543AH2
4/23/2020;11:54:12;4/27/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;363543AH2
4/23/2020;11:54:12;4/27/2020;Trade;500000;98.100;;M;;_;_;-;-;S;D;C;363543AH2
3/17/2020;20:03:00;3/19/2020;Trade;1000000;99.700;;M;;_;_;-;A;B;D;C;363543AH2
3/17/2020;20:03:00;3/19/2020;Trade;1000000;99.800;;M;;_;_;-;A;S;D;C;363543AH2
3/16/2020;11:29:15;3/18/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;363543AH2
3/16/2020;11:26:08;3/18/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;363543AH2
3/9/2020;08:55:07;3/11/2020;Trade;600000;100.000;;M;;_;_;-;-;S;D;C;363543AH2
3/9/2020;08:54:33;3/11/2020;Trade;600000;99.900;;M;;_;_;-;-;B;D;C;363543AH2
3/3/2020;12:09:13;3/5/2020;Trade;560000;99.850;;M;;U;_;-;A;B;D;C;363543AH2
3/3/2020;12:09:13;3/5/2020;Trade;1MM+;99.850;;M;;U;_;-;A;B;D;C;363543AH2
3/3/2020;12:09:13;3/5/2020;Trade;1MM+;99.850;;M;;U;_;-;A;B;D;C;363543AH2
3/3/2020;12:09:13;3/5/2020;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;363543AH2
3/3/2020;12:09:13;3/5/2020;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;363543AH2
3/3/2020;11:19:01;3/5/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;363543AH2
3/3/2020;11:18:58;3/5/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;;;363543AH2
2/20/2020;12:04:23;2/24/2020;Trade;250000;99.850;;M;;_;_;-;-;S;D;C;363543AH2
2/20/2020;12:02:28;2/24/2020;Trade;250000;99.750;;M;;_;_;-;-;B;D;C;363543AH2
1/21/2020;09:14:14;1/23/2020;Trade;750000;100.000;;M;;_;_;-;-;S;D;C;363543AH2
1/21/2020;09:03:21;1/23/2020;Cancel;250000;100.000;;M;;_;_;-;-;B;D;C;363543AH2
1/21/2020;09:03:21;1/23/2020;Cancel;250000;100.000;;M;;_;_;-;-;B;D;C;363543AH2
1/21/2020;09:03:19;1/23/2020;Trade;750000;99.900;;M;;Z;_;-;-;B;D;C;363543AH2
11/8/2019;11:44:48;11/13/2019;Trade;300000;100.200;;M;;_;_;-;-;S;D;C;363543AH2
11/8/2019;11:43:33;11/13/2019;Trade;300000;100.100;;M;;_;_;-;-;B;D;C;363543AH2
11/8/2019;11:27:39;11/13/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;363543AH2
11/8/2019;11:26:51;11/13/2019;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;363543AH2
10/24/2019;12:01:25;10/28/2019;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;363543AH2
10/24/2019;12:01:22;10/28/2019;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;363543AH2
10/1/2019;09:47:08;10/3/2019;Trade;250000;100.325;;M;;_;_;-;-;S;D;C;363543AH2
10/1/2019;09:36:35;10/3/2019;Trade;250000;100.275;;M;;_;_;-;-;B;D;C;363543AH2
9/26/2019;10:09:31;9/30/2019;Trade;500000;100.450;;M;;_;_;-;-;S;D;C;363543AH2
9/26/2019;10:08:39;9/30/2019;Trade;500000;100.350;;M;;_;_;-;-;B;D;C;363543AH2
9/20/2019;09:19:21;9/24/2019;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;363543AH2
9/20/2019;09:18:53;9/24/2019;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;363543AH2
7/24/2019;14:50:18;7/26/2019;Trade;250000;99.400;;M;;_;_;-;-;S;D;C;363543AH2
7/24/2019;14:48:57;7/26/2019;Trade;250000;99.300;;M;;_;_;-;-;B;D;C;363543AH2
7/22/2019;08:54:03;7/24/2019;Trade;350000;99.400;;M;;_;_;-;-;S;D;C;363543AH2
