Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/6/2020;09:10:15;4/8/2020;Trade;300000;98.700;;M;;_;_;-;-;S;D;C;363543AJ8
4/6/2020;09:09:31;4/8/2020;Trade;300000;98.600;;M;;_;_;-;-;B;D;C;363543AJ8
4/3/2020;10:20:58;4/7/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;363543AJ8
4/3/2020;10:20:55;4/7/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;363543AJ8
3/4/2020;10:37:03;3/6/2020;Trade;1000000;100.450;;M;;_;_;-;-;S;D;C;363543AJ8
3/4/2020;10:35:30;3/6/2020;Trade;1000000;100.350;;M;;_;_;-;-;B;D;C;363543AJ8
2/12/2020;08:57:28;2/14/2020;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;363543AJ8
2/12/2020;08:55:54;2/14/2020;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;363543AJ8
1/13/2020;13:02:52;1/15/2020;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;363543AJ8
1/13/2020;13:02:48;1/15/2020;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;363543AJ8
7/15/2019;11:23:34;7/17/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;363543AJ8
7/15/2019;11:22:50;7/17/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;363543AJ8
7/10/2019;10:53:22;7/12/2019;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;363543AJ8
7/10/2019;10:49:27;7/12/2019;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;363543AJ8
3/21/2019;10:25:43;3/25/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;363543AJ8
3/21/2019;10:24:32;3/25/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;363543AJ8
3/20/2019;10:18:30;3/22/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;363543AJ8
3/20/2019;10:17:06;3/22/2019;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;363543AJ8
3/20/2019;10:16:21;3/22/2019;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;363543AJ8
12/11/2018;09:47:47;12/13/2018;Cancel;250000;99.250;;M;;_;_;-;-;S;D;C;363543AJ8
12/11/2018;09:47:47;12/13/2018;Correction;250000;98.250;;M;;Z;_;-;-;S;D;C;363543AJ8
12/11/2018;09:46:05;12/13/2018;Trade;250000;98.150;;M;;_;_;-;-;B;D;C;363543AJ8
12/10/2018;11:41:23;12/12/2018;Trade;1MM+;98.550;;M;;_;_;-;-;B;D;C;363543AJ8
12/10/2018;11:41:23;12/12/2018;Trade;1MM+;98.650;;M;;_;_;-;-;S;D;C;363543AJ8
11/14/2018;11:40:23;11/16/2018;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;363543AJ8
11/14/2018;11:40:17;11/16/2018;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;363543AJ8
11/14/2018;11:40:03;11/16/2018;Cancel;1MM+;100.750;;M;;_;_;-;-;S;D;C;363543AJ8
11/14/2018;11:40:03;11/16/2018;Cancel;1MM+;100.750;;M;;_;_;-;-;S;D;C;363543AJ8
8/6/2018;10:14:06;8/8/2018;Trade;400000;100.995;;M;;_;_;-;-;B;D;C;363543AJ8
8/6/2018;08:39:20;8/8/2018;Trade;400000;101.045;;M;;Z;_;-;A;S;D;C;363543AJ8
6/26/2018;10:27:26;6/28/2018;Trade;550000;101.175;;M;;_;_;-;-;S;D;C;363543AJ8
6/26/2018;10:26:45;6/28/2018;Trade;550000;101.125;;M;;_;_;-;-;B;D;C;363543AJ8
6/5/2018;08:58:25;6/7/2018;Trade;250000;101.355;;M;;_;_;-;-;S;D;C;363543AJ8
6/5/2018;08:57:21;6/7/2018;Trade;250000;101.305;;M;;_;_;-;-;B;D;C;363543AJ8
5/11/2018;09:28:07;5/15/2018;Trade;250000;101.600;;M;;_;_;-;-;S;D;C;363543AJ8
5/11/2018;09:27:39;5/15/2018;Trade;250000;101.500;;M;;_;_;-;-;B;D;C;363543AJ8
5/9/2018;09:06:05;5/11/2018;Trade;1MM+;101.600;;M;;_;_;-;-;S;D;C;363543AJ8
5/9/2018;09:04:49;5/11/2018;Trade;1MM+;101.500;;M;;_;_;-;-;B;D;C;363543AJ8
2/28/2018;11:32:27;3/2/2018;Trade;300000;101.055;;M;;_;_;-;-;S;D;C;363543AJ8
2/28/2018;11:31:09;3/2/2018;Trade;300000;101.005;;M;;_;_;-;-;B;D;C;363543AJ8
2/8/2018;09:01:32;2/12/2018;Trade;250000;100.885;;M;;_;_;-;-;S;D;C;363543AJ8
2/8/2018;09:00:43;2/12/2018;Trade;250000;100.835;;M;;_;_;-;-;B;D;C;363543AJ8
1/24/2018;09:33:12;1/26/2018;Trade;500000;100.685;;M;;_;_;-;-;S;D;C;363543AJ8
1/24/2018;09:32:40;1/26/2018;Trade;500000;100.635;;M;;_;_;-;-;B;D;C;363543AJ8
12/8/2017;10:43:53;12/12/2017;Trade;500000;100.205;;M;;_;_;-;-;S;D;C;363543AJ8
12/8/2017;10:43:20;12/12/2017;Trade;500000;100.155;;M;;_;_;-;-;B;D;C;363543AJ8
6/9/2017;10:45:00;6/14/2017;Trade;250000;100.350;;N;;_;_;-;-;B;D;C;363543AJ8
6/9/2017;10:44:00;6/14/2017;Trade;250000;100.450;;N;;_;_;-;-;S;D;C;363543AJ8
5/12/2017;08:21:54;5/17/2017;Trade;600000;100.205;;M;;_;_;-;-;S;D;C;363543AJ8
5/12/2017;08:21:51;5/17/2017;Trade;600000;100.155;;M;;_;_;-;-;B;D;C;363543AJ8
4/12/2017;09:52:59;4/18/2017;Trade;1MM+;100.450;;M;;_;_;-;-;B;D;C;363543AJ8
4/12/2017;09:52:53;4/18/2017;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;363543AJ8
4/11/2017;11:01:52;4/17/2017;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;363543AJ8
4/11/2017;11:01:49;4/17/2017;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;363543AJ8
1/20/2017;11:39:30;1/25/2017;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;363543AJ8
1/20/2017;11:39:27;1/25/2017;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;363543AJ8
1/18/2017;10:59:17;1/23/2017;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;363543AJ8
1/18/2017;10:59:14;1/23/2017;Trade;1000000;100.200;;M;;_;_;-;-;B;D;C;363543AJ8
1/13/2017;12:13:14;1/19/2017;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;363543AJ8
1/13/2017;12:13:10;1/19/2017;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;363543AJ8
1/13/2017;12:13:05;1/19/2017;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;363543AJ8
1/13/2017;12:13:05;1/19/2017;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;363543AJ8
1/13/2017;12:13:01;1/19/2017;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;363543AJ8
