Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/20/2020;13:32:51;5/22/2020;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;363543AK5
5/20/2020;13:31:59;5/22/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;363543AK5
2/20/2020;08:33:32;2/25/2020;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;363543AK5
2/20/2020;08:33:29;2/25/2020;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;363543AK5
2/19/2020;12:06:32;2/21/2020;Trade;1MM+;100.000;;M;;Z;_;-;-;B;D;C;363543AK5
2/19/2020;11:56:29;2/21/2020;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;363543AK5
1/21/2020;09:03:23;1/23/2020;Trade;250000;100.000;;M;;Z;_;-;-;B;D;C;363543AK5
1/21/2020;09:03:23;1/23/2020;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;363543AK5
11/26/2019;11:53:07;11/29/2019;Trade;1MM+;100.100;;M;;Z;_;-;A;S;D;C;363543AK5
11/26/2019;11:53:07;11/29/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;363543AK5
11/26/2019;11:49:39;11/29/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;363543AK5
6/20/2019;11:01:29;6/24/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;363543AK5
6/20/2019;11:00:44;6/24/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;363543AK5
6/20/2019;10:59:18;6/24/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;363543AK5
4/3/2019;09:14:54;4/5/2019;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;363543AK5
4/3/2019;09:13:47;4/5/2019;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;363543AK5
2/20/2019;12:01:22;2/22/2019;Trade;500000;100.250;;M;;_;_;-;-;B;D;C;363543AK5
2/20/2019;12:00:58;2/22/2019;Trade;500000;100.350;;M;;_;_;-;-;S;D;C;363543AK5
2/19/2019;14:41:08;2/21/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;363543AK5
2/19/2019;14:33:27;2/21/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;363543AK5
12/11/2018;09:40:17;12/13/2018;Trade;250000;98.150;;M;;_;_;-;-;B;D;C;363543AK5
12/11/2018;09:39:32;12/13/2018;Trade;250000;98.250;;M;;_;_;-;-;S;D;C;363543AK5
8/30/2018;13:43:07;9/4/2018;Trade;350000;101.555;;M;;_;_;-;-;S;D;C;363543AK5
8/30/2018;13:42:33;9/4/2018;Trade;350000;101.505;;M;;_;_;-;-;B;D;C;363543AK5
7/3/2018;11:53:00;7/5/2018;Trade;1MM+;101.550;;M;;_;_;-;-;B;D;C;363543AK5
7/3/2018;11:53:00;7/5/2018;Trade;1MM+;101.600;;M;;_;_;-;-;S;D;C;363543AK5
6/26/2018;10:23:42;6/28/2018;Trade;450000;101.605;;M;;_;_;-;-;S;D;C;363543AK5
6/26/2018;10:23:12;6/28/2018;Trade;450000;101.555;;M;;_;_;-;-;B;D;C;363543AK5
6/5/2018;09:03:13;6/7/2018;Trade;250000;101.785;;M;;_;_;-;-;S;D;C;363543AK5
6/5/2018;09:02:23;6/7/2018;Trade;250000;101.735;;M;;_;_;-;-;B;D;C;363543AK5
4/17/2018;10:25:26;4/19/2018;Trade;250000;101.665;;M;;_;_;-;-;S;D;C;363543AK5
4/17/2018;10:25:05;4/19/2018;Trade;250000;101.615;;M;;_;_;-;-;B;D;C;363543AK5
2/12/2018;11:00:26;2/14/2018;Trade;250000;101.950;;M;;_;_;-;-;S;D;C;363543AK5
2/12/2018;11:00:24;2/14/2018;Trade;250000;101.850;;M;;_;_;-;-;B;D;C;363543AK5
5/23/2017;16:21:24;5/26/2017;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;363543AK5
5/23/2017;16:21:22;5/26/2017;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;363543AK5
5/4/2017;13:01:16;5/9/2017;Trade;1000000;100.050;;M;;_;_;-;-;B;D;C;363543AK5
5/4/2017;13:01:06;5/9/2017;Trade;1000000;100.150;;M;;_;_;-;-;S;D;C;363543AK5
1/17/2017;09:55:08;1/20/2017;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;363543AK5
1/17/2017;09:54:28;1/20/2017;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;363543AK5
