Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/6/2018;13:19:26;12/10/2018;Trade;300000;99.500;;M;;_;_;-;-;S;D;C;36354TAC6
12/6/2018;13:18:48;12/10/2018;Trade;300000;99.400;;M;;_;_;-;-;B;D;C;36354TAC6
10/19/2018;10:06:08;10/23/2018;Trade;382000;100.300;;M;;_;_;-;-;S;D;C;36354TAC6
10/19/2018;10:05:42;10/23/2018;Trade;382000;100.200;;M;;_;_;-;-;B;D;C;36354TAC6
10/4/2018;10:03:05;10/9/2018;Trade;300000;100.300;;M;;_;_;-;-;S;D;C;36354TAC6
10/4/2018;10:02:28;10/9/2018;Trade;300000;100.200;;M;;_;_;-;-;B;D;C;36354TAC6
7/5/2018;09:31:56;7/9/2018;Trade;250000;98.695;;M;;_;_;-;-;S;D;C;36354TAC6
7/5/2018;09:31:09;7/9/2018;Trade;250000;98.645;;M;;_;_;-;-;B;D;C;36354TAC6
6/5/2018;09:05:29;6/7/2018;Trade;250000;98.865;;M;;_;_;-;-;S;D;C;36354TAC6
6/5/2018;09:04:31;6/7/2018;Trade;250000;98.815;;M;;_;_;-;-;B;D;C;36354TAC6
4/3/2018;16:06:00;4/5/2018;Cancel;500000;101.000;;N;;_;_;-;-;S;D;C;36354TAC6
4/3/2018;16:06:00;4/5/2018;Trade;250000;100.900;;N;;Z;_;-;A;B;D;C;36354TAC6
4/3/2018;16:06:00;4/5/2018;Trade;500000;100.900;;N;;_;_;-;-;B;D;C;36354TAC6
4/3/2018;16:06:00;4/5/2018;Cancel;500000;101.000;;N;;_;_;-;-;S;D;C;36354TAC6
4/3/2018;09:08:00;4/5/2018;Trade;250000;101.000;;N;;Z;_;-;A;S;D;C;36354TAC6
3/22/2018;16:43:43;3/26/2018;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;36354TAC6
3/22/2018;16:43:38;3/26/2018;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;36354TAC6
1/24/2018;09:47:55;1/26/2018;Trade;500000;97.145;;M;;Z;_;-;A;B;D;C;36354TAC6
1/24/2018;09:47:55;1/26/2018;Trade;250000;97.195;;M;;Z;_;-;A;S;D;C;36354TAC6
1/24/2018;09:47:55;1/26/2018;Trade;250000;97.195;;M;;Z;_;-;A;S;D;C;36354TAC6
11/21/2017;08:54:00;11/24/2017;Trade;300000;81.000;;M;;Z;_;-;A;S;D;C;36354TAC6
11/21/2017;08:54:00;11/24/2017;Trade;300000;80.500;;M;;Z;_;-;A;B;D;C;36354TAC6
11/23/2016;10:52:15;11/29/2016;Trade;300000;104.700;;M;;_;_;-;-;B;D;C;36354TAC6
11/23/2016;10:52:15;11/29/2016;Trade;300000;104.800;;M;;_;_;-;-;S;D;C;36354TAC6
10/17/2016;10:04:02;10/20/2016;Trade;350000;104.300;;M;;_;_;-;-;S;D;C;36354TAC6
10/17/2016;10:04:00;10/20/2016;Trade;350000;104.200;;M;;_;_;-;-;B;D;C;36354TAC6
8/23/2016;11:39:17;8/26/2016;Trade;1MM+;102.500;;M;;_;_;-;-;S;D;C;36354TAC6
8/23/2016;11:39:15;8/26/2016;Trade;1MM+;102.400;;M;;_;_;-;-;B;D;C;36354TAC6
8/18/2016;08:21:25;8/23/2016;Trade;1MM+;102.500;;M;;_;_;-;-;S;D;C;36354TAC6
8/18/2016;08:21:22;8/23/2016;Trade;1MM+;102.400;;M;;_;_;-;-;B;D;C;36354TAC6
6/24/2016;09:35:00;6/29/2016;Trade;1MM+;101.850;;N;;_;_;-;-;S;D;C;36354TAC6
6/24/2016;09:34:46;6/29/2016;Trade;250000;101.850;;N;;_;_;-;-;S;D;C;36354TAC6
6/24/2016;09:34:29;6/29/2016;Trade;1000000;101.750;;N;;_;_;-;-;B;D;C;36354TAC6
6/24/2016;09:33:44;6/29/2016;Trade;750000;101.750;;N;;_;_;-;-;B;D;C;36354TAC6
6/3/2016;09:19:41;6/8/2016;Trade;250000;101.400;;N;;_;_;-;-;B;D;C;36354TAC6
6/3/2016;09:19:41;6/8/2016;Trade;250000;101.500;;N;;_;_;-;-;S;D;C;36354TAC6
5/26/2016;13:46:00;6/1/2016;Trade;1MM+;101.100;;N;;_;_;-;-;S;D;D;36354TAC6
5/26/2016;13:41:46;6/1/2016;Trade;1MM+;101.200;;N;;_;_;-;-;S;D;C;36354TAC6
5/4/2016;11:22:11;5/9/2016;Trade;350000;100.750;0;N;;_;_;-;-;B;D;C;36354TAC6
5/4/2016;11:22:08;5/9/2016;Trade;350000;100.850;0;N;;_;_;-;-;S;D;C;36354TAC6
2/12/2016;11:56:21;2/18/2016;Trade;400000;100.650;0;N;;_;_;-;-;S;D;C;36354TAC6
2/12/2016;11:20:00;2/18/2016;Trade;400000;100.550;0;N;;_;_;-;-;S;D;D;36354TAC6
