Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/6/2018;10:43:13;12/10/2018;Trade;250000;99.400;;M;;_;_;-;-;S;D;C;36354TAD4
12/6/2018;10:42:43;12/10/2018;Trade;250000;99.300;;M;;_;_;-;-;B;D;C;36354TAD4
11/7/2018;10:33:20;11/9/2018;Trade;250000;100.350;;M;;Z;_;-;-;S;D;C;36354TAD4
11/7/2018;10:33:20;11/9/2018;Trade;750000;100.350;;M;;Z;_;-;-;S;D;C;36354TAD4
11/7/2018;10:33:20;11/9/2018;Trade;1000000;100.250;;M;;Z;_;-;-;B;D;C;36354TAD4
11/6/2018;13:43:23;11/8/2018;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;36354TAD4
11/6/2018;13:42:36;11/8/2018;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;36354TAD4
10/23/2018;10:01:29;10/25/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;36354TAD4
10/23/2018;10:00:26;10/25/2018;Trade;619000;100.500;;M;;_;_;-;-;B;D;C;36354TAD4
10/23/2018;09:59:49;10/25/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;36354TAD4
3/22/2018;11:02:01;3/26/2018;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;36354TAD4
3/22/2018;11:01:58;3/26/2018;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;36354TAD4
9/29/2016;12:05:45;10/4/2016;Trade;375000;103.400;;M;;_;_;-;-;S;D;C;36354TAD4
9/29/2016;12:05:43;10/4/2016;Trade;375000;103.300;;M;;_;_;-;-;B;D;C;36354TAD4
9/8/2016;11:36:46;9/13/2016;Trade;250000;102.500;;M;;_;_;-;-;B;D;C;36354TAD4
9/8/2016;11:36:46;9/13/2016;Trade;250000;102.600;;M;;_;_;-;-;S;D;C;36354TAD4
2/26/2016;09:26:14;3/2/2016;Trade;375000;100.250;0;N;;_;_;-;-;S;D;C;36354TAD4
2/26/2016;09:26:12;3/2/2016;Trade;375000;100.150;0;N;;_;_;-;-;B;D;C;36354TAD4
